"X3";"X4";"X10";"X8";"X5";"X9";"X7";"X12";"X1";"X11";"X6";"X2";"generation"
4;3;10;8;5;9;7;12;1;11;6;2;1
9;7;3;8;5;10;6;12;1;2;4;11;1
3;4;10;8;7;9;5;11;12;6;2;1;1
3;4;5;8;1;9;7;6;12;11;2;10;1
3;4;7;5;8;9;10;6;12;11;1;2;1
3;4;1;8;5;9;7;11;12;6;2;10;1
10;8;4;3;1;9;7;6;12;11;2;5;1
10;6;12;3;8;9;5;11;4;1;7;2;1
7;3;4;8;1;9;5;11;12;6;2;10;1
3;4;1;8;7;11;5;9;12;6;2;10;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;7;8;10;9;5;6;12;11;1;2;1
3;4;10;8;7;9;5;11;12;6;2;1;1
3;4;7;8;10;9;5;11;12;6;1;2;1
3;4;7;8;1;2;10;6;12;11;5;9;1
3;4;10;8;5;9;7;11;12;6;1;2;1
3;4;1;8;5;9;7;6;12;11;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;2;9;5;6;12;11;1;10;1
3;4;7;8;1;9;5;11;12;6;10;2;1
5;7;3;6;9;10;8;12;4;2;1;11;1
5;11;3;6;9;10;1;12;4;8;2;7;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;12;5;9;7;6;8;11;1;2;1
10;4;7;8;1;9;5;11;6;3;2;12;1
3;12;7;6;1;9;5;11;4;8;2;10;1
4;3;6;7;5;10;8;12;1;2;9;11;1
2;7;3;6;4;10;8;12;1;5;9;11;1
10;6;12;3;1;9;11;8;4;5;2;7;1
10;3;6;1;2;7;8;11;4;5;9;12;1
3;4;7;8;1;9;5;11;12;6;10;2;1
3;4;10;8;5;9;1;11;12;6;2;7;1
11;12;6;8;3;9;1;10;4;7;5;2;1
3;6;8;12;7;9;5;10;4;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;7;8;10;9;5;6;12;11;1;2;1
3;4;10;8;2;9;5;6;12;11;7;1;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;10;8;5;9;7;6;12;11;2;1;1
1;3;8;4;7;9;5;11;12;6;2;10;1
6;12;2;8;7;9;1;10;4;3;5;11;1
3;4;10;9;5;8;7;6;12;11;1;2;1
3;4;10;8;5;11;7;6;12;9;1;2;1
11;6;8;12;7;9;1;10;4;3;5;2;1
11;3;8;12;7;9;1;5;4;6;2;10;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;7;9;5;11;1;6;12;2;1
3;11;7;8;2;9;5;6;12;4;1;10;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;11;7;8;1;2;6;4;10;5;9;12;1
4;3;5;1;9;7;8;11;12;6;2;10;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;10;8;5;9;7;6;12;11;1;2;1
3;4;7;8;2;9;5;11;12;6;1;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;10;8;1;9;5;11;12;6;7;2;1
3;4;11;8;5;9;7;6;12;1;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;6;1;8;9;5;11;12;7;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;5;11;12;6;2;10;1
3;4;7;8;1;9;10;6;12;11;5;2;1
3;4;7;8;1;9;5;6;12;11;2;10;1
6;12;7;8;1;9;2;10;4;3;5;11;1
11;4;7;12;8;9;1;10;6;3;5;2;1
3;4;2;6;1;7;11;8;10;5;9;12;1
4;3;6;2;1;9;5;11;10;7;8;12;1
3;4;12;6;7;9;2;8;10;5;1;11;1
4;3;6;9;2;7;5;8;12;11;1;10;1
3;4;10;8;5;12;11;1;6;2;9;7;1
4;3;6;1;2;7;11;8;10;9;12;5;1
3;12;7;6;1;2;11;8;10;5;9;4;1
3;5;7;8;1;9;4;11;12;6;2;10;1
3;4;7;8;1;11;5;9;12;6;2;10;1
3;4;7;8;1;11;5;9;12;6;2;10;1
6;12;7;8;2;9;1;10;4;3;5;11;1
11;3;8;4;7;9;1;10;12;6;5;2;1
3;4;10;8;7;9;5;11;12;6;1;2;1
3;4;10;8;5;9;7;6;12;11;2;1;1
10;6;8;4;1;9;12;11;5;3;7;2;1
6;12;7;8;11;9;1;10;4;3;5;2;1
10;3;6;1;2;7;12;11;4;8;9;5;1
10;6;12;3;2;7;11;8;4;5;1;9;1
11;7;3;6;9;10;1;12;4;8;5;2;1
5;12;3;6;7;9;1;10;4;2;8;11;1
3;4;6;1;2;7;11;10;12;9;8;5;1
4;3;8;9;10;7;5;6;12;11;1;2;1
3;4;10;8;5;9;7;11;12;6;1;2;1
3;4;7;8;6;9;5;10;12;11;1;2;1
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;2;5;9;7;12;1;11;6;8;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;12;9;7;5;1;11;6;2;2
10;3;4;8;5;9;7;12;1;11;6;2;2
3;4;5;8;1;9;7;12;10;6;11;2;2
3;4;7;8;1;9;5;12;10;6;11;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;5;8;1;9;10;12;7;11;6;2;2
3;4;7;8;1;9;5;12;10;6;11;2;2
10;4;1;8;3;9;7;12;5;11;6;2;2
3;4;1;8;5;9;7;12;11;10;6;2;2
3;4;1;8;7;9;5;12;10;6;11;2;2
3;4;1;8;7;9;5;12;10;6;11;2;2
10;8;4;3;1;9;7;12;5;11;6;2;2
4;8;10;3;5;9;7;12;1;11;6;2;2
3;4;7;8;1;9;5;12;10;6;11;2;2
3;4;10;8;5;9;1;12;7;6;11;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;1;8;7;9;5;12;10;6;11;2;2
3;4;7;8;5;9;1;12;10;6;11;2;2
3;4;1;8;5;9;7;12;10;6;11;2;2
3;4;1;8;5;9;7;12;10;11;6;2;2
3;4;7;8;1;9;5;12;10;11;6;2;2
3;4;1;8;5;9;7;12;10;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;10;8;5;9;7;12;1;11;6;2;2
3;4;7;8;1;9;5;12;10;6;11;2;2
8;5;4;3;1;9;7;12;10;11;6;2;2
3;4;5;8;1;9;7;12;10;11;6;2;2
3;4;7;8;1;9;5;12;10;6;11;2;2
