"X3";"X4";"X21";"X22";"X26";"X2";"X18";"X24";"X11";"X1";"X9";"X6";"X10";"X25";"X12";"X16";"X19";"X14";"X5";"X20";"X15";"X8";"X23";"X7";"X13";"X17";"generation"
3;4;21;22;26;2;18;24;11;1;9;6;10;25;12;16;19;14;5;20;15;8;23;7;13;17;1
19;21;5;22;17;2;18;24;20;1;9;6;10;25;12;16;11;14;3;7;4;8;26;15;13;23;1
3;4;11;22;26;2;17;7;25;10;19;5;8;9;12;16;21;14;6;20;15;18;24;13;23;1;1
3;5;21;9;25;2;17;6;26;1;19;4;15;22;20;16;11;14;7;12;8;10;23;24;13;18;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;12;10;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;12;10;1
1;23;14;15;8;9;19;24;2;21;12;18;17;7;22;4;16;5;20;6;11;13;25;3;10;26;1
10;23;14;15;8;9;19;24;2;22;12;18;17;11;21;26;16;5;20;6;7;13;25;3;4;1;1
10;16;12;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;2;23;1
7;16;9;24;11;3;5;6;26;1;19;4;15;22;20;17;23;2;25;21;8;18;14;13;12;10;1
24;15;16;22;19;9;21;3;11;17;20;6;1;8;26;7;2;25;10;23;4;18;14;13;12;5;1
23;16;2;24;11;9;21;3;26;1;19;4;15;22;20;17;7;6;25;5;8;18;14;13;12;10;1
19;25;18;7;24;9;12;21;8;22;15;26;14;13;6;17;23;2;5;10;20;11;16;4;3;1;1
1;19;3;17;24;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;18;25;13;1
19;25;18;13;24;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;17;3;1;1
17;25;18;13;24;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;19;3;1;1
23;2;16;22;19;9;21;3;11;17;20;18;1;8;26;7;15;6;25;5;24;4;14;13;12;10;1
22;12;2;24;11;3;5;6;26;17;20;18;1;8;19;7;16;25;13;23;4;9;10;14;15;21;1
19;4;21;22;26;2;17;18;8;6;14;9;15;7;13;25;12;24;5;10;20;11;16;23;3;1;1
19;25;18;13;24;9;23;21;8;6;14;2;15;7;12;16;11;3;10;20;4;1;17;26;22;5;1
13;4;21;22;26;2;24;7;25;10;19;5;8;9;12;23;11;14;6;20;15;18;16;17;3;1;1
19;25;18;13;14;7;23;21;10;2;26;5;8;9;12;16;11;24;6;20;15;22;4;17;3;1;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;12;10;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;12;10;1
14;25;18;13;24;9;23;21;8;1;19;4;15;7;22;2;12;26;5;10;20;11;16;17;3;6;1
23;16;2;24;11;3;7;6;9;1;19;17;15;20;22;4;12;26;25;21;8;18;14;13;5;10;1
24;12;16;22;19;9;21;3;11;17;4;18;1;8;26;7;2;25;5;10;20;6;23;14;15;13;1
19;25;18;13;24;9;23;21;8;11;17;2;3;7;22;4;12;26;5;16;20;6;10;14;15;1;1
23;9;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;16;25;21;8;18;14;13;12;10;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;8;18;14;13;12;10;1
19;25;18;13;3;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;17;24;1;1
19;8;18;13;24;9;23;21;25;6;14;2;15;7;22;4;12;26;5;10;20;11;16;17;3;1;1
19;25;18;13;24;9;23;21;8;17;20;16;1;11;26;7;2;12;22;3;4;6;10;14;15;5;1
19;22;12;5;24;9;16;21;11;17;20;18;1;8;26;7;2;25;13;23;4;6;10;14;3;15;1
19;25;18;13;24;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;17;3;1;1
19;25;18;13;24;9;23;21;8;6;14;2;15;7;22;4;12;26;5;10;20;11;16;17;3;1;1
23;16;21;22;26;2;17;7;25;10;19;4;15;24;20;5;6;9;11;3;8;18;14;13;12;1;1
3;4;12;26;22;2;16;11;6;10;19;5;15;23;20;17;7;9;25;21;8;18;14;24;13;1;1
22;17;2;24;7;3;4;25;26;18;19;5;8;9;12;16;11;14;6;20;15;1;23;13;21;10;1
3;4;20;22;26;2;16;11;6;10;19;5;8;14;12;17;7;9;25;21;15;1;23;24;13;18;1
23;16;2;24;11;3;5;6;26;1;19;4;15;22;20;17;7;9;25;21;18;13;10;14;12;8;1
23;16;2;26;11;3;5;6;20;15;19;4;1;8;24;7;17;9;25;21;22;18;14;13;12;10;1
24;12;16;22;19;9;3;21;8;6;14;2;1;11;26;7;18;25;13;23;4;17;10;20;15;5;1
19;26;18;13;24;9;16;21;8;11;17;2;15;7;22;20;12;25;5;23;4;6;10;14;3;1;1
