"X52";"X18";"X32";"X20";"X16";"X63";"X35";"X46";"X14";"X31";"X13";"X7";"X42";"X12";"X17";"X27";"X1";"X55";"X51";"X28";"X21";"X25";"X37";"X11";"X61";"X56";"X45";"X58";"X19";"X57";"X23";"X38";"X34";"X43";"X29";"X5";"X2";"X3";"X48";"X24";"X22";"X10";"X4";"X50";"X64";"X49";"X15";"X40";"X54";"X8";"X62";"X26";"X33";"X59";"X6";"X39";"X41";"X53";"X36";"X60";"X30";"X9";"X47";"X44";"generation"
52;18;32;20;16;63;35;46;14;31;13;7;42;12;17;27;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;59;6;39;41;53;36;60;30;9;47;44;1
16;46;37;60;23;33;8;52;14;2;5;7;30;4;18;31;50;55;29;47;59;53;22;48;42;35;11;64;63;41;54;43;19;25;51;26;40;13;12;56;20;17;44;1;38;45;9;24;27;28;62;49;15;21;6;39;57;58;36;34;61;10;32;3;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;32;61;56;45;58;17;57;23;38;34;63;29;36;2;60;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;59;5;6;43;30;19;11;3;1
17;42;27;36;14;35;60;26;63;4;53;54;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;59;22;8;24;33;20;9;13;48;49;40;52;62;32;2;41;50;46;64;16;15;10;6;12;30;47;7;3;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;2;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;1;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
3;4;56;51;41;18;47;13;31;7;48;12;2;30;64;33;14;23;29;36;25;53;10;50;61;40;8;34;20;19;35;22;46;26;59;42;5;43;54;55;58;37;52;1;38;45;9;24;27;28;62;49;15;21;6;39;57;11;60;32;17;63;44;16;1
44;18;32;37;16;34;2;46;14;31;3;7;61;5;27;23;29;55;50;47;59;53;22;48;42;38;11;64;63;45;54;43;19;25;28;26;40;13;12;56;58;15;52;1;24;41;8;35;10;62;51;49;17;21;6;39;57;20;36;60;30;33;9;4;1
19;5;43;3;16;34;2;26;44;55;53;28;8;63;54;46;13;4;35;18;20;50;17;7;60;37;62;10;47;41;21;32;52;12;64;58;59;22;39;24;33;29;14;1;38;45;9;56;27;48;11;49;15;51;6;25;57;23;36;42;30;40;61;31;1
34;60;49;36;33;21;2;46;14;31;3;7;61;5;10;23;29;55;50;47;59;53;22;48;42;35;11;64;63;41;54;43;19;25;51;26;40;13;12;56;20;17;44;1;38;45;9;24;27;28;62;57;39;4;58;16;15;18;6;32;30;52;8;37;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;25;51;28;21;55;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;31;23;43;27;51;61;26;44;55;53;28;8;63;54;46;13;4;35;18;20;50;17;7;60;37;62;10;47;41;21;32;52;12;64;58;59;22;39;24;3;5;9;25;29;49;15;40;11;48;45;34;33;42;1;57;30;36;19;14;2;56;38;6;1
56;42;27;36;63;9;47;52;14;35;12;7;39;44;18;31;1;55;4;54;20;50;17;28;60;38;62;10;61;41;21;32;26;53;64;58;59;22;8;24;33;23;51;13;48;49;40;34;45;37;2;57;25;46;29;16;15;5;6;43;30;19;11;3;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
27;7;47;16;18;52;20;39;12;31;9;46;14;53;44;35;1;55;51;28;21;25;37;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;64;49;15;40;54;8;62;26;33;42;13;41;30;36;60;63;59;17;32;6;1
16;46;20;53;27;9;47;52;14;35;12;7;39;44;18;31;1;55;51;28;21;25;49;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;48;24;22;10;4;50;40;37;41;64;54;8;62;26;33;42;13;15;30;36;60;63;59;17;32;6;1
2;42;27;38;16;51;61;26;44;55;53;28;8;63;54;46;13;4;35;25;20;50;17;7;60;37;62;10;47;41;21;29;52;12;45;57;59;22;39;24;33;23;9;1;48;49;40;58;64;36;56;34;18;32;31;14;15;5;6;43;30;19;11;3;1
22;62;47;38;14;51;61;26;44;55;53;28;24;17;5;8;23;10;13;1;57;6;33;20;16;59;7;25;52;3;46;11;30;21;54;12;45;19;2;39;63;43;4;48;40;37;41;58;64;36;56;34;18;32;31;49;15;42;27;60;50;9;35;29;1
16;31;5;43;27;51;19;26;44;55;53;28;8;63;54;46;13;4;35;18;20;50;17;7;60;37;62;10;47;41;21;32;52;12;64;58;59;22;39;24;33;23;9;1;48;49;40;34;11;29;45;15;3;42;25;57;30;36;61;14;2;56;38;6;1
37;42;27;36;14;51;60;26;44;55;53;28;8;63;54;46;13;4;35;18;20;50;17;11;61;56;45;58;19;57;23;38;34;43;29;5;2;3;39;24;33;21;9;1;48;49;40;52;62;32;59;41;25;31;64;16;15;10;6;12;30;47;7;22;1
52;10;32;22;16;34;2;46;14;23;3;7;39;44;18;31;1;55;51;28;21;25;37;11;61;56;45;64;63;41;54;43;19;53;50;26;40;13;12;35;20;17;5;29;38;48;9;24;27;47;62;49;15;59;6;42;57;58;36;60;30;33;8;4;1
