"X10" "X29" "X28" "X7" "X31" "X19" "X9" "X5" "X32" "X13" "X16" "X15" "X23" "X30" "X18" "X6" "X26" "X27" "X3" "X14" "X8" "X12" "X11" "X17" "X22" "X25" "X4" "X24" "X20" "X2" "X21" "X1" "generation"
10 29 28 7 31 19 9 5 32 13 16 15 23 30 18 6 26 27 3 14 8 12 11 17 22 25 4 24 20 2 21 1 1
10 29 28 7 31 19 9 5 32 13 16 15 23 30 18 6 26 27 3 14 8 12 11 17 22 25 4 24 20 2 21 1 1
20 17 15 27 14 7 2 12 16 29 32 23 22 31 19 25 6 26 5 13 10 9 11 30 1 3 4 24 18 21 8 28 1
29 7 24 14 17 22 23 12 16 28 1 3 13 31 19 25 6 26 5 15 10 9 11 30 32 27 18 8 4 20 21 2 1
21 32 25 18 27 23 1 30 28 24 13 7 20 26 14 9 19 31 15 2 4 10 8 17 22 12 16 5 11 6 3 29 1
21 32 10 9 27 23 1 30 28 4 13 31 20 2 16 18 25 17 22 26 24 19 11 5 12 6 14 8 29 15 3 7 1
20 17 29 27 14 7 2 12 16 8 1 3 13 31 19 25 6 26 5 22 10 9 11 30 32 23 4 24 18 21 28 15 1
7 17 32 12 1 8 2 3 24 13 4 14 29 31 19 25 6 26 5 22 10 9 11 18 20 23 21 16 27 30 28 15 1
18 11 26 1 25 8 27 5 16 29 32 23 22 28 14 9 19 31 15 2 7 24 17 10 13 6 30 20 12 3 4 21 1
26 4 10 16 30 5 3 21 6 29 32 23 22 28 2 9 19 31 15 14 7 24 8 17 12 27 18 11 25 20 1 13 1
28 11 26 1 24 8 31 4 16 27 21 2 23 15 25 30 18 29 19 14 7 22 3 10 13 6 9 20 12 17 5 32 1
12 21 15 8 31 26 16 3 4 32 18 22 25 19 29 2 23 11 1 28 7 24 17 10 13 6 9 20 27 30 5 14 1
7 17 9 12 8 1 10 5 32 13 16 15 23 30 18 6 26 24 3 20 2 29 27 4 22 19 21 25 11 31 28 14 1
10 12 28 7 30 25 26 5 11 3 16 15 29 31 6 4 9 32 13 20 1 23 27 18 22 19 21 24 14 8 17 2 1
26 7 18 16 30 5 3 1 6 29 32 23 10 28 14 9 19 31 15 27 8 12 11 17 22 25 4 24 20 2 21 13 1
7 13 24 16 30 5 3 21 6 29 32 23 22 28 14 9 19 31 15 2 4 10 8 17 12 27 18 11 25 20 26 1 1
20 15 5 1 26 29 21 28 19 16 23 6 7 18 30 31 32 27 3 14 8 12 11 17 22 25 4 24 10 13 9 2 1
10 29 28 16 6 19 9 5 32 27 23 3 7 17 30 31 14 13 15 26 8 12 11 18 22 25 4 24 20 2 21 1 1
4 12 26 1 22 8 31 5 20 27 9 2 23 15 25 3 18 29 6 14 7 24 17 10 13 19 21 16 11 30 28 32 1
2 27 26 12 1 8 18 3 23 5 25 20 29 31 22 4 21 32 19 14 7 24 17 10 13 6 9 16 11 30 28 15 1
10 29 28 27 31 25 9 20 32 13 16 3 23 30 18 2 4 17 22 26 24 19 11 7 15 12 14 5 8 6 21 1 1
3 32 10 9 27 23 29 30 28 4 13 31 20 6 16 18 25 17 22 26 24 19 11 7 15 12 14 5 8 2 21 1 1
10 29 28 7 30 18 9 5 32 13 16 15 23 31 19 25 26 27 3 14 8 12 11 17 22 6 4 24 20 2 21 1 1
