"X27";"X28";"X22";"X16";"X23";"X6";"X19";"X29";"X7";"X11";"X21";"X30";"X14";"X2";"X24";"X26";"X32";"X12";"X5";"X10";"X20";"X17";"X1";"X25";"X13";"X3";"X4";"X31";"X15";"X8";"X9";"X18";"generation"
27;28;22;16;23;6;19;29;7;11;21;30;14;2;24;26;32;12;5;10;20;17;1;25;13;3;4;31;15;8;9;18;1
27;14;16;19;5;29;26;13;21;24;22;25;20;28;1;31;32;12;18;17;30;6;8;15;3;23;10;9;4;7;11;2;1
27;24;30;25;1;32;26;31;21;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;5;15;12;11;13;1
11;14;16;19;18;32;26;3;22;24;21;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;2;27;12;1
27;14;16;19;18;32;26;3;21;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;2;1
27;14;16;19;18;32;26;3;21;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;2;1
24;11;12;1;10;8;22;18;30;6;13;23;26;16;14;28;2;20;9;27;29;21;5;32;19;15;31;4;7;17;25;3;1
32;26;8;3;24;25;16;2;30;27;21;23;11;10;18;31;12;6;20;19;29;28;5;14;9;1;22;4;7;13;15;17;1
27;20;13;19;18;32;25;6;21;24;22;15;30;28;8;23;29;7;2;3;14;17;26;1;16;31;9;4;10;12;11;5;1
11;21;28;30;4;12;25;5;31;19;22;7;27;24;20;16;8;15;2;3;14;17;26;1;13;23;6;9;10;29;32;18;1
18;21;26;16;27;14;3;32;19;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;2;1
27;14;16;19;18;32;26;3;23;4;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;9;24;21;6;12;11;2;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;3;22;29;7;5;10;20;17;18;19;2;6;9;21;23;1;32;12;1
27;14;16;25;18;32;26;17;23;24;22;15;30;28;8;31;29;1;4;10;2;3;7;19;20;6;9;21;5;12;11;13;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
27;28;22;16;23;10;19;29;7;11;21;20;14;2;24;26;32;1;18;17;30;25;8;15;3;13;6;9;4;12;31;5;1
27;28;22;16;23;10;19;29;7;11;21;20;14;2;24;26;32;12;18;17;30;6;8;15;3;13;4;31;5;9;1;25;1
11;21;28;30;18;32;26;3;23;19;22;7;27;24;20;13;8;15;2;5;14;17;25;1;16;31;9;4;10;29;12;6;1
30;14;16;19;18;6;26;3;21;28;22;7;27;24;8;31;29;15;5;10;20;17;1;25;13;23;32;9;4;12;11;2;1
15;8;31;16;17;14;1;27;4;25;10;5;13;32;18;12;11;22;23;29;2;3;7;19;20;6;24;21;9;26;30;28;1
26;31;24;14;16;27;7;20;2;25;10;5;13;32;18;12;11;3;23;29;30;8;17;19;15;6;9;21;28;1;4;22;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
11;17;13;30;6;12;25;5;23;8;2;7;26;24;15;28;22;20;19;27;29;21;3;14;9;1;16;4;10;31;32;18;1
24;11;12;15;7;8;14;18;30;6;13;23;3;22;25;28;2;20;19;27;21;17;26;1;16;31;9;4;10;29;32;5;1
26;18;3;7;24;25;16;2;30;27;21;23;11;10;8;22;12;6;20;9;4;28;5;32;19;15;31;29;14;13;1;17;1
5;26;8;28;24;25;16;2;30;27;21;23;11;10;18;22;12;6;20;9;4;3;7;19;32;15;31;29;14;13;1;17;1
24;11;12;15;10;8;31;18;30;6;13;23;26;16;32;28;2;20;19;27;29;21;3;14;9;1;22;4;7;17;25;5;1
24;11;12;15;10;8;31;18;30;17;13;23;26;16;32;28;29;22;14;27;2;3;7;19;20;6;9;21;5;1;25;4;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
11;21;24;27;3;12;26;2;16;19;22;15;30;7;8;31;29;28;5;10;20;17;1;25;13;23;6;9;4;14;32;18;1
30;29;16;19;18;32;1;10;21;28;22;7;27;24;20;13;8;15;2;3;14;17;26;25;31;23;6;9;4;12;11;5;1
27;28;22;16;23;10;19;29;7;11;21;20;14;2;24;26;32;12;18;17;30;6;8;15;3;13;4;31;25;1;9;5;1
27;28;22;16;23;10;19;29;7;11;21;20;14;2;24;26;32;12;18;17;30;6;8;15;3;13;4;31;25;1;9;5;1
7;6;24;25;13;27;11;15;30;2;8;28;20;4;29;22;18;10;23;3;14;17;26;1;16;31;9;21;5;19;32;12;1
11;21;28;30;6;12;25;10;23;19;22;7;27;24;20;13;8;15;2;3;14;17;26;29;16;31;9;4;5;1;32;18;1
27;14;30;25;12;32;26;8;15;24;31;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;13;11;1
26;31;24;19;2;27;11;15;30;14;8;28;16;4;3;22;18;29;6;10;20;17;1;25;13;23;9;21;5;7;32;12;1
27;28;22;16;23;10;15;29;8;11;31;13;14;2;24;26;4;12;18;17;30;3;7;19;1;6;9;21;5;20;32;25;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;32;12;18;29;2;3;7;19;20;6;9;21;5;1;23;10;1
27;14;16;19;18;32;26;3;21;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;2;1
27;14;16;7;18;32;26;3;21;24;22;15;30;28;8;31;29;19;5;10;20;17;1;25;13;23;6;9;4;12;11;2;1
26;31;8;3;24;25;11;15;30;14;13;28;16;4;17;22;18;10;23;29;2;27;7;19;20;6;9;21;5;1;32;12;1
5;26;8;28;24;25;16;4;30;27;21;23;11;10;18;22;12;15;32;29;2;3;7;19;20;6;9;31;14;13;1;17;1
24;11;12;27;1;13;31;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;26;21;32;25;5;1
26;31;24;25;8;27;11;15;30;6;13;23;16;4;17;22;18;10;28;29;2;3;7;19;20;14;9;21;5;1;32;12;1
27;28;22;16;23;10;19;29;7;11;31;20;14;2;24;26;32;12;18;17;30;13;8;15;3;6;9;21;25;1;4;5;1
22;21;29;5;20;27;11;19;23;16;7;28;14;2;24;26;32;12;18;17;30;6;8;15;3;13;4;31;25;1;9;10;1
15;19;31;16;17;8;7;20;2;25;10;5;13;32;18;12;11;3;14;29;4;22;1;28;27;9;24;21;6;26;30;23;1
15;21;31;16;22;14;7;24;2;28;29;5;27;32;18;12;11;3;8;10;20;17;1;25;13;23;6;9;4;26;30;19;1
26;31;24;25;13;27;11;15;2;14;7;28;16;4;29;22;23;10;18;17;30;6;8;19;20;3;9;21;5;1;32;12;1
10;28;22;16;23;27;11;15;7;19;21;20;14;2;24;26;32;12;18;17;30;6;8;29;3;13;4;31;25;1;9;5;1
27;14;16;19;18;32;26;3;23;24;22;15;30;28;8;31;29;7;4;10;13;17;12;25;20;6;9;21;5;1;11;2;1
26;3;14;19;2;27;11;21;16;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;18;32;12;1
32;16;14;19;2;27;26;3;21;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;18;1
27;14;16;25;13;11;26;17;4;24;22;15;30;28;8;31;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
27;20;16;19;18;32;1;10;21;24;22;7;30;28;8;31;29;15;2;3;14;17;26;25;13;23;6;9;4;12;11;5;1
11;21;28;30;10;17;25;5;31;19;22;7;27;24;20;13;8;15;2;3;14;29;26;1;16;23;6;9;4;12;32;18;1
27;14;16;19;18;32;26;3;21;24;31;15;30;28;8;22;12;6;20;10;5;17;1;25;13;23;7;9;4;29;11;2;1
6;14;16;19;18;32;26;3;21;24;22;15;30;28;8;31;29;7;5;10;20;17;1;25;2;23;11;12;27;13;4;9;1
30;28;21;18;6;12;25;5;23;19;22;7;27;24;20;13;8;15;2;3;14;17;26;1;16;31;9;32;11;10;4;29;1
11;21;28;14;16;1;10;5;23;19;22;7;27;20;24;26;32;12;18;17;30;6;8;15;3;13;4;31;25;29;9;2;1
11;17;14;25;13;27;26;3;21;24;22;15;30;28;8;31;29;7;5;10;2;4;18;19;20;6;9;16;23;1;32;12;1
27;24;16;19;18;32;26;15;30;14;22;3;21;28;8;31;29;7;5;10;20;17;1;12;13;23;6;9;4;25;11;2;1
26;21;28;30;6;12;25;5;23;19;22;7;27;24;20;13;8;15;2;29;11;3;4;14;17;18;9;31;10;1;32;16;1
11;21;28;30;31;12;25;5;23;1;22;26;27;24;16;13;8;15;2;3;14;17;7;19;20;6;9;4;10;29;32;18;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;3;14;8;28;16;4;17;22;18;10;23;29;2;30;7;19;20;6;9;21;5;1;32;12;1
27;14;13;19;2;11;26;3;21;24;22;15;30;28;8;23;12;7;5;6;20;17;1;25;16;31;9;4;10;29;32;18;1
11;21;24;27;6;12;25;5;23;19;22;15;30;28;8;31;20;7;2;3;14;17;26;1;16;13;9;4;10;29;32;18;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
30;29;21;28;18;32;25;5;23;19;22;7;27;24;20;13;8;15;2;3;14;17;26;1;16;31;9;6;4;12;11;10;1
11;23;19;27;6;12;26;3;21;24;22;15;30;28;8;31;29;7;2;5;14;17;25;1;16;13;9;4;10;20;32;18;1
26;31;24;25;13;27;32;15;30;14;8;28;16;5;17;22;18;10;23;29;1;3;7;19;20;6;21;9;4;12;11;2;1
27;24;26;19;29;32;11;15;30;14;8;28;16;4;17;22;18;10;5;7;20;31;1;25;13;23;6;9;3;12;21;2;1
15;23;24;27;22;4;7;20;2;25;10;5;13;32;18;12;11;29;8;3;14;17;26;1;16;31;9;21;6;28;30;19;1
2;14;15;30;10;13;25;5;23;19;17;7;16;31;20;12;11;3;8;29;4;22;1;28;27;9;24;21;6;26;32;18;1
14;32;8;3;24;25;16;2;30;27;21;23;11;10;18;22;12;6;20;9;4;28;5;15;19;13;7;31;29;1;17;26;1
7;26;8;3;24;25;16;2;30;27;21;23;11;10;18;22;12;6;20;13;4;28;5;32;19;15;31;9;14;1;29;17;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
26;31;24;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;6;9;21;5;1;32;12;1
27;28;22;16;23;10;19;29;25;11;21;20;14;2;24;26;32;12;18;17;30;6;8;15;3;13;31;4;7;1;9;5;1
16;11;23;15;10;8;31;19;30;6;21;20;14;2;24;26;32;12;18;27;29;13;3;28;9;1;22;4;7;17;25;5;1
11;21;28;30;6;12;25;5;23;19;22;7;27;24;20;13;8;15;2;3;14;17;26;1;16;31;9;4;10;29;32;18;1
11;21;28;30;6;12;25;5;23;19;22;7;27;24;20;13;8;15;2;3;14;17;26;1;16;31;9;4;10;29;32;18;1
15;23;31;16;17;25;7;20;2;14;8;5;13;32;18;12;11;3;10;29;4;22;1;28;27;9;24;21;6;26;30;19;1
26;31;6;25;13;27;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;9;24;21;5;1;32;12;1
27;24;31;25;6;32;11;15;30;14;8;28;16;4;17;22;18;10;23;29;2;3;7;19;20;1;9;21;5;12;26;13;1
26;22;24;19;2;27;32;15;16;14;3;21;30;28;8;31;29;7;5;10;20;17;1;25;13;23;6;9;4;12;11;18;1
