"X1";"X47852";"X9";"X6";"X11";"X5";"X12";"X1.1";"X7";"X4";"X3";"X2";"X10";"X8"
1;47852;9;6;11;5;12;1;7;4;3;2;10;8
9;6;10;5;12;1;7;4;3;2;11;8;1;44966
1;44966;9;6;10;5;12;1;7;4;3;2;11;8
9;6;10;5;12;1;8;4;3;2;11;7;1;41466
1;41466;9;6;10;5;12;1;8;4;3;2;11;7
2;6;10;5;12;1;8;4;3;9;11;7;1;46322
1;46322;2;6;10;5;12;1;8;4;3;9;11;7
2;6;10;5;12;1;8;4;3;9;7;11;1;46850
1;46850;2;6;10;5;12;1;8;4;3;9;7;11
2;8;10;5;12;1;6;4;3;9;7;11;1;45946
1;45946;2;8;10;5;12;1;6;4;3;9;7;11
2;8;10;5;12;7;6;4;3;9;1;11;1;54346
1;54346;2;8;10;5;12;7;6;4;3;9;1;11
2;8;11;5;12;7;6;4;3;9;1;10;1;54728
1;54728;2;8;11;5;12;7;6;4;3;9;1;10
2;8;11;5;12;7;9;4;3;6;1;10;1;51216
1;51216;2;8;11;5;12;7;9;4;3;6;1;10
1;8;11;5;12;7;9;4;3;6;2;10;1;47386
1;47386;1;8;11;5;12;7;9;4;3;6;2;10
1;11;8;5;12;7;9;4;3;6;2;10;1;43918
1;43918;1;11;8;5;12;7;9;4;3;6;2;10
1;11;5;8;12;7;9;4;3;6;2;10;1;46628
1;46628;1;11;5;8;12;7;9;4;3;6;2;10
1;11;12;8;5;7;9;4;3;6;2;10;1;41760
1;41760;1;11;12;8;5;7;9;4;3;6;2;10
1;11;12;8;5;7;4;9;3;6;2;10;1;47792
1;47792;1;11;12;8;5;7;4;9;3;6;2;10
1;11;12;8;5;4;7;9;3;6;2;10;1;47334
1;47334;1;11;12;8;5;4;7;9;3;6;2;10
6;11;12;8;5;4;7;9;3;1;2;10;1;44364
1;44364;6;11;12;8;5;4;7;9;3;1;2;10
6;2;12;8;5;4;7;9;3;1;11;10;1;47894
1;47894;6;2;12;8;5;4;7;9;3;1;11;10
6;2;12;8;9;4;7;5;3;1;11;10;1;43194
1;43194;6;2;12;8;9;4;7;5;3;1;11;10
8;2;12;6;9;4;7;5;3;1;11;10;1;48230
1;48230;8;2;12;6;9;4;7;5;3;1;11;10
9;2;12;6;8;4;7;5;3;1;11;10;1;38768
1;38768;9;2;12;6;8;4;7;5;3;1;11;10
9;1;12;6;8;4;7;5;3;2;11;10;1;53054
2;53054;9;1;12;6;8;4;7;5;3;2;11;10
9;1;12;6;7;4;8;5;3;2;11;10;2;54516
2;53054;9;1;12;6;8;4;7;5;3;2;11;10
9;1;12;7;8;4;6;5;3;2;11;10;2;52760
2;52760;9;1;12;7;8;4;6;5;3;2;11;10
12;1;9;7;8;4;6;5;3;2;11;10;2;59036
2;59036;12;1;9;7;8;4;6;5;3;2;11;10
12;1;9;5;8;4;6;7;3;2;11;10;2;47998
