"X1";"X33432";"X5";"X8";"X11";"X2";"X10";"X6";"X12";"X4";"X1.1";"X3";"X7";"X9"
1;33432;5;8;11;2;10;6;12;4;1;3;7;9
5;8;11;2;10;6;12;9;1;3;7;4;1;38168
1;38168;5;8;11;2;10;6;12;9;1;3;7;4
5;8;11;10;2;6;12;9;1;3;7;4;1;41128
1;41128;5;8;11;10;2;6;12;9;1;3;7;4
5;8;9;10;2;6;12;11;1;3;7;4;1;40448
1;40448;5;8;9;10;2;6;12;11;1;3;7;4
3;8;9;10;2;6;12;11;1;5;7;4;1;43496
1;43496;3;8;9;10;2;6;12;11;1;5;7;4
3;8;5;10;2;6;12;11;1;9;7;4;1;45848
1;45848;3;8;5;10;2;6;12;11;1;9;7;4
3;8;5;10;6;2;12;11;1;9;7;4;1;51888
1;51888;3;8;5;10;6;2;12;11;1;9;7;4
3;8;5;10;6;2;7;11;1;9;12;4;1;53184
1;53184;3;8;5;10;6;2;7;11;1;9;12;4
3;8;5;10;6;2;7;9;1;11;12;4;1;57750
1;57750;3;8;5;10;6;2;7;9;1;11;12;4
5;8;3;10;6;2;7;9;1;11;12;4;1;48714
1;48714;5;8;3;10;6;2;7;9;1;11;12;4
5;8;3;10;6;12;7;9;1;11;2;4;1;45762
1;45762;5;8;3;10;6;12;7;9;1;11;2;4
5;8;3;10;6;12;1;9;7;11;2;4;1;45090
1;45090;5;8;3;10;6;12;1;9;7;11;2;4
5;8;3;10;4;12;1;9;7;11;2;6;1;42552
1;42552;5;8;3;10;4;12;1;9;7;11;2;6
9;8;3;10;4;12;1;5;7;11;2;6;1;35408
1;35408;9;8;3;10;4;12;1;5;7;11;2;6
9;8;3;10;2;12;1;5;7;11;4;6;1;36164
1;36164;9;8;3;10;2;12;1;5;7;11;4;6
9;8;3;10;2;7;1;5;12;11;4;6;1;38954
1;38954;9;8;3;10;2;7;1;5;12;11;4;6
9;8;3;10;2;7;6;5;12;11;4;1;1;44594
1;44594;9;8;3;10;2;7;6;5;12;11;4;1
9;8;3;10;5;7;6;2;12;11;4;1;1;64344
1;44594;9;8;3;10;2;7;6;5;12;11;4;1
9;8;3;11;2;7;6;5;12;10;4;1;1;43410
1;43410;9;8;3;11;2;7;6;5;12;10;4;1
9;8;3;7;2;11;6;5;12;10;4;1;1;31220
1;31220;9;8;3;7;2;11;6;5;12;10;4;1
9;8;3;7;2;11;12;5;6;10;4;1;1;25182
2;25182;9;8;3;7;2;11;12;5;6;10;4;1
9;8;3;7;2;11;5;12;6;10;4;1;2;37562
2;37562;9;8;3;7;2;11;5;12;6;10;4;1
9;8;3;7;2;11;12;5;6;10;4;1;2;25182
2;25182;9;8;3;7;2;11;12;5;6;10;4;1
9;8;3;7;2;12;11;5;6;10;4;1;2;36222
2;25182;9;8;3;7;2;11;12;5;6;10;4;1
9;8;12;7;2;11;3;5;6;10;4;1;2;26574
2;26574;9;8;12;7;2;11;3;5;6;10;4;1
9;8;12;7;2;1;3;5;6;10;4;11;2;33984
2;33984;9;8;12;7;2;1;3;5;6;10;4;11
9;8;12;10;2;1;3;5;6;7;4;11;2;32170
2;32170;9;8;12;10;2;1;3;5;6;7;4;11
9;8;12;10;4;1;3;5;6;7;2;11;2;35010
2;35010;9;8;12;10;4;1;3;5;6;7;2;11
9;8;12;10;4;1;2;5;6;7;3;11;2;35868
2;35868;9;8;12;10;4;1;2;5;6;7;3;11
9;12;8;10;4;1;2;5;6;7;3;11;2;45524
2;35868;9;8;12;10;4;1;2;5;6;7;3;11
9;1;12;10;4;8;2;5;6;7;3;11;2;42134
2;42134;9;1;12;10;4;8;2;5;6;7;3;11
9;1;3;10;4;8;2;5;6;7;12;11;2;39012
2;39012;9;1;3;10;4;8;2;5;6;7;12;11
9;1;3;10;6;8;2;5;4;7;12;11;2;42026
2;42026;9;1;3;10;6;8;2;5;4;7;12;11
9;1;3;10;6;5;2;8;4;7;12;11;2;63300
2;63300;9;1;3;10;6;5;2;8;4;7;12;11
10;1;3;9;6;5;2;8;4;7;12;11;2;53356
2;53356;10;1;3;9;6;5;2;8;4;7;12;11
10;1;11;9;6;5;2;8;4;7;12;3;2;52364
2;52364;10;1;11;9;6;5;2;8;4;7;12;3
10;6;11;9;1;5;2;8;4;7;12;3;2;56722
2;56722;10;6;11;9;1;5;2;8;4;7;12;3
10;6;11;8;1;5;2;9;4;7;12;3;2;45882
2;45882;10;6;11;8;1;5;2;9;4;7;12;3
10;6;7;8;1;5;2;9;4;11;12;3;2;42498
2;42498;10;6;7;8;1;5;2;9;4;11;12;3
12;6;7;8;1;5;2;9;4;11;10;3;2;47108
2;47108;12;6;7;8;1;5;2;9;4;11;10;3
12;6;7;8;1;5;11;9;4;2;10;3;2;49098
3;49098;12;6;7;8;1;5;11;9;4;2;10;3
12;6;8;7;1;5;11;9;4;2;10;3;3;46136
3;46136;12;6;8;7;1;5;11;9;4;2;10;3
12;6;8;7;1;5;11;9;4;10;2;3;3;50062
3;50062;12;6;8;7;1;5;11;9;4;10;2;3
12;6;8;7;5;1;11;9;4;10;2;3;3;49702
3;49702;12;6;8;7;5;1;11;9;4;10;2;3
12;6;8;7;5;1;11;9;4;2;10;3;3;45776
3;45776;12;6;8;7;5;1;11;9;4;2;10;3
12;6;8;7;5;1;11;9;2;4;10;3;3;42100
3;42100;12;6;8;7;5;1;11;9;2;4;10;3
1;6;8;7;5;12;11;9;2;4;10;3;3;38582
3;38582;1;6;8;7;5;12;11;9;2;4;10;3
6;1;8;7;5;12;11;9;2;4;10;3;3;54170
3;54170;6;1;8;7;5;12;11;9;2;4;10;3
6;8;1;7;5;12;11;9;2;4;10;3;3;51542
3;51542;6;8;1;7;5;12;11;9;2;4;10;3
6;8;1;10;5;12;11;9;2;4;7;3;3;48798
3;48798;6;8;1;10;5;12;11;9;2;4;7;3
6;8;1;10;5;4;11;9;2;12;7;3;3;44096
3;44096;6;8;1;10;5;4;11;9;2;12;7;3
6;8;1;10;5;4;11;9;12;2;7;3;3;45726
3;45726;6;8;1;10;5;4;11;9;12;2;7;3
5;8;1;10;6;4;11;9;12;2;7;3;3;39038
3;39038;5;8;1;10;6;4;11;9;12;2;7;3
5;8;11;10;6;4;1;9;12;2;7;3;3;36678
3;36678;5;8;11;10;6;4;1;9;12;2;7;3
12;8;11;10;6;4;1;9;5;2;7;3;3;44918
3;36678;5;8;11;10;6;4;1;9;12;2;7;3
10;8;11;5;6;4;1;9;12;2;7;3;3;34058
3;34058;10;8;11;5;6;4;1;9;12;2;7;3
10;8;7;5;6;4;1;9;12;2;11;3;3;29724
3;29724;10;8;7;5;6;4;1;9;12;2;11;3
10;5;7;8;6;4;1;9;12;2;11;3;3;39588
3;39588;10;5;7;8;6;4;1;9;12;2;11;3
10;5;7;8;6;12;1;9;4;2;11;3;3;39496
3;39496;10;5;7;8;6;12;1;9;4;2;11;3
2;5;7;8;6;12;1;9;4;10;11;3;3;61256
3;39496;10;5;7;8;6;12;1;9;4;2;11;3
10;5;7;8;6;12;1;9;4;3;11;2;3;46024
4;46024;10;5;7;8;6;12;1;9;4;3;11;2
10;5;7;8;12;6;1;9;4;3;11;2;4;46518
4;46518;10;5;7;8;12;6;1;9;4;3;11;2
10;5;7;8;12;6;1;11;4;3;9;2;4;42512
4;42512;10;5;7;8;12;6;1;11;4;3;9;2
10;5;7;8;6;12;1;11;4;3;9;2;4;42018
4;42018;10;5;7;8;6;12;1;11;4;3;9;2
10;5;7;8;6;12;2;11;4;3;9;1;4;41704
4;41704;10;5;7;8;6;12;2;11;4;3;9;1
10;5;9;8;6;12;2;11;4;3;7;1;4;43002
4;43002;10;5;9;8;6;12;2;11;4;3;7;1
10;5;9;2;6;12;8;11;4;3;7;1;4;44942
4;44942;10;5;9;2;6;12;8;11;4;3;7;1
10;5;2;9;6;12;8;11;4;3;7;1;4;48510
4;48510;10;5;2;9;6;12;8;11;4;3;7;1
10;5;2;12;6;9;8;11;4;3;7;1;4;49426
4;49426;10;5;2;12;6;9;8;11;4;3;7;1
10;5;2;12;6;3;8;11;4;9;7;1;4;36748
4;36748;10;5;2;12;6;3;8;11;4;9;7;1
10;5;2;12;6;9;8;11;4;3;7;1;4;49426
4;49426;10;5;2;12;6;9;8;11;4;3;7;1
10;5;2;3;6;9;8;11;4;12;7;1;4;44398
4;44398;10;5;2;3;6;9;8;11;4;12;7;1
6;5;2;3;10;9;8;11;4;12;7;1;4;54974
4;54974;6;5;2;3;10;9;8;11;4;12;7;1
6;5;2;3;12;9;8;11;4;10;7;1;4;57466
4;57466;6;5;2;3;12;9;8;11;4;10;7;1
6;5;2;8;12;9;3;11;4;10;7;1;4;55274
4;55274;6;5;2;8;12;9;3;11;4;10;7;1
6;11;2;8;12;9;3;5;4;10;7;1;4;27226
4;27226;6;11;2;8;12;9;3;5;4;10;7;1
6;11;2;8;12;9;1;5;4;10;7;3;4;28558
4;28558;6;11;2;8;12;9;1;5;4;10;7;3
6;10;2;8;12;9;1;5;4;11;7;3;4;40048
4;40048;6;10;2;8;12;9;1;5;4;11;7;3
6;10;2;8;4;9;1;5;12;11;7;3;4;37626
4;37626;6;10;2;8;4;9;1;5;12;11;7;3
6;10;2;8;4;9;1;5;12;3;7;11;4;38586
4;38586;6;10;2;8;4;9;1;5;12;3;7;11
6;10;2;8;4;9;11;5;12;3;7;1;4;40822
5;40822;6;10;2;8;4;9;11;5;12;3;7;1
3;10;2;8;4;9;11;5;12;6;7;1;5;55362
5;55362;3;10;2;8;4;9;11;5;12;6;7;1
3;10;4;8;2;9;11;5;12;6;7;1;5;58318
5;58318;3;10;4;8;2;9;11;5;12;6;7;1
3;10;4;1;2;9;11;5;12;6;7;8;5;56508
5;56508;3;10;4;1;2;9;11;5;12;6;7;8
3;10;4;2;1;9;11;5;12;6;7;8;5;55748
5;55748;3;10;4;2;1;9;11;5;12;6;7;8
3;10;4;2;1;9;11;5;7;6;12;8;5;55752
5;55752;3;10;4;2;1;9;11;5;7;6;12;8
3;10;4;6;1;9;11;5;7;2;12;8;5;63550
5;63550;3;10;4;6;1;9;11;5;7;2;12;8
3;10;4;6;5;9;11;1;7;2;12;8;5;47254
5;47254;3;10;4;6;5;9;11;1;7;2;12;8
3;10;9;6;5;4;11;1;7;2;12;8;5;45608
5;45608;3;10;9;6;5;4;11;1;7;2;12;8
3;6;9;10;5;4;11;1;7;2;12;8;5;44096
5;44096;3;6;9;10;5;4;11;1;7;2;12;8
3;10;9;6;5;4;11;1;7;2;12;8;5;45608
5;45608;3;10;9;6;5;4;11;1;7;2;12;8
3;10;9;6;5;2;11;1;7;4;12;8;5;40140
5;40140;3;10;9;6;5;2;11;1;7;4;12;8
11;10;9;6;5;2;3;1;7;4;12;8;5;37828
5;37828;11;10;9;6;5;2;3;1;7;4;12;8
3;10;9;6;5;2;11;1;7;4;12;8;5;40140
5;40140;3;10;9;6;5;2;11;1;7;4;12;8
3;10;9;6;5;2;4;1;7;11;12;8;5;42026
5;42026;3;10;9;6;5;2;4;1;7;11;12;8
8;10;9;6;5;2;4;1;7;11;12;3;5;35294
5;35294;8;10;9;6;5;2;4;1;7;11;12;3
1;10;9;6;5;2;4;8;7;11;12;3;5;33184
5;33184;1;10;9;6;5;2;4;8;7;11;12;3
3;10;9;6;5;2;4;8;7;11;12;1;5;37248
5;37248;3;10;9;6;5;2;4;8;7;11;12;1
3;10;9;12;5;2;4;8;7;11;6;1;5;39106
5;39106;3;10;9;12;5;2;4;8;7;11;6;1
3;10;9;7;5;2;4;8;12;11;6;1;5;35292
5;35292;3;10;9;7;5;2;4;8;12;11;6;1
3;10;9;7;6;2;4;8;12;11;5;1;5;45210
6;35292;3;10;9;7;5;2;4;8;12;11;6;1
3;10;9;4;5;2;7;8;12;11;6;1;6;33486
6;33486;3;10;9;4;5;2;7;8;12;11;6;1
3;10;9;6;5;2;7;8;12;11;4;1;6;39940
6;39940;3;10;9;6;5;2;7;8;12;11;4;1
