"X1";"X42446";"X2";"X1.1";"X9";"X6";"X3";"X11";"X4";"X7";"X8";"X12";"X5";"X10"
1;42446;2;1;9;6;3;11;4;7;8;12;5;10
2;1;9;6;12;11;4;7;8;3;5;10;1;41446
1;41446;2;1;9;6;12;11;4;7;8;3;5;10
2;1;9;6;7;11;4;12;8;3;5;10;1;41826
1;41826;2;1;9;6;7;11;4;12;8;3;5;10
2;1;9;6;11;7;4;12;8;3;5;10;1;39664
1;39664;2;1;9;6;11;7;4;12;8;3;5;10
2;1;9;6;5;7;4;12;8;3;11;10;1;39798
1;39798;2;1;9;6;5;7;4;12;8;3;11;10
3;1;9;6;5;7;4;12;8;2;11;10;1;32190
1;32190;3;1;9;6;5;7;4;12;8;2;11;10
3;1;9;6;10;7;4;12;8;2;11;5;1;39980
1;39980;3;1;9;6;10;7;4;12;8;2;11;5
3;1;9;6;10;7;2;12;8;4;11;5;1;49506
1;49506;3;1;9;6;10;7;2;12;8;4;11;5
3;6;9;1;10;7;2;12;8;4;11;5;1;70580
1;49506;3;1;9;6;10;7;2;12;8;4;11;5
3;1;9;6;11;7;2;12;8;4;10;5;1;48730
1;48730;3;1;9;6;11;7;2;12;8;4;10;5
8;1;9;6;11;7;2;12;3;4;10;5;1;42136
1;42136;8;1;9;6;11;7;2;12;3;4;10;5
8;1;9;6;11;7;2;5;3;4;10;12;1;44456
1;42136;8;1;9;6;11;7;2;12;3;4;10;5
6;1;9;8;11;7;2;12;3;4;10;5;1;47566
1;42136;8;1;9;6;11;7;2;12;3;4;10;5
8;1;9;6;11;2;7;12;3;4;10;5;1;46918
1;46918;8;1;9;6;11;2;7;12;3;4;10;5
12;1;9;6;11;2;7;8;3;4;10;5;1;48682
1;48682;12;1;9;6;11;2;7;8;3;4;10;5
12;10;9;6;11;2;7;8;3;4;1;5;1;48064
1;48064;12;10;9;6;11;2;7;8;3;4;1;5
6;10;9;12;11;2;7;8;3;4;1;5;1;40856
1;40856;6;10;9;12;11;2;7;8;3;4;1;5
6;10;9;12;11;7;2;8;3;4;1;5;1;35018
1;35018;6;10;9;12;11;7;2;8;3;4;1;5
6;10;4;12;11;7;2;8;3;9;1;5;1;33880
1;33880;6;10;4;12;11;7;2;8;3;9;1;5
6;10;12;4;11;7;2;8;3;9;1;5;1;34640
1;34640;6;10;12;4;11;7;2;8;3;9;1;5
6;10;12;4;7;11;2;8;3;9;1;5;1;53272
2;34640;6;10;12;4;11;7;2;8;3;9;1;5
6;10;12;4;3;7;2;8;11;9;1;5;2;42514
2;42514;6;10;12;4;3;7;2;8;11;9;1;5
6;10;12;5;3;7;2;8;11;9;1;4;2;42020
2;42020;6;10;12;5;3;7;2;8;11;9;1;4
6;10;12;5;8;7;2;3;11;9;1;4;2;42664
2;42664;6;10;12;5;8;7;2;3;11;9;1;4
6;10;12;5;7;8;2;3;11;9;1;4;2;46284
2;46284;6;10;12;5;7;8;2;3;11;9;1;4
6;10;12;5;9;8;2;3;11;7;1;4;2;39850
2;39850;6;10;12;5;9;8;2;3;11;7;1;4
6;10;1;5;9;8;2;3;11;7;12;4;2;38698
2;38698;6;10;1;5;9;8;2;3;11;7;12;4
6;10;1;5;9;4;2;3;11;7;12;8;2;47878
2;47878;6;10;1;5;9;4;2;3;11;7;12;8
6;10;1;5;9;4;2;3;11;12;7;8;2;50820
2;50820;6;10;1;5;9;4;2;3;11;12;7;8
11;10;1;5;9;4;2;3;6;12;7;8;2;52760
2;52760;11;10;1;5;9;4;2;3;6;12;7;8
11;10;5;1;9;4;2;3;6;12;7;8;2;55226
2;55226;11;10;5;1;9;4;2;3;6;12;7;8
11;10;5;1;9;4;2;3;7;12;6;8;2;55294
2;55294;11;10;5;1;9;4;2;3;7;12;6;8
11;10;5;9;1;4;2;3;7;12;6;8;2;55574
2;55574;11;10;5;9;1;4;2;3;7;12;6;8
11;10;5;9;1;4;2;6;7;12;3;8;2;49530
2;49530;11;10;5;9;1;4;2;6;7;12;3;8
11;9;5;10;1;4;2;6;7;12;3;8;2;43440
2;43440;11;9;5;10;1;4;2;6;7;12;3;8
6;9;5;10;1;4;2;11;7;12;3;8;2;40980
2;40980;6;9;5;10;1;4;2;11;7;12;3;8
6;9;5;10;1;7;2;11;4;12;3;8;2;38482
2;38482;6;9;5;10;1;7;2;11;4;12;3;8
6;1;5;10;9;7;2;11;4;12;3;8;2;37102
2;37102;6;1;5;10;9;7;2;11;4;12;3;8
6;1;12;10;9;7;2;11;4;5;3;8;2;27840
2;27840;6;1;12;10;9;7;2;11;4;5;3;8
6;1;12;10;9;7;2;3;4;5;11;8;2;32966
2;32966;6;1;12;10;9;7;2;3;4;5;11;8
6;8;12;10;9;7;2;3;4;5;11;1;2;45150
3;45150;6;8;12;10;9;7;2;3;4;5;11;1
10;8;12;6;9;7;2;3;4;5;11;1;3;40686
3;40686;10;8;12;6;9;7;2;3;4;5;11;1
9;8;12;6;10;7;2;3;4;5;11;1;3;44650
3;40686;10;8;12;6;9;7;2;3;4;5;11;1
10;8;12;6;2;7;9;3;4;5;11;1;3;38810
3;38810;10;8;12;6;2;7;9;3;4;5;11;1
10;11;12;6;2;7;9;3;4;5;8;1;3;42874
3;42874;10;11;12;6;2;7;9;3;4;5;8;1
4;11;12;6;2;7;9;3;10;5;8;1;3;38094
3;38094;4;11;12;6;2;7;9;3;10;5;8;1
4;11;12;6;2;7;9;3;8;5;10;1;3;38238
3;38238;4;11;12;6;2;7;9;3;8;5;10;1
4;11;12;6;2;8;9;3;7;5;10;1;3;30964
3;30964;4;11;12;6;2;8;9;3;7;5;10;1
4;11;12;6;2;10;9;3;7;5;8;1;3;44676
3;44676;4;11;12;6;2;10;9;3;7;5;8;1
4;8;12;6;2;10;9;3;7;5;11;1;3;27862
3;27862;4;8;12;6;2;10;9;3;7;5;11;1
4;8;12;9;2;10;6;3;7;5;11;1;3;29064
3;27862;4;8;12;6;2;10;9;3;7;5;11;1
4;8;12;6;2;10;9;3;5;7;11;1;3;30430
3;30430;4;8;12;6;2;10;9;3;5;7;11;1
4;8;12;1;2;10;9;3;5;7;11;6;3;37512
3;37512;4;8;12;1;2;10;9;3;5;7;11;6
4;8;11;1;2;10;9;3;5;7;12;6;3;41314
3;41314;4;8;11;1;2;10;9;3;5;7;12;6
4;8;12;1;2;10;9;3;5;7;11;6;3;37512
3;37512;4;8;12;1;2;10;9;3;5;7;11;6
7;8;12;1;2;10;9;3;5;4;11;6;3;29760
3;29760;7;8;12;1;2;10;9;3;5;4;11;6
6;8;12;1;2;10;9;3;5;4;11;7;3;32482
3;32482;6;8;12;1;2;10;9;3;5;4;11;7
6;11;12;1;2;10;9;3;5;4;8;7;3;34182
3;34182;6;11;12;1;2;10;9;3;5;4;8;7
6;11;12;7;2;10;9;3;5;4;8;1;3;33806
3;33806;6;11;12;7;2;10;9;3;5;4;8;1
6;1;12;7;2;10;9;3;5;4;8;11;3;40546
3;33806;6;11;12;7;2;10;9;3;5;4;8;1
6;11;8;7;2;10;9;3;5;4;12;1;3;37620
4;37620;6;11;8;7;2;10;9;3;5;4;12;1
6;11;8;7;2;3;9;10;5;4;12;1;4;38248
4;38248;6;11;8;7;2;3;9;10;5;4;12;1
6;11;8;7;2;1;9;10;5;4;12;3;4;36568
4;36568;6;11;8;7;2;1;9;10;5;4;12;3
2;11;8;7;6;1;9;10;5;4;12;3;4;48212
4;48212;2;11;8;7;6;1;9;10;5;4;12;3
2;11;8;7;6;1;9;12;5;4;10;3;4;54012
4;54012;2;11;8;7;6;1;9;12;5;4;10;3
2;12;8;7;6;1;9;11;5;4;10;3;4;49552
4;49552;2;12;8;7;6;1;9;11;5;4;10;3
2;12;8;7;6;1;9;3;5;4;10;11;4;45638
4;45638;2;12;8;7;6;1;9;3;5;4;10;11
8;12;2;7;6;1;9;3;5;4;10;11;4;55494
4;55494;8;12;2;7;6;1;9;3;5;4;10;11
8;12;1;7;6;2;9;3;5;4;10;11;4;45972
4;45972;8;12;1;7;6;2;9;3;5;4;10;11
8;12;11;7;6;2;9;3;5;4;10;1;4;40404
4;40404;8;12;11;7;6;2;9;3;5;4;10;1
8;12;11;7;6;5;9;3;2;4;10;1;4;49068
4;49068;8;12;11;7;6;5;9;3;2;4;10;1
8;12;11;7;6;5;10;3;2;4;9;1;4;50158
4;50158;8;12;11;7;6;5;10;3;2;4;9;1
8;12;11;7;6;1;10;3;2;4;9;5;4;58352
4;58352;8;12;11;7;6;1;10;3;2;4;9;5
8;12;11;2;6;1;10;3;7;4;9;5;4;58068
4;58068;8;12;11;2;6;1;10;3;7;4;9;5
8;12;11;2;6;1;7;3;10;4;9;5;4;59038
4;59038;8;12;11;2;6;1;7;3;10;4;9;5
8;12;7;2;6;1;11;3;10;4;9;5;4;60526
4;60526;8;12;7;2;6;1;11;3;10;4;9;5
8;12;7;2;6;3;11;1;10;4;9;5;4;54374
4;54374;8;12;7;2;6;3;11;1;10;4;9;5
8;12;6;2;7;3;11;1;10;4;9;5;4;55326
4;55326;8;12;6;2;7;3;11;1;10;4;9;5
8;12;6;2;3;7;11;1;10;4;9;5;4;49188
4;49188;8;12;6;2;3;7;11;1;10;4;9;5
8;12;6;2;3;7;11;1;5;4;9;10;4;46542
4;46542;8;12;6;2;3;7;11;1;5;4;9;10
8;6;12;2;3;7;11;1;5;4;9;10;4;54598
5;54598;8;6;12;2;3;7;11;1;5;4;9;10
8;6;12;2;3;5;11;1;7;4;9;10;5;46588
5;46588;8;6;12;2;3;5;11;1;7;4;9;10
8;2;12;6;3;5;11;1;7;4;9;10;5;54246
5;54246;8;2;12;6;3;5;11;1;7;4;9;10
8;2;12;6;9;5;11;1;7;4;3;10;5;53688
5;53688;8;2;12;6;9;5;11;1;7;4;3;10
8;2;12;6;9;5;4;1;7;11;3;10;5;62640
5;53688;8;2;12;6;9;5;11;1;7;4;3;10
8;2;4;6;9;5;11;1;7;12;3;10;5;69340
5;69340;8;2;4;6;9;5;11;1;7;12;3;10
8;2;4;6;11;5;9;1;7;12;3;10;5;65234
5;65234;8;2;4;6;11;5;9;1;7;12;3;10
7;2;4;6;11;5;9;1;8;12;3;10;5;62638
5;62638;7;2;4;6;11;5;9;1;8;12;3;10
7;2;4;6;1;5;9;11;8;12;3;10;5;45156
5;45156;7;2;4;6;1;5;9;11;8;12;3;10
7;2;4;6;1;5;9;10;8;12;3;11;5;52540
5;45156;7;2;4;6;1;5;9;11;8;12;3;10
3;2;4;6;1;5;9;11;8;12;7;10;5;57298
5;57298;3;2;4;6;1;5;9;11;8;12;7;10
3;2;4;6;1;8;9;11;5;12;7;10;5;50662
5;50662;3;2;4;6;1;8;9;11;5;12;7;10
3;5;4;6;1;8;9;11;2;12;7;10;5;32246
5;32246;3;5;4;6;1;8;9;11;2;12;7;10
3;5;4;6;1;8;9;11;2;12;10;7;5;29432
5;29432;3;5;4;6;1;8;9;11;2;12;10;7
3;10;4;6;1;8;9;11;2;12;5;7;5;38288
5;38288;3;10;4;6;1;8;9;11;2;12;5;7
3;10;4;6;5;8;9;11;2;12;1;7;5;31372
5;31372;3;10;4;6;5;8;9;11;2;12;1;7
3;10;4;6;5;2;9;11;8;12;1;7;5;36888
5;36888;3;10;4;6;5;2;9;11;8;12;1;7
3;7;4;6;5;2;9;11;8;12;1;10;5;37510
5;37510;3;7;4;6;5;2;9;11;8;12;1;10
3;7;4;6;2;5;9;11;8;12;1;10;5;38430
5;38430;3;7;4;6;2;5;9;11;8;12;1;10
3;2;4;6;7;5;9;11;8;12;1;10;5;54800
5;38430;3;7;4;6;2;5;9;11;8;12;1;10
3;7;4;11;2;5;9;6;8;12;1;10;5;37732
6;37732;3;7;4;11;2;5;9;6;8;12;1;10
3;7;4;11;2;1;9;6;8;12;5;10;6;38156
6;38156;3;7;4;11;2;1;9;6;8;12;5;10
3;7;4;11;2;1;12;6;8;9;5;10;6;39792
6;39792;3;7;4;11;2;1;12;6;8;9;5;10
3;6;4;11;2;1;12;7;8;9;5;10;6;58412
6;58412;3;6;4;11;2;1;12;7;8;9;5;10
3;6;4;11;12;1;2;7;8;9;5;10;6;54952
6;54952;3;6;4;11;12;1;2;7;8;9;5;10
3;6;4;11;12;1;7;2;8;9;5;10;6;55172
6;55172;3;6;4;11;12;1;7;2;8;9;5;10
3;6;4;11;8;1;7;2;12;9;5;10;6;58278
6;58278;3;6;4;11;8;1;7;2;12;9;5;10
5;6;4;11;8;1;7;2;12;9;3;10;6;47588
6;47588;5;6;4;11;8;1;7;2;12;9;3;10
2;6;4;11;8;1;7;5;12;9;3;10;6;62694
6;62694;2;6;4;11;8;1;7;5;12;9;3;10
10;6;4;11;8;1;7;5;12;9;3;2;6;53998
6;53998;10;6;4;11;8;1;7;5;12;9;3;2
3;6;4;11;8;1;7;5;12;9;10;2;6;66440
6;66440;3;6;4;11;8;1;7;5;12;9;10;2
3;6;4;9;8;1;7;5;12;11;10;2;6;56754
6;56754;3;6;4;9;8;1;7;5;12;11;10;2
3;6;4;9;8;1;7;5;10;11;12;2;6;56598
6;56598;3;6;4;9;8;1;7;5;10;11;12;2
8;6;4;9;3;1;7;5;10;11;12;2;6;48268
6;48268;8;6;4;9;3;1;7;5;10;11;12;2
8;6;4;9;3;1;7;5;10;12;11;2;6;57790
6;57790;8;6;4;9;3;1;7;5;10;12;11;2
8;6;4;12;3;1;7;5;10;9;11;2;6;59372
6;59372;8;6;4;12;3;1;7;5;10;9;11;2
8;6;4;12;3;1;9;5;10;7;11;2;6;44902
6;44902;8;6;4;12;3;1;9;5;10;7;11;2
2;6;4;12;3;1;9;5;10;7;11;8;6;47842
6;47842;2;6;4;12;3;1;9;5;10;7;11;8
2;5;4;12;3;1;9;6;10;7;11;8;6;66194
6;47842;2;6;4;12;3;1;9;5;10;7;11;8
2;5;4;12;3;1;9;6;10;7;11;8;6;66194
6;47842;2;6;4;12;3;1;9;5;10;7;11;8
2;1;4;12;3;6;9;5;10;7;11;8;6;43956
7;43956;2;1;4;12;3;6;9;5;10;7;11;8
2;1;4;12;3;9;6;5;10;7;11;8;7;43908
7;43908;2;1;4;12;3;9;6;5;10;7;11;8
2;1;4;12;3;9;7;5;10;6;11;8;7;54932
7;43908;2;1;4;12;3;9;6;5;10;7;11;8
2;1;4;12;3;9;6;5;11;7;10;8;7;43858
7;43858;2;1;4;12;3;9;6;5;11;7;10;8
2;1;3;12;4;9;6;5;11;7;10;8;7;43114
7;43114;2;1;3;12;4;9;6;5;11;7;10;8
2;11;3;12;4;9;6;5;1;7;10;8;7;40820
7;40820;2;11;3;12;4;9;6;5;1;7;10;8
2;11;3;5;4;9;6;12;1;7;10;8;7;51144
7;51144;2;11;3;5;4;9;6;12;1;7;10;8
2;11;3;5;6;9;4;12;1;7;10;8;7;49170
7;49170;2;11;3;5;6;9;4;12;1;7;10;8
7;11;3;5;6;9;4;12;1;2;10;8;7;43526
7;43526;7;11;3;5;6;9;4;12;1;2;10;8
5;11;3;7;6;9;4;12;1;2;10;8;7;30634
7;30634;5;11;3;7;6;9;4;12;1;2;10;8
5;11;8;7;6;9;4;12;1;2;10;3;7;32176
7;32176;5;11;8;7;6;9;4;12;1;2;10;3
5;12;8;7;6;9;4;11;1;2;10;3;7;50076
7;50076;5;12;8;7;6;9;4;11;1;2;10;3
5;12;8;7;6;4;9;11;1;2;10;3;7;59330
7;59330;5;12;8;7;6;4;9;11;1;2;10;3
5;12;8;7;4;6;9;11;1;2;10;3;7;52940
7;52940;5;12;8;7;4;6;9;11;1;2;10;3
5;3;8;7;4;6;9;11;1;2;10;12;7;49410
7;49410;5;3;8;7;4;6;9;11;1;2;10;12
5;3;8;10;4;6;9;11;1;2;7;12;7;49452
7;49452;5;3;8;10;4;6;9;11;1;2;7;12
5;3;8;11;4;6;9;10;1;2;7;12;7;42130
7;42130;5;3;8;11;4;6;9;10;1;2;7;12
5;3;11;8;4;6;9;10;1;2;7;12;7;44350
7;44350;5;3;11;8;4;6;9;10;1;2;7;12
5;3;11;8;4;10;9;6;1;2;7;12;7;38352
7;38352;5;3;11;8;4;10;9;6;1;2;7;12
5;3;11;12;4;10;9;6;1;2;7;8;7;43622
7;43622;5;3;11;12;4;10;9;6;1;2;7;8
5;3;11;12;4;10;6;9;1;2;7;8;7;38426
8;38426;5;3;11;12;4;10;6;9;1;2;7;8
9;3;11;12;4;10;6;5;1;2;7;8;8;52404
8;52404;9;3;11;12;4;10;6;5;1;2;7;8
9;3;5;12;4;10;6;11;1;2;7;8;8;54360
8;54360;9;3;5;12;4;10;6;11;1;2;7;8
9;3;5;12;4;10;6;11;7;2;1;8;8;54348
8;54348;9;3;5;12;4;10;6;11;7;2;1;8
9;3;5;11;4;10;6;12;7;2;1;8;8;48640
8;48640;9;3;5;11;4;10;6;12;7;2;1;8
9;3;5;11;4;10;12;6;7;2;1;8;8;53104
8;53104;9;3;5;11;4;10;12;6;7;2;1;8
9;3;1;11;4;10;12;6;7;2;5;8;8;54176
8;54176;9;3;1;11;4;10;12;6;7;2;5;8
9;3;1;11;4;2;12;6;7;10;5;8;8;50674
8;50674;9;3;1;11;4;2;12;6;7;10;5;8
9;11;1;3;4;2;12;6;7;10;5;8;8;47710
8;47710;9;11;1;3;4;2;12;6;7;10;5;8
9;7;1;3;4;2;12;6;11;10;5;8;8;38464
8;38464;9;7;1;3;4;2;12;6;11;10;5;8
9;7;1;3;11;2;12;6;4;10;5;8;8;43652
8;43652;9;7;1;3;11;2;12;6;4;10;5;8
12;7;1;3;11;2;9;6;4;10;5;8;8;41418
8;41418;12;7;1;3;11;2;9;6;4;10;5;8
12;7;2;3;11;1;9;6;4;10;5;8;8;33788
8;33788;12;7;2;3;11;1;9;6;4;10;5;8
12;7;5;3;11;1;9;6;4;10;2;8;8;33548
8;33548;12;7;5;3;11;1;9;6;4;10;2;8
11;7;5;3;12;1;9;6;4;10;2;8;8;35134
8;35134;11;7;5;3;12;1;9;6;4;10;2;8
11;7;5;3;4;1;9;6;12;10;2;8;8;39630
8;39630;11;7;5;3;4;1;9;6;12;10;2;8
11;7;5;3;4;12;9;6;1;10;2;8;8;44558
8;44558;11;7;5;3;4;12;9;6;1;10;2;8
11;7;6;3;4;12;9;5;1;10;2;8;8;35186
8;35186;11;7;6;3;4;12;9;5;1;10;2;8
9;7;6;3;4;12;11;5;1;10;2;8;8;28214
8;28214;9;7;6;3;4;12;11;5;1;10;2;8
4;7;6;3;9;12;11;5;1;10;2;8;8;27466
8;27466;4;7;6;3;9;12;11;5;1;10;2;8
7;4;6;3;9;12;11;5;1;10;2;8;8;39124
9;27466;4;7;6;3;9;12;11;5;1;10;2;8
2;7;6;3;9;12;11;5;1;10;4;8;9;27146
9;27146;2;7;6;3;9;12;11;5;1;10;4;8
2;7;6;3;9;1;11;5;12;10;4;8;9;25640
9;25640;2;7;6;3;9;1;11;5;12;10;4;8
2;7;6;3;9;12;11;5;1;10;4;8;9;27146
9;27146;2;7;6;3;9;12;11;5;1;10;4;8
2;7;6;3;9;12;11;8;1;10;4;5;9;26386
9;26386;2;7;6;3;9;12;11;8;1;10;4;5
2;7;6;9;3;12;11;8;1;10;4;5;9;27906
9;26386;2;7;6;3;9;12;11;8;1;10;4;5
2;3;6;7;9;12;11;8;1;10;4;5;9;36724
9;26386;2;7;6;3;9;12;11;8;1;10;4;5
3;7;6;2;9;12;11;8;1;10;4;5;9;35130
9;35130;3;7;6;2;9;12;11;8;1;10;4;5
4;7;6;2;9;12;11;8;1;10;3;5;9;28394
9;28394;4;7;6;2;9;12;11;8;1;10;3;5
4;7;6;2;5;12;11;8;1;10;3;9;9;36762
9;36762;4;7;6;2;5;12;11;8;1;10;3;9
4;7;6;2;10;12;11;8;1;5;3;9;9;37044
9;37044;4;7;6;2;10;12;11;8;1;5;3;9
4;7;6;2;10;12;11;8;3;5;1;9;9;36980
9;36980;4;7;6;2;10;12;11;8;3;5;1;9
4;7;11;2;10;12;6;8;3;5;1;9;9;36820
9;36820;4;7;11;2;10;12;6;8;3;5;1;9
4;7;11;2;10;12;6;8;1;5;3;9;9;36884
9;36884;4;7;11;2;10;12;6;8;1;5;3;9
4;7;11;10;2;12;6;8;1;5;3;9;9;36364
9;36364;4;7;11;10;2;12;6;8;1;5;3;9
6;7;11;10;2;12;4;8;1;5;3;9;9;49794
9;36364;4;7;11;10;2;12;6;8;1;5;3;9
4;9;11;10;2;12;6;8;1;5;3;7;9;28786
9;28786;4;9;11;10;2;12;6;8;1;5;3;7
4;1;11;10;2;12;6;8;9;5;3;7;9;38464
9;38464;4;1;11;10;2;12;6;8;9;5;3;7
4;1;11;8;2;12;6;10;9;5;3;7;9;37360
9;37360;4;1;11;8;2;12;6;10;9;5;3;7
4;1;11;8;2;12;6;5;9;10;3;7;9;35724
9;35724;4;1;11;8;2;12;6;5;9;10;3;7
4;2;11;8;1;12;6;5;9;10;3;7;9;26186
10;26186;4;2;11;8;1;12;6;5;9;10;3;7
3;2;11;8;1;12;6;5;9;10;4;7;10;34494
10;34494;3;2;11;8;1;12;6;5;9;10;4;7
3;1;11;8;2;12;6;5;9;10;4;7;10;43092
10;34494;3;2;11;8;1;12;6;5;9;10;4;7
3;2;11;8;1;12;6;5;4;10;9;7;10;34598
10;34598;3;2;11;8;1;12;6;5;4;10;9;7
3;12;11;8;1;2;6;5;4;10;9;7;10;32698
10;32698;3;12;11;8;1;2;6;5;4;10;9;7
3;4;11;8;1;2;6;5;12;10;9;7;10;24732
10;24732;3;4;11;8;1;2;6;5;12;10;9;7
3;11;4;8;1;2;6;5;12;10;9;7;10;41196
10;41196;3;11;4;8;1;2;6;5;12;10;9;7
