"X1";"X52368";"X8";"X3";"X7";"X9";"X12";"X2";"X1.1";"X10";"X11";"X4";"X6";"X5"
1;52368;8;3;7;9;12;2;1;10;11;4;6;5
8;3;7;9;12;2;1;10;11;6;4;5;1;55318
1;55318;8;3;7;9;12;2;1;10;11;6;4;5
8;3;7;9;2;12;1;10;11;6;4;5;1;53264
1;53264;8;3;7;9;2;12;1;10;11;6;4;5
7;3;8;9;2;12;1;10;11;6;4;5;1;48614
1;48614;7;3;8;9;2;12;1;10;11;6;4;5
7;3;12;9;2;8;1;10;11;6;4;5;1;53756
1;53756;7;3;12;9;2;8;1;10;11;6;4;5
7;3;12;8;2;9;1;10;11;6;4;5;1;56540
1;56540;7;3;12;8;2;9;1;10;11;6;4;5
8;3;12;7;2;9;1;10;11;6;4;5;1;62968
1;56540;7;3;12;8;2;9;1;10;11;6;4;5
7;3;12;8;2;9;4;10;11;6;1;5;1;54744
1;54744;7;3;12;8;2;9;4;10;11;6;1;5
7;3;9;8;2;12;4;10;11;6;1;5;1;50406
1;50406;7;3;9;8;2;12;4;10;11;6;1;5
7;3;9;8;2;12;4;10;11;1;6;5;1;40264
1;40264;7;3;9;8;2;12;4;10;11;1;6;5
7;3;9;8;2;12;4;10;11;6;1;5;1;50406
1;50406;7;3;9;8;2;12;4;10;11;6;1;5
7;3;9;1;2;12;4;10;11;6;8;5;1;45204
1;45204;7;3;9;1;2;12;4;10;11;6;8;5
7;3;9;1;8;12;4;10;11;6;2;5;1;53474
1;53474;7;3;9;1;8;12;4;10;11;6;2;5
7;11;9;1;8;12;4;10;3;6;2;5;1;44936
1;44936;7;11;9;1;8;12;4;10;3;6;2;5
7;11;9;1;8;2;4;10;3;6;12;5;1;55112
1;55112;7;11;9;1;8;2;4;10;3;6;12;5
7;6;9;1;8;2;4;10;3;11;12;5;1;57322
1;57322;7;6;9;1;8;2;4;10;3;11;12;5
7;5;9;1;8;2;4;10;3;11;12;6;1;46204
1;46204;7;5;9;1;8;2;4;10;3;11;12;6
5;7;9;1;8;2;4;10;3;11;12;6;1;34120
1;34120;5;7;9;1;8;2;4;10;3;11;12;6
5;7;4;1;8;2;9;10;3;11;12;6;1;33948
1;33948;5;7;4;1;8;2;9;10;3;11;12;6
5;7;4;1;8;2;9;3;10;11;12;6;1;31288
1;31288;5;7;4;1;8;2;9;3;10;11;12;6
7;5;4;1;8;2;9;3;10;11;12;6;1;43252
2;43252;7;5;4;1;8;2;9;3;10;11;12;6
7;5;1;4;8;2;9;3;10;11;12;6;2;47454
2;47454;7;5;1;4;8;2;9;3;10;11;12;6
7;5;1;4;8;6;9;3;10;11;12;2;2;48744
2;48744;7;5;1;4;8;6;9;3;10;11;12;2
7;5;1;4;10;6;9;3;8;11;12;2;2;42206
2;42206;7;5;1;4;10;6;9;3;8;11;12;2
7;5;1;3;10;6;9;4;8;11;12;2;2;44550
2;44550;7;5;1;3;10;6;9;4;8;11;12;2
7;5;1;3;10;6;2;4;8;11;12;9;2;39354
2;39354;7;5;1;3;10;6;2;4;8;11;12;9
7;5;1;3;10;6;2;4;12;11;8;9;2;39312
2;39312;7;5;1;3;10;6;2;4;12;11;8;9
7;5;1;9;10;6;2;4;12;11;8;3;2;39364
2;39364;7;5;1;9;10;6;2;4;12;11;8;3
7;5;1;11;10;6;2;4;12;9;8;3;2;35488
2;35488;7;5;1;11;10;6;2;4;12;9;8;3
7;5;1;11;10;6;2;4;12;8;9;3;2;33116
2;33116;7;5;1;11;10;6;2;4;12;8;9;3
7;5;1;11;10;4;2;6;12;8;9;3;2;42674
2;42674;7;5;1;11;10;4;2;6;12;8;9;3
7;5;1;11;4;10;2;6;12;8;9;3;2;32134
2;32134;7;5;1;11;4;10;2;6;12;8;9;3
7;5;2;11;4;10;1;6;12;8;9;3;2;32106
2;32106;7;5;2;11;4;10;1;6;12;8;9;3
7;9;2;11;4;10;1;6;12;8;5;3;2;48448
