"X1";"X42164";"X6";"X10";"X4";"X11";"X8";"X7";"X9";"X2";"X12";"X3";"X5";"X1.1"
1;42164;6;10;4;11;8;7;9;2;12;3;5;1
6;10;4;11;8;7;9;5;12;3;2;1;1;29604
1;29604;6;10;4;11;8;7;9;5;12;3;2;1
6;10;4;2;8;7;9;5;12;3;11;1;1;31228
1;31228;6;10;4;2;8;7;9;5;12;3;11;1
6;7;4;2;8;10;9;5;12;3;11;1;1;38886
1;38886;6;7;4;2;8;10;9;5;12;3;11;1
6;8;4;2;7;10;9;5;12;3;11;1;1;35208
1;35208;6;8;4;2;7;10;9;5;12;3;11;1
6;8;4;2;7;10;1;5;12;3;11;9;1;35746
1;35746;6;8;4;2;7;10;1;5;12;3;11;9
10;8;4;2;7;6;1;5;12;3;11;9;1;28236
1;28236;10;8;4;2;7;6;1;5;12;3;11;9
10;8;4;2;7;6;1;5;11;3;12;9;1;28168
1;28168;10;8;4;2;7;6;1;5;11;3;12;9
10;8;4;2;7;12;1;5;11;3;6;9;1;31560
1;31560;10;8;4;2;7;12;1;5;11;3;6;9
10;8;4;2;1;12;7;5;11;3;6;9;1;33116
1;33116;10;8;4;2;1;12;7;5;11;3;6;9
10;8;4;2;7;12;1;5;11;3;6;9;1;31560
1;31560;10;8;4;2;7;12;1;5;11;3;6;9
10;8;4;2;7;12;3;5;11;1;6;9;1;41448
1;41448;10;8;4;2;7;12;3;5;11;1;6;9
10;8;4;2;1;12;3;5;11;7;6;9;1;28340
1;28340;10;8;4;2;1;12;3;5;11;7;6;9
10;8;4;6;1;12;3;5;11;7;2;9;1;33382
1;33382;10;8;4;6;1;12;3;5;11;7;2;9
2;8;4;6;1;12;3;5;11;7;10;9;1;46298
1;46298;2;8;4;6;1;12;3;5;11;7;10;9
2;12;4;6;1;8;3;5;11;7;10;9;1;38732
1;38732;2;12;4;6;1;8;3;5;11;7;10;9
2;12;4;6;1;9;3;5;11;7;10;8;1;34060
1;34060;2;12;4;6;1;9;3;5;11;7;10;8
2;12;3;6;1;9;4;5;11;7;10;8;1;32164
1;32164;2;12;3;6;1;9;4;5;11;7;10;8
2;5;3;6;1;9;4;12;11;7;10;8;1;57292
1;32164;2;12;3;6;1;9;4;5;11;7;10;8
2;12;3;6;1;9;7;5;11;4;10;8;1;47802
1;32164;2;12;3;6;1;9;4;5;11;7;10;8
2;9;3;6;1;12;4;5;11;7;10;8;1;31942
2;31942;2;9;3;6;1;12;4;5;11;7;10;8
2;9;3;6;1;12;4;5;8;7;10;11;2;26704
2;26704;2;9;3;6;1;12;4;5;8;7;10;11
2;9;3;6;1;12;7;5;8;4;10;11;2;46412
2;26704;2;9;3;6;1;12;4;5;8;7;10;11
2;9;8;6;1;12;4;5;3;7;10;11;2;31208
2;31208;2;9;8;6;1;12;4;5;3;7;10;11
2;9;8;11;1;12;4;5;3;7;10;6;2;35134
2;35134;2;9;8;11;1;12;4;5;3;7;10;6
2;9;8;12;1;11;4;5;3;7;10;6;2;34194
2;34194;2;9;8;12;1;11;4;5;3;7;10;6
9;2;8;12;1;11;4;5;3;7;10;6;2;44114
2;34194;2;9;8;12;1;11;4;5;3;7;10;6
2;9;8;12;1;11;4;5;3;6;10;7;2;45522
2;45522;2;9;8;12;1;11;4;5;3;6;10;7
2;9;3;12;1;11;4;5;8;6;10;7;2;40906
2;40906;2;9;3;12;1;11;4;5;8;6;10;7
2;9;3;12;1;11;5;4;8;6;10;7;2;30702
2;30702;2;9;3;12;1;11;5;4;8;6;10;7
2;9;3;6;1;11;5;4;8;12;10;7;2;41364
2;41364;2;9;3;6;1;11;5;4;8;12;10;7
10;9;3;6;1;11;5;4;8;12;2;7;2;48354
2;48354;10;9;3;6;1;11;5;4;8;12;2;7
10;9;3;6;1;11;5;4;8;7;2;12;2;40866
2;40866;10;9;3;6;1;11;5;4;8;7;2;12
10;9;4;6;1;11;5;3;8;7;2;12;2;47226
2;47226;10;9;4;6;1;11;5;3;8;7;2;12
10;9;4;3;1;11;5;6;8;7;2;12;2;54556
2;54556;10;9;4;3;1;11;5;6;8;7;2;12
10;3;4;9;1;11;5;6;8;7;2;12;2;56794
2;56794;10;3;4;9;1;11;5;6;8;7;2;12
10;2;4;9;1;11;5;6;8;7;3;12;2;57438
2;57438;10;2;4;9;1;11;5;6;8;7;3;12
10;2;4;1;9;11;5;6;8;7;3;12;2;59318
2;59318;10;2;4;1;9;11;5;6;8;7;3;12
10;2;12;1;9;11;5;6;8;7;3;4;2;60564
2;60564;10;2;12;1;9;11;5;6;8;7;3;4
10;2;4;1;9;11;5;6;8;7;3;12;2;59318
