"X1";"X38888";"X2";"X10";"X8";"X9";"X1.1";"X6";"X4";"X11";"X3";"X12";"X7";"X5"
1;38888;2;10;8;9;1;6;4;11;3;12;7;5
2;10;8;9;1;6;4;11;3;5;7;12;1;36392
1;36392;2;10;8;9;1;6;4;11;3;5;7;12
2;10;8;9;1;6;11;4;3;5;7;12;1;52788
1;52788;2;10;8;9;1;6;11;4;3;5;7;12
2;7;8;9;1;6;11;4;3;5;10;12;1;57834
1;57834;2;7;8;9;1;6;11;4;3;5;10;12
11;7;8;9;1;6;2;4;3;5;10;12;1;65574
1;65574;11;7;8;9;1;6;2;4;3;5;10;12
3;7;8;9;1;6;2;4;11;5;10;12;1;69350
1;65574;11;7;8;9;1;6;2;4;3;5;10;12
3;7;8;9;1;6;2;4;11;5;10;12;1;69350
1;65574;11;7;8;9;1;6;2;4;3;5;10;12
11;7;8;9;1;6;10;4;3;5;2;12;1;62838
1;62838;11;7;8;9;1;6;10;4;3;5;2;12
11;7;8;9;1;5;10;4;3;6;2;12;1;27988
1;27988;11;7;8;9;1;5;10;4;3;6;2;12
11;7;8;9;1;5;3;4;10;6;2;12;1;29126
1;29126;11;7;8;9;1;5;3;4;10;6;2;12
11;7;8;2;1;5;3;4;10;6;9;12;1;32126
1;32126;11;7;8;2;1;5;3;4;10;6;9;12
11;7;8;2;4;5;3;1;10;6;9;12;1;45346
1;45346;11;7;8;2;4;5;3;1;10;6;9;12
9;7;8;2;4;5;3;1;10;6;11;12;1;37804
1;37804;9;7;8;2;4;5;3;1;10;6;11;12
9;7;8;12;4;5;3;1;10;6;11;2;1;39488
1;37804;9;7;8;2;4;5;3;1;10;6;11;12
9;7;8;2;11;5;3;1;10;6;4;12;1;36700
1;36700;9;7;8;2;11;5;3;1;10;6;4;12
9;7;2;8;11;5;3;1;10;6;4;12;1;37362
1;37362;9;7;2;8;11;5;3;1;10;6;4;12
9;7;2;5;11;8;3;1;10;6;4;12;1;52554
1;52554;9;7;2;5;11;8;3;1;10;6;4;12
4;7;2;5;11;8;3;1;10;6;9;12;1;58738
1;58738;4;7;2;5;11;8;3;1;10;6;9;12
4;7;2;5;11;8;3;1;10;6;12;9;1;60310
1;60310;4;7;2;5;11;8;3;1;10;6;12;9
4;7;1;5;11;8;3;2;10;6;12;9;1;56454
1;56454;4;7;1;5;11;8;3;2;10;6;12;9
4;12;1;5;11;8;3;2;10;6;7;9;1;58596
2;58596;4;12;1;5;11;8;3;2;10;6;7;9
4;6;1;5;11;8;3;2;10;12;7;9;2;36462
2;36462;4;6;1;5;11;8;3;2;10;12;7;9
4;6;2;5;11;8;3;1;10;12;7;9;2;48958
2;48958;4;6;2;5;11;8;3;1;10;12;7;9
4;6;2;5;11;1;3;8;10;12;7;9;2;50424
2;50424;4;6;2;5;11;1;3;8;10;12;7;9
10;6;2;5;11;1;3;8;4;12;7;9;2;56842
2;56842;10;6;2;5;11;1;3;8;4;12;7;9
10;9;2;5;11;1;3;8;4;12;7;6;2;59948
2;59948;10;9;2;5;11;1;3;8;4;12;7;6
10;9;12;5;11;1;3;8;4;2;7;6;2;61724
2;61724;10;9;12;5;11;1;3;8;4;2;7;6
10;9;12;5;7;1;3;8;4;2;11;6;2;57926
2;57926;10;9;12;5;7;1;3;8;4;2;11;6
10;9;12;5;7;1;8;3;4;2;11;6;2;57306
2;57306;10;9;12;5;7;1;8;3;4;2;11;6
10;9;12;5;7;1;8;3;2;4;11;6;2;44576
2;44576;10;9;12;5;7;1;8;3;2;4;11;6
2;9;12;5;7;1;8;3;10;4;11;6;2;42834
2;42834;2;9;12;5;7;1;8;3;10;4;11;6
2;9;12;5;11;1;8;3;10;4;7;6;2;43626
2;43626;2;9;12;5;11;1;8;3;10;4;7;6
2;9;12;5;11;1;10;3;8;4;7;6;2;48148
2;43626;2;9;12;5;11;1;8;3;10;4;7;6
5;9;12;2;11;1;8;3;10;4;7;6;2;45442
2;45442;5;9;12;2;11;1;8;3;10;4;7;6
5;9;12;2;11;1;8;3;4;10;7;6;2;58278
2;58278;5;9;12;2;11;1;8;3;4;10;7;6
5;9;12;3;11;1;8;2;4;10;7;6;2;50470
2;50470;5;9;12;3;11;1;8;2;4;10;7;6
5;9;12;3;11;10;8;2;4;1;7;6;2;47670
2;47670;5;9;12;3;11;10;8;2;4;1;7;6
5;7;12;3;11;10;8;2;4;1;9;6;2;25040
2;25040;5;7;12;3;11;10;8;2;4;1;9;6
5;7;2;3;11;10;8;12;4;1;9;6;2;36544
2;25040;5;7;12;3;11;10;8;2;4;1;9;6
5;7;12;3;11;10;8;2;4;1;6;9;2;24108
2;24108;5;7;12;3;11;10;8;2;4;1;6;9
5;4;12;3;11;10;8;2;7;1;6;9;2;51258
3;51258;5;4;12;3;11;10;8;2;7;1;6;9
5;4;12;3;11;10;1;2;7;8;6;9;3;57512
3;57512;5;4;12;3;11;10;1;2;7;8;6;9
7;4;12;3;11;10;1;2;5;8;6;9;3;53020
3;53020;7;4;12;3;11;10;1;2;5;8;6;9
7;11;12;3;4;10;1;2;5;8;6;9;3;57832
3;57832;7;11;12;3;4;10;1;2;5;8;6;9
7;9;12;3;4;10;1;2;5;8;6;11;3;50850
3;50850;7;9;12;3;4;10;1;2;5;8;6;11
7;9;12;3;4;5;1;2;10;8;6;11;3;52382
3;52382;7;9;12;3;4;5;1;2;10;8;6;11
7;9;12;3;4;5;1;2;8;10;6;11;3;50008
3;50008;7;9;12;3;4;5;1;2;8;10;6;11
7;9;12;1;4;5;3;2;8;10;6;11;3;46090
3;46090;7;9;12;1;4;5;3;2;8;10;6;11
