"X1";"X47600";"X4";"X11";"X5";"X1.1";"X6";"X2";"X10";"X12";"X8";"X7";"X9";"X3"
1;47600;4;11;5;1;6;2;10;12;8;7;9;3
4;11;2;1;6;5;10;12;8;7;9;3;1;33494
1;33494;4;11;2;1;6;5;10;12;8;7;9;3
5;11;2;1;6;4;10;12;8;7;9;3;1;40354
1;40354;5;11;2;1;6;4;10;12;8;7;9;3
5;11;2;1;6;4;8;12;10;7;9;3;1;43298
1;43298;5;11;2;1;6;4;8;12;10;7;9;3
1;11;2;5;6;4;8;12;10;7;9;3;1;50286
1;50286;1;11;2;5;6;4;8;12;10;7;9;3
1;11;7;5;6;4;8;12;10;2;9;3;1;50956
1;50956;1;11;7;5;6;4;8;12;10;2;9;3
1;3;7;5;6;4;8;12;10;2;9;11;1;44568
1;44568;1;3;7;5;6;4;8;12;10;2;9;11
1;3;7;5;6;10;8;12;4;2;9;11;1;50042
1;50042;1;3;7;5;6;10;8;12;4;2;9;11
1;3;7;5;6;10;11;12;4;2;9;8;1;48564
1;48564;1;3;7;5;6;10;11;12;4;2;9;8
2;3;7;5;6;10;11;12;4;1;9;8;1;60698
1;48564;1;3;7;5;6;10;11;12;4;2;9;8
1;3;7;9;6;10;11;12;4;2;5;8;1;52732
1;48564;1;3;7;5;6;10;11;12;4;2;9;8
1;3;7;5;6;10;9;12;4;2;11;8;1;49270
1;49270;1;3;7;5;6;10;9;12;4;2;11;8
4;3;7;5;6;10;9;12;1;2;11;8;1;39136
1;39136;4;3;7;5;6;10;9;12;1;2;11;8
4;3;7;11;6;10;9;12;1;2;5;8;1;38740
1;38740;4;3;7;11;6;10;9;12;1;2;5;8
5;3;7;11;6;10;9;12;1;2;4;8;1;35600
1;35600;5;3;7;11;6;10;9;12;1;2;4;8
5;3;11;7;6;10;9;12;1;2;4;8;1;35200
1;35200;5;3;11;7;6;10;9;12;1;2;4;8
5;6;11;7;3;10;9;12;1;2;4;8;1;39044
1;39044;5;6;11;7;3;10;9;12;1;2;4;8
5;6;11;1;3;10;9;12;7;2;4;8;1;42676
1;42676;5;6;11;1;3;10;9;12;7;2;4;8
7;6;11;1;3;10;9;12;5;2;4;8;1;54020
1;54020;7;6;11;1;3;10;9;12;5;2;4;8
6;7;11;1;3;10;9;12;5;2;4;8;1;51584
1;51584;6;7;11;1;3;10;9;12;5;2;4;8
6;7;11;1;3;10;12;9;5;2;4;8;1;50972
2;50972;6;7;11;1;3;10;12;9;5;2;4;8
6;7;11;1;3;10;12;4;5;2;9;8;2;50914
2;50914;6;7;11;1;3;10;12;4;5;2;9;8
6;7;11;1;4;10;12;3;5;2;9;8;2;50452
2;50452;6;7;11;1;4;10;12;3;5;2;9;8
6;7;11;10;4;1;12;3;5;2;9;8;2;49358
2;49358;6;7;11;10;4;1;12;3;5;2;9;8
6;7;10;11;4;1;12;3;5;2;9;8;2;51714
2;51714;6;7;10;11;4;1;12;3;5;2;9;8
6;7;10;4;11;1;12;3;5;2;9;8;2;51234
2;51234;6;7;10;4;11;1;12;3;5;2;9;8
6;7;10;4;11;1;12;3;5;9;2;8;2;48762
2;48762;6;7;10;4;11;1;12;3;5;9;2;8
6;7;10;4;11;1;12;3;5;9;8;2;2;44558
2;44558;6;7;10;4;11;1;12;3;5;9;8;2
6;3;10;4;11;1;12;7;5;9;8;2;2;44530
2;44530;6;3;10;4;11;1;12;7;5;9;8;2
6;3;10;4;9;1;12;7;5;11;8;2;2;55086
2;44530;6;3;10;4;11;1;12;7;5;9;8;2
6;3;10;2;11;1;12;7;5;9;8;4;2;46794
2;46794;6;3;10;2;11;1;12;7;5;9;8;4
11;3;10;2;6;1;12;7;5;9;8;4;2;40340
2;40340;11;3;10;2;6;1;12;7;5;9;8;4
11;1;10;2;6;3;12;7;5;9;8;4;2;38802
2;38802;11;1;10;2;6;3;12;7;5;9;8;4
11;1;5;2;6;3;12;7;10;9;8;4;2;35906
2;35906;11;1;5;2;6;3;12;7;10;9;8;4
11;1;5;2;3;6;12;7;10;9;8;4;2;43704
2;43704;11;1;5;2;3;6;12;7;10;9;8;4
11;12;5;2;3;6;1;7;10;9;8;4;2;31092
2;31092;11;12;5;2;3;6;1;7;10;9;8;4
11;12;3;2;5;6;1;7;10;9;8;4;2;29294
2;29294;11;12;3;2;5;6;1;7;10;9;8;4
11;12;1;2;5;6;3;7;10;9;8;4;2;27566
2;27566;11;12;1;2;5;6;3;7;10;9;8;4
11;12;1;2;5;10;3;7;6;9;8;4;2;39212
