"X1";"X48828";"X6";"X8";"X12";"X3";"X5";"X11";"X7";"X1.1";"X4";"X9";"X10";"X2"
1;48828;6;8;12;3;5;11;7;1;4;9;10;2
6;7;12;3;5;11;8;1;4;9;10;2;1;65660
1;65660;6;7;12;3;5;11;8;1;4;9;10;2
6;7;12;3;10;11;8;1;4;9;5;2;1;67410
1;67410;6;7;12;3;10;11;8;1;4;9;5;2
6;12;7;3;10;11;8;1;4;9;5;2;1;48206
1;48206;6;12;7;3;10;11;8;1;4;9;5;2
7;12;6;3;10;11;8;1;4;9;5;2;1;43814
1;43814;7;12;6;3;10;11;8;1;4;9;5;2
7;12;6;3;2;11;8;1;4;9;5;10;1;47594
1;47594;7;12;6;3;2;11;8;1;4;9;5;10
7;12;6;11;2;3;8;1;4;9;5;10;1;55328
1;55328;7;12;6;11;2;3;8;1;4;9;5;10
7;12;6;11;2;3;8;9;4;1;5;10;1;50762
1;50762;7;12;6;11;2;3;8;9;4;1;5;10
7;12;6;11;2;9;8;3;4;1;5;10;1;42602
1;42602;7;12;6;11;2;9;8;3;4;1;5;10
7;12;6;11;9;2;8;3;4;1;5;10;1;43556
1;43556;7;12;6;11;9;2;8;3;4;1;5;10
12;7;6;11;9;2;8;3;4;1;5;10;1;39340
1;39340;12;7;6;11;9;2;8;3;4;1;5;10
12;7;6;11;9;2;8;4;3;1;5;10;1;26506
1;26506;12;7;6;11;9;2;8;4;3;1;5;10
9;7;6;11;12;2;8;4;3;1;5;10;1;27192
1;27192;9;7;6;11;12;2;8;4;3;1;5;10
9;7;6;11;12;3;8;4;2;1;5;10;1;36760
1;36760;9;7;6;11;12;3;8;4;2;1;5;10
9;12;6;11;7;3;8;4;2;1;5;10;1;37452
1;37452;9;12;6;11;7;3;8;4;2;1;5;10
9;12;6;11;7;3;1;4;2;8;5;10;1;40654
1;40654;9;12;6;11;7;3;1;4;2;8;5;10
9;12;6;11;7;3;10;4;2;8;5;1;1;41346
1;41346;9;12;6;11;7;3;10;4;2;8;5;1
9;12;6;11;7;3;10;4;5;8;2;1;1;41220
1;41220;9;12;6;11;7;3;10;4;5;8;2;1
9;12;6;11;7;2;10;4;5;8;3;1;1;31988
1;31988;9;12;6;11;7;2;10;4;5;8;3;1
9;7;6;11;12;2;10;4;5;8;3;1;1;31120
1;31120;9;7;6;11;12;2;10;4;5;8;3;1
9;7;6;11;12;2;5;4;10;8;3;1;1;34506
2;34506;9;7;6;11;12;2;5;4;10;8;3;1
9;7;6;4;12;2;5;11;10;8;3;1;2;29230
2;29230;9;7;6;4;12;2;5;11;10;8;3;1
9;7;6;4;12;2;8;11;10;5;3;1;2;28692
2;28692;9;7;6;4;12;2;8;11;10;5;3;1
7;9;6;4;12;2;8;11;10;5;3;1;2;31490
2;31490;7;9;6;4;12;2;8;11;10;5;3;1
7;9;6;10;12;2;8;11;4;5;3;1;2;27542
2;27542;7;9;6;10;12;2;8;11;4;5;3;1
7;9;6;10;12;2;8;4;11;5;3;1;2;46824
2;27542;7;9;6;10;12;2;8;11;4;5;3;1
4;9;6;10;12;2;8;11;7;5;3;1;2;34188
2;27542;7;9;6;10;12;2;8;11;4;5;3;1
7;9;6;1;12;2;8;11;4;5;3;10;2;24268
2;24268;7;9;6;1;12;2;8;11;4;5;3;10
5;9;6;1;12;2;8;11;4;7;3;10;2;46084
2;46084;5;9;6;1;12;2;8;11;4;7;3;10
8;9;6;1;12;2;5;11;4;7;3;10;2;39806
2;39806;8;9;6;1;12;2;5;11;4;7;3;10
5;9;6;1;12;2;8;11;4;7;3;10;2;46084
2;46084;5;9;6;1;12;2;8;11;4;7;3;10
8;9;6;1;12;2;5;11;4;7;3;10;2;39806
2;39806;8;9;6;1;12;2;5;11;4;7;3;10
8;9;6;5;12;2;1;11;4;7;3;10;2;39992
2;39992;8;9;6;5;12;2;1;11;4;7;3;10
8;3;6;5;12;2;1;11;4;7;9;10;2;51568
2;39992;8;9;6;5;12;2;1;11;4;7;3;10
8;9;6;2;12;5;1;11;4;7;3;10;2;49578
2;49578;8;9;6;2;12;5;1;11;4;7;3;10
8;9;6;2;12;5;10;11;4;7;3;1;2;48494
2;48494;8;9;6;2;12;5;10;11;4;7;3;1
6;9;8;2;12;5;10;11;4;7;3;1;2;40834
2;40834;6;9;8;2;12;5;10;11;4;7;3;1
6;9;8;2;4;5;10;11;12;7;3;1;2;41344
2;41344;6;9;8;2;4;5;10;11;12;7;3;1
6;10;8;2;4;5;9;11;12;7;3;1;2;35328
2;35328;6;10;8;2;4;5;9;11;12;7;3;1
6;10;8;2;4;5;9;11;12;7;1;3;2;40810
2;40810;6;10;8;2;4;5;9;11;12;7;1;3
6;10;8;2;4;5;11;9;12;7;1;3;2;36198
3;36198;6;10;8;2;4;5;11;9;12;7;1;3
6;3;8;2;4;5;11;9;12;7;1;10;3;39404
3;39404;6;3;8;2;4;5;11;9;12;7;1;10
6;3;8;2;4;5;1;9;12;7;11;10;3;35926
3;35926;6;3;8;2;4;5;1;9;12;7;11;10
8;3;6;2;4;5;1;9;12;7;11;10;3;35458
3;35458;8;3;6;2;4;5;1;9;12;7;11;10
8;3;6;2;4;7;1;9;12;5;11;10;3;52070
3;52070;8;3;6;2;4;7;1;9;12;5;11;10
8;3;6;2;5;7;1;9;12;4;11;10;3;46004
3;46004;8;3;6;2;5;7;1;9;12;4;11;10
8;3;12;2;5;7;1;9;6;4;11;10;3;46614
3;46614;8;3;12;2;5;7;1;9;6;4;11;10
2;3;12;8;5;7;1;9;6;4;11;10;3;52240
3;52240;2;3;12;8;5;7;1;9;6;4;11;10
2;3;12;8;5;7;11;9;6;4;1;10;3;52412
3;52412;2;3;12;8;5;7;11;9;6;4;1;10
2;3;12;7;5;8;11;9;6;4;1;10;3;51530
3;51530;2;3;12;7;5;8;11;9;6;4;1;10
2;11;12;7;5;8;3;9;6;4;1;10;3;45974
3;45974;2;11;12;7;5;8;3;9;6;4;1;10
2;11;9;7;5;8;3;12;6;4;1;10;3;55482
3;55482;2;11;9;7;5;8;3;12;6;4;1;10
2;1;9;7;5;8;3;12;6;4;11;10;3;46910
3;46910;2;1;9;7;5;8;3;12;6;4;11;10
2;1;9;7;5;8;10;12;6;4;11;3;3;44652
3;44652;2;1;9;7;5;8;10;12;6;4;11;3
2;12;9;7;5;8;10;1;6;4;11;3;3;42892
3;42892;2;12;9;7;5;8;10;1;6;4;11;3
2;12;9;7;3;8;10;1;6;4;11;5;3;46758
3;46758;2;12;9;7;3;8;10;1;6;4;11;5
7;12;9;2;3;8;10;1;6;4;11;5;3;45648
3;45648;7;12;9;2;3;8;10;1;6;4;11;5
7;12;9;2;3;8;4;1;6;10;11;5;3;36818
3;36818;7;12;9;2;3;8;4;1;6;10;11;5
7;12;4;2;3;8;9;1;6;10;11;5;3;35342
3;35342;7;12;4;2;3;8;9;1;6;10;11;5
7;5;4;2;3;8;9;1;6;10;11;12;3;25786
3;25786;7;5;4;2;3;8;9;1;6;10;11;12
7;5;4;2;3;8;9;1;6;11;10;12;3;29454
4;29454;7;5;4;2;3;8;9;1;6;11;10;12
7;6;4;2;3;8;9;1;5;11;10;12;4;48154
4;48154;7;6;4;2;3;8;9;1;5;11;10;12
7;6;4;3;2;8;9;1;5;11;10;12;4;47034
