"X1";"X36734";"X11";"X12";"X4";"X2";"X6";"X5";"X10";"X8";"X9";"X1.1";"X3";"X7"
1;36734;11;12;4;2;6;5;10;8;9;1;3;7
11;8;4;2;6;5;10;12;9;1;3;7;1;41074
1;41074;11;8;4;2;6;5;10;12;9;1;3;7
2;8;4;11;6;5;10;12;9;1;3;7;1;56742
1;41074;11;8;4;2;6;5;10;12;9;1;3;7
11;8;4;2;6;5;9;12;10;1;3;7;1;39918
1;39918;11;8;4;2;6;5;9;12;10;1;3;7
11;8;3;2;6;5;9;12;10;1;4;7;1;39844
1;39844;11;8;3;2;6;5;9;12;10;1;4;7
11;8;3;5;6;2;9;12;10;1;4;7;1;45120
1;45120;11;8;3;5;6;2;9;12;10;1;4;7
11;8;3;5;6;2;10;12;9;1;4;7;1;44048
1;44048;11;8;3;5;6;2;10;12;9;1;4;7
11;8;3;5;6;2;4;12;9;1;10;7;1;43534
1;43534;11;8;3;5;6;2;4;12;9;1;10;7
11;10;3;5;6;2;4;12;9;1;8;7;1;46290
1;46290;11;10;3;5;6;2;4;12;9;1;8;7
11;10;8;5;6;2;4;12;9;1;3;7;1;48492
1;48492;11;10;8;5;6;2;4;12;9;1;3;7
11;10;8;5;6;2;4;9;12;1;3;7;1;43922
1;43922;11;10;8;5;6;2;4;9;12;1;3;7
11;10;8;5;6;2;4;9;7;1;3;12;1;49984
1;49984;11;10;8;5;6;2;4;9;7;1;3;12
1;10;8;5;6;2;4;9;7;11;3;12;1;36122
1;36122;1;10;8;5;6;2;4;9;7;11;3;12
1;10;8;5;6;2;12;9;7;11;3;4;1;41902
1;41902;1;10;8;5;6;2;12;9;7;11;3;4
1;10;8;5;6;2;12;4;7;11;3;9;1;45196
1;45196;1;10;8;5;6;2;12;4;7;11;3;9
1;10;8;5;11;2;12;4;7;6;3;9;1;32134
1;32134;1;10;8;5;11;2;12;4;7;6;3;9
1;10;8;5;11;2;12;4;3;6;7;9;1;32220
1;32220;1;10;8;5;11;2;12;4;3;6;7;9
1;10;3;5;11;2;12;4;8;6;7;9;1;32588
1;32588;1;10;3;5;11;2;12;4;8;6;7;9
1;10;3;12;11;2;5;4;8;6;7;9;1;31488
1;31488;1;10;3;12;11;2;5;4;8;6;7;9
1;10;3;12;11;2;5;8;4;6;7;9;1;38952
1;38952;1;10;3;12;11;2;5;8;4;6;7;9
1;10;5;12;11;2;3;8;4;6;7;9;1;37868
2;37868;1;10;5;12;11;2;3;8;4;6;7;9
1;10;3;12;11;2;5;8;4;6;7;9;2;38952
2;38952;1;10;3;12;11;2;5;8;4;6;7;9
1;10;7;12;11;2;5;8;4;6;3;9;2;36886
2;36886;1;10;7;12;11;2;5;8;4;6;3;9
1;10;7;12;5;2;11;8;4;6;3;9;2;40656
2;36886;1;10;7;12;11;2;5;8;4;6;3;9
1;10;7;3;11;2;5;8;4;6;12;9;2;38712
2;38712;1;10;7;3;11;2;5;8;4;6;12;9
1;10;7;3;11;12;5;8;4;6;2;9;2;43304
2;43304;1;10;7;3;11;12;5;8;4;6;2;9
1;7;10;3;11;12;5;8;4;6;2;9;2;31700
2;31700;1;7;10;3;11;12;5;8;4;6;2;9
1;7;10;2;11;12;5;8;4;6;3;9;2;30060
2;30060;1;7;10;2;11;12;5;8;4;6;3;9
11;7;10;2;1;12;5;8;4;6;3;9;2;41558
2;41558;11;7;10;2;1;12;5;8;4;6;3;9
11;10;7;2;1;12;5;8;4;6;3;9;2;54122
2;54122;11;10;7;2;1;12;5;8;4;6;3;9
11;10;7;2;1;12;5;8;4;9;3;6;2;52010
2;52010;11;10;7;2;1;12;5;8;4;9;3;6
11;10;7;2;1;12;5;8;4;6;3;9;2;54122
2;54122;11;10;7;2;1;12;5;8;4;6;3;9
11;10;7;2;1;8;5;12;4;6;3;9;2;35504
2;35504;11;10;7;2;1;8;5;12;4;6;3;9
11;1;7;2;10;8;5;12;4;6;3;9;2;37120
2;37120;11;1;7;2;10;8;5;12;4;6;3;9
9;1;7;2;10;8;5;12;4;6;3;11;2;37288
2;37288;9;1;7;2;10;8;5;12;4;6;3;11
9;1;7;2;10;8;5;11;4;6;3;12;2;33884
2;33884;9;1;7;2;10;8;5;11;4;6;3;12
9;1;8;2;10;7;5;11;4;6;3;12;2;29612
