"X1";"X38858";"X6";"X12";"X11";"X9";"X8";"X10";"X4";"X5";"X2";"X7";"X1.1";"X3"
1;38858;6;12;11;9;8;10;4;5;2;7;1;3
6;1;11;9;8;10;4;5;2;7;12;3;1;33554
1;33554;6;1;11;9;8;10;4;5;2;7;12;3
6;1;11;9;8;10;4;3;2;7;12;5;1;41376
1;41376;6;1;11;9;8;10;4;3;2;7;12;5
6;7;11;9;8;10;4;3;2;1;12;5;1;47868
1;47868;6;7;11;9;8;10;4;3;2;1;12;5
6;7;11;9;3;10;4;8;2;1;12;5;1;46392
1;46392;6;7;11;9;3;10;4;8;2;1;12;5
6;7;11;9;3;10;1;8;2;4;12;5;1;48916
1;48916;6;7;11;9;3;10;1;8;2;4;12;5
4;7;11;9;3;10;1;8;2;6;12;5;1;35428
1;35428;4;7;11;9;3;10;1;8;2;6;12;5
4;10;11;9;3;7;1;8;2;6;12;5;1;35760
1;35760;4;10;11;9;3;7;1;8;2;6;12;5
4;5;11;9;3;7;1;8;2;6;12;10;1;42064
1;42064;4;5;11;9;3;7;1;8;2;6;12;10
4;5;8;9;3;7;1;11;2;6;12;10;1;30320
1;30320;4;5;8;9;3;7;1;11;2;6;12;10
10;5;8;9;3;7;1;11;2;6;12;4;1;17474
1;17474;10;5;8;9;3;7;1;11;2;6;12;4
10;8;5;9;3;7;1;11;2;6;12;4;1;31542
1;17474;10;5;8;9;3;7;1;11;2;6;12;4
10;5;7;9;3;8;1;11;2;6;12;4;1;21786
1;21786;10;5;7;9;3;8;1;11;2;6;12;4
10;5;7;9;3;8;1;11;2;6;4;12;1;23356
1;23356;10;5;7;9;3;8;1;11;2;6;4;12
10;5;7;9;1;8;3;11;2;6;4;12;1;22120
1;22120;10;5;7;9;1;8;3;11;2;6;4;12
10;5;7;9;1;12;3;11;2;6;4;8;1;31862
1;31862;10;5;7;9;1;12;3;11;2;6;4;8
10;5;7;9;11;12;3;1;2;6;4;8;1;48740
1;48740;10;5;7;9;11;12;3;1;2;6;4;8
