"X1";"X48206";"X3";"X2";"X1.1";"X6";"X5";"X10";"X12";"X9";"X11";"X4";"X7";"X8"
1;48206;3;2;1;6;5;10;12;9;11;4;7;8
3;2;1;6;5;10;12;9;11;7;4;8;1;51700
1;51700;3;2;1;6;5;10;12;9;11;7;4;8
3;2;1;6;5;10;12;9;7;11;4;8;1;46042
1;46042;3;2;1;6;5;10;12;9;7;11;4;8
3;2;6;1;5;10;12;9;7;11;4;8;1;40440
1;40440;3;2;6;1;5;10;12;9;7;11;4;8
3;2;6;1;5;8;12;9;7;11;4;10;1;50638
1;50638;3;2;6;1;5;8;12;9;7;11;4;10
5;2;6;1;3;8;12;9;7;11;4;10;1;53268
1;53268;5;2;6;1;3;8;12;9;7;11;4;10
6;2;5;1;3;8;12;9;7;11;4;10;1;58988
1;58988;6;2;5;1;3;8;12;9;7;11;4;10
6;3;5;1;2;8;12;9;7;11;4;10;1;60542
1;60542;6;3;5;1;2;8;12;9;7;11;4;10
10;3;5;1;2;8;12;9;7;11;4;6;1;44188
1;44188;10;3;5;1;2;8;12;9;7;11;4;6
10;3;5;1;8;2;12;9;7;11;4;6;1;42562
1;42562;10;3;5;1;8;2;12;9;7;11;4;6
8;3;5;1;10;2;12;9;7;11;4;6;1;44504
1;44504;8;3;5;1;10;2;12;9;7;11;4;6
8;3;5;1;10;2;12;4;7;11;9;6;1;49978
1;49978;8;3;5;1;10;2;12;4;7;11;9;6
8;2;5;1;10;3;12;4;7;11;9;6;1;52194
1;52194;8;2;5;1;10;3;12;4;7;11;9;6
8;2;5;1;10;4;12;3;7;11;9;6;1;40138
1;40138;8;2;5;1;10;4;12;3;7;11;9;6
8;2;5;1;11;4;12;3;7;10;9;6;1;45736
1;45736;8;2;5;1;11;4;12;3;7;10;9;6
8;11;5;1;2;4;12;3;7;10;9;6;1;45622
1;45622;8;11;5;1;2;4;12;3;7;10;9;6
12;11;5;1;2;4;8;3;7;10;9;6;1;43852
1;43852;12;11;5;1;2;4;8;3;7;10;9;6
2;11;5;1;12;4;8;3;7;10;9;6;1;52398
1;52398;2;11;5;1;12;4;8;3;7;10;9;6
2;11;5;1;12;4;8;10;7;3;9;6;1;55772
1;55772;2;11;5;1;12;4;8;10;7;3;9;6
2;11;5;1;12;4;7;10;8;3;9;6;1;55034
1;55034;2;11;5;1;12;4;7;10;8;3;9;6
2;11;5;1;12;10;7;4;8;3;9;6;1;50114
2;50114;2;11;5;1;12;10;7;4;8;3;9;6
2;11;5;1;4;10;7;12;8;3;9;6;2;57548
2;57548;2;11;5;1;4;10;7;12;8;3;9;6
2;10;5;1;4;11;7;12;8;3;9;6;2;51254
2;51254;2;10;5;1;4;11;7;12;8;3;9;6
4;10;5;1;2;11;7;12;8;3;9;6;2;51574
2;51574;4;10;5;1;2;11;7;12;8;3;9;6
4;10;5;11;2;1;7;12;8;3;9;6;2;44216
2;44216;4;10;5;11;2;1;7;12;8;3;9;6
4;10;5;11;2;1;12;7;8;3;9;6;2;44676
2;44676;4;10;5;11;2;1;12;7;8;3;9;6
4;10;5;11;2;1;12;6;8;3;9;7;2;51166
2;51166;4;10;5;11;2;1;12;6;8;3;9;7
4;10;5;11;2;12;1;6;8;3;9;7;2;62518
2;62518;4;10;5;11;2;12;1;6;8;3;9;7
4;10;5;1;2;12;11;6;8;3;9;7;2;57778
2;57778;4;10;5;1;2;12;11;6;8;3;9;7
4;2;5;1;10;12;11;6;8;3;9;7;2;47756
2;47756;4;2;5;1;10;12;11;6;8;3;9;7
4;2;1;5;10;12;11;6;8;3;9;7;2;51886
2;51886;4;2;1;5;10;12;11;6;8;3;9;7
4;2;1;5;10;12;6;11;8;3;9;7;2;44150
