"X1";"X49424";"X1.1";"X7";"X3";"X12";"X2";"X11";"X6";"X5";"X9";"X4";"X8";"X10"
1;49424;1;7;3;12;2;11;6;5;9;4;8;10
1;7;3;12;2;11;6;5;4;9;8;10;1;47170
1;47170;1;7;3;12;2;11;6;5;4;9;8;10
8;7;3;12;2;11;6;5;4;9;1;10;1;62840
1;62840;8;7;3;12;2;11;6;5;4;9;1;10
9;7;3;12;2;11;6;5;4;8;1;10;1;35528
1;35528;9;7;3;12;2;11;6;5;4;8;1;10
9;7;1;12;2;11;6;5;4;8;3;10;1;35706
1;35706;9;7;1;12;2;11;6;5;4;8;3;10
9;7;4;12;2;11;6;5;1;8;3;10;1;34704
1;34704;9;7;4;12;2;11;6;5;1;8;3;10
9;7;4;12;2;11;5;6;1;8;3;10;1;41316
1;41316;9;7;4;12;2;11;5;6;1;8;3;10
9;7;12;4;2;11;5;6;1;8;3;10;1;41240
1;41240;9;7;12;4;2;11;5;6;1;8;3;10
9;7;5;4;2;11;12;6;1;8;3;10;1;43060
1;43060;9;7;5;4;2;11;12;6;1;8;3;10
9;7;5;4;11;2;12;6;1;8;3;10;1;38808
1;38808;9;7;5;4;11;2;12;6;1;8;3;10
6;7;5;4;11;2;12;9;1;8;3;10;1;43316
1;43316;6;7;5;4;11;2;12;9;1;8;3;10
6;7;5;10;11;2;12;9;1;8;3;4;1;47320
1;47320;6;7;5;10;11;2;12;9;1;8;3;4
6;7;5;8;11;2;12;9;1;10;3;4;1;51798
1;51798;6;7;5;8;11;2;12;9;1;10;3;4
6;7;5;8;11;2;12;9;4;10;3;1;1;47588
1;47588;6;7;5;8;11;2;12;9;4;10;3;1
9;7;5;8;11;2;12;6;4;10;3;1;1;37392
1;37392;9;7;5;8;11;2;12;6;4;10;3;1
9;7;5;8;10;2;12;6;4;11;3;1;1;31320
1;31320;9;7;5;8;10;2;12;6;4;11;3;1
9;7;5;8;10;1;12;6;4;11;3;2;1;30048
1;30048;9;7;5;8;10;1;12;6;4;11;3;2
9;7;5;8;10;1;11;6;4;12;3;2;1;29702
1;29702;9;7;5;8;10;1;11;6;4;12;3;2
3;7;5;8;10;1;11;6;4;12;9;2;1;34204
1;34204;3;7;5;8;10;1;11;6;4;12;9;2
3;8;5;7;10;1;11;6;4;12;9;2;1;39676
1;39676;3;8;5;7;10;1;11;6;4;12;9;2
3;4;5;7;10;1;11;6;8;12;9;2;1;30590
2;30590;3;4;5;7;10;1;11;6;8;12;9;2
3;7;5;4;10;1;11;6;8;12;9;2;2;32556
2;32556;3;7;5;4;10;1;11;6;8;12;9;2
3;7;5;4;10;1;12;6;8;11;9;2;2;32902
2;32902;3;7;5;4;10;1;12;6;8;11;9;2
3;9;5;4;10;1;12;6;8;11;7;2;2;49464
2;32902;3;7;5;4;10;1;12;6;8;11;9;2
3;7;5;2;10;1;12;6;8;11;9;4;2;34480
2;34480;3;7;5;2;10;1;12;6;8;11;9;4
3;7;5;2;10;1;12;6;8;11;4;9;2;32102
2;32102;3;7;5;2;10;1;12;6;8;11;4;9
3;7;5;2;10;6;12;1;8;11;4;9;2;56128
2;32102;3;7;5;2;10;1;12;6;8;11;4;9
3;7;10;2;5;1;12;6;8;11;4;9;2;28936
2;28936;3;7;10;2;5;1;12;6;8;11;4;9
