"X1";"X5913276";"X7";"X26";"X23";"X24";"X2";"X17";"X11";"X8";"X4";"X1.1";"X15";"X9";"X13";"X21";"X22";"X10";"X3";"X12";"X25";"X19";"X18";"X6";"X20";"X14";"X5";"X16"
1;5913276;7;26;23;24;2;17;11;8;4;1;15;9;13;21;22;10;3;12;25;19;18;6;20;14;5;16
7;15;23;24;2;17;11;8;4;1;26;9;13;21;22;10;3;12;25;19;18;6;20;14;5;16;1;5937479
1;5937479;7;15;23;24;2;17;11;8;4;1;26;9;13;21;22;10;3;12;25;19;18;6;20;14;5;16
7;15;23;24;2;17;11;8;4;1;26;9;13;10;22;21;3;12;25;19;18;6;20;14;5;16;1;5896269
1;5896269;7;15;23;24;2;17;11;8;4;1;26;9;13;10;22;21;3;12;25;19;18;6;20;14;5;16
16;15;23;24;2;17;11;8;4;1;26;9;13;10;22;21;3;12;25;19;18;6;20;14;5;7;1;5914351
1;5914351;16;15;23;24;2;17;11;8;4;1;26;9;13;10;22;21;3;12;25;19;18;6;20;14;5;7
16;15;23;24;12;17;11;8;4;1;26;9;13;10;22;21;3;2;25;19;18;6;20;14;5;7;1;5938664
1;5938664;16;15;23;24;12;17;11;8;4;1;26;9;13;10;22;21;3;2;25;19;18;6;20;14;5;7
16;15;23;24;12;17;11;8;4;1;26;9;25;10;22;21;3;2;13;19;18;6;20;14;5;7;1;5952075
1;5952075;16;15;23;24;12;17;11;8;4;1;26;9;25;10;22;21;3;2;13;19;18;6;20;14;5;7
16;15;23;24;12;17;14;8;4;1;26;9;25;10;22;21;3;2;13;19;18;6;20;11;5;7;1;6151869
1;6151869;16;15;23;24;12;17;14;8;4;1;26;9;25;10;22;21;3;2;13;19;18;6;20;11;5;7
16;15;23;24;12;17;14;8;4;11;26;9;25;10;22;21;3;2;13;19;18;6;20;1;5;7;1;6186570
1;6186570;16;15;23;24;12;17;14;8;4;11;26;9;25;10;22;21;3;2;13;19;18;6;20;1;5;7
16;15;23;24;12;17;14;8;4;11;2;9;25;10;22;21;3;26;13;19;18;6;20;1;5;7;1;6181234
1;6181234;16;15;23;24;12;17;14;8;4;11;2;9;25;10;22;21;3;26;13;19;18;6;20;1;5;7
16;15;19;24;12;17;14;8;4;11;2;9;25;10;22;21;3;26;13;23;18;6;20;1;5;7;1;6158175
1;6158175;16;15;19;24;12;17;14;8;4;11;2;9;25;10;22;21;3;26;13;23;18;6;20;1;5;7
16;15;19;24;12;17;14;8;4;11;2;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7;1;6165160
1;6165160;16;15;19;24;12;17;14;8;4;11;2;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7
16;15;19;24;12;17;2;8;4;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7;1;5970177
1;5970177;16;15;19;24;12;17;2;8;4;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7
16;24;19;15;12;17;2;8;4;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7;1;5960193
1;5960193;16;24;19;15;12;17;2;8;4;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7
16;24;19;4;12;17;2;8;15;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7;1;5909733
1;5909733;16;24;19;4;12;17;2;8;15;11;14;25;9;10;22;21;3;26;13;23;18;6;20;1;5;7
16;24;23;4;12;17;2;8;15;11;14;25;9;10;22;21;3;26;13;19;18;6;20;1;5;7;1;5930579
1;5930579;16;24;23;4;12;17;2;8;15;11;14;25;9;10;22;21;3;26;13;19;18;6;20;1;5;7
16;24;23;4;12;17;2;6;15;11;14;25;9;10;22;21;3;26;13;19;18;8;20;1;5;7;1;5907181
1;5907181;16;24;23;4;12;17;2;6;15;11;14;25;9;10;22;21;3;26;13;19;18;8;20;1;5;7
16;15;23;4;12;17;2;6;24;11;14;25;9;10;22;21;3;26;13;19;18;8;20;1;5;7;1;5965607
1;5965607;16;15;23;4;12;17;2;6;24;11;14;25;9;10;22;21;3;26;13;19;18;8;20;1;5;7
16;15;23;4;12;17;2;6;24;11;14;20;9;10;22;21;3;26;13;19;18;8;25;1;5;7;1;5868773
1;5868773;16;15;23;4;12;17;2;6;24;11;14;20;9;10;22;21;3;26;13;19;18;8;25;1;5;7
16;15;23;4;12;17;2;6;24;11;14;20;5;10;22;21;3;26;13;19;18;8;25;1;9;7;1;5909157
1;5909157;16;15;23;4;12;17;2;6;24;11;14;20;5;10;22;21;3;26;13;19;18;8;25;1;9;7
16;15;23;4;12;17;2;6;24;11;14;20;5;10;21;22;3;26;13;19;18;8;25;1;9;7;1;5934506
1;5934506;16;15;23;4;12;17;2;6;24;11;14;20;5;10;21;22;3;26;13;19;18;8;25;1;9;7
16;15;23;4;12;5;2;6;24;11;14;20;17;10;21;22;3;26;13;19;18;8;25;1;9;7;1;6031113
2;6031113;16;15;23;4;12;5;2;6;24;11;14;20;17;10;21;22;3;26;13;19;18;8;25;1;9;7
16;15;23;4;12;5;2;6;24;11;20;14;17;10;21;22;3;26;13;19;18;8;25;1;9;7;2;6058696
2;6058696;16;15;23;4;12;5;2;6;24;11;20;14;17;10;21;22;3;26;13;19;18;8;25;1;9;7
16;15;23;4;12;5;2;6;24;11;20;14;26;10;21;22;3;17;13;19;18;8;25;1;9;7;2;6058865
2;6058865;16;15;23;4;12;5;2;6;24;11;20;14;26;10;21;22;3;17;13;19;18;8;25;1;9;7
16;15;23;4;12;5;2;6;24;11;19;14;26;10;21;22;3;17;13;20;18;8;25;1;9;7;2;6078037
2;6078037;16;15;23;4;12;5;2;6;24;11;19;14;26;10;21;22;3;17;13;20;18;8;25;1;9;7
16;15;19;4;12;5;2;6;24;11;23;14;26;10;21;22;3;17;13;20;18;8;25;1;9;7;2;6105729
2;6105729;16;15;19;4;12;5;2;6;24;11;23;14;26;10;21;22;3;17;13;20;18;8;25;1;9;7
16;15;10;4;12;5;2;6;24;11;23;14;26;19;21;22;3;17;13;20;18;8;25;1;9;7;2;6079097
2;6079097;16;15;10;4;12;5;2;6;24;11;23;14;26;19;21;22;3;17;13;20;18;8;25;1;9;7
16;15;10;4;12;5;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;9;7;2;6093512
2;6093512;16;15;10;4;12;5;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;9;7
16;15;9;4;12;5;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;10;7;2;6007395
2;6007395;16;15;9;4;12;5;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;10;7
5;15;9;4;12;16;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;10;7;2;6235064
2;6235064;5;15;9;4;12;16;13;6;24;11;23;14;26;19;21;22;3;17;2;20;18;8;25;1;10;7
5;15;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;25;1;21;7;2;6204962
2;6204962;5;15;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;25;1;21;7
5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;25;1;21;15;2;6244486
2;6244486;5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;25;1;21;15
5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;21;1;25;15;2;6303767
2;6303767;5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;8;21;1;25;15
5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;21;8;1;25;15;2;6293113
2;6293113;5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;20;18;21;8;1;25;15
5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;20;8;1;25;15;2;6277437
2;6277437;5;7;9;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;20;8;1;25;15
5;7;1;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;20;8;9;25;15;2;6309365
2;6309365;5;7;1;4;12;16;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;20;8;9;25;15
5;7;1;4;12;20;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;16;8;9;25;15;2;6149117
2;6149117;5;7;1;4;12;20;13;6;24;11;23;14;26;19;10;22;3;17;2;21;18;16;8;9;25;15
5;7;1;4;12;20;13;6;24;11;9;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15;2;6014174
2;6014174;5;7;1;4;12;20;13;6;24;11;9;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15
9;7;1;4;12;20;13;6;24;11;5;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15;2;5923114
2;5923114;9;7;1;4;12;20;13;6;24;11;5;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15
9;7;1;4;12;20;13;6;5;11;24;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15;2;5813864
2;5813864;9;7;1;4;12;20;13;6;5;11;24;14;26;19;10;22;3;17;2;21;18;16;8;23;25;15
9;7;15;4;12;20;13;6;5;11;24;14;26;19;10;22;3;17;2;21;18;16;8;23;25;1;2;5790025
2;5790025;9;7;15;4;12;20;13;6;5;11;24;14;26;19;10;22;3;17;2;21;18;16;8;23;25;1
9;7;15;4;2;20;13;6;5;11;24;14;26;19;10;22;3;17;12;21;18;16;8;23;25;1;2;5779534
3;5779534;9;7;15;4;2;20;13;6;5;11;24;14;26;19;10;22;3;17;12;21;18;16;8;23;25;1
9;7;15;8;2;20;13;6;5;11;24;14;26;19;10;22;3;17;12;21;18;16;4;23;25;1;3;5792224
3;5792224;9;7;15;8;2;20;13;6;5;11;24;14;26;19;10;22;3;17;12;21;18;16;4;23;25;1
9;7;15;8;2;20;13;6;5;11;22;14;26;19;10;24;3;17;12;21;18;16;4;23;25;1;3;5793798
3;5793798;9;7;15;8;2;20;13;6;5;11;22;14;26;19;10;24;3;17;12;21;18;16;4;23;25;1
9;7;15;8;2;20;13;6;5;11;22;14;26;19;10;24;3;17;12;21;18;16;4;1;25;23;3;5847328
3;5847328;9;7;15;8;2;20;13;6;5;11;22;14;26;19;10;24;3;17;12;21;18;16;4;1;25;23
9;7;15;8;2;20;13;6;5;11;22;14;26;19;1;24;3;17;12;21;18;16;4;10;25;23;3;5812316
3;5812316;9;7;15;8;2;20;13;6;5;11;22;14;26;19;1;24;3;17;12;21;18;16;4;10;25;23
9;7;15;8;2;20;13;6;5;11;22;14;26;19;1;24;3;25;12;21;18;16;4;10;17;23;3;5810850
3;5810850;9;7;15;8;2;20;13;6;5;11;22;14;26;19;1;24;3;25;12;21;18;16;4;10;17;23
9;7;15;14;2;20;13;6;5;11;22;8;26;19;1;24;3;25;12;21;18;16;4;10;17;23;3;5901311
