"X1";"X5821855";"X5";"X7";"X25";"X14";"X16";"X9";"X26";"X21";"X1.1";"X2";"X8";"X18";"X12";"X22";"X23";"X20";"X24";"X3";"X15";"X17";"X11";"X19";"X10";"X13";"X4";"X6"
1;5821855;5;7;25;14;16;9;26;21;1;2;8;18;12;22;23;20;24;3;15;17;11;19;10;13;4;6
5;7;25;14;16;9;26;21;1;2;23;18;12;22;8;20;24;3;15;17;11;19;10;13;4;6;1;5821110
1;5821110;5;7;25;14;16;9;26;21;1;2;23;18;12;22;8;20;24;3;15;17;11;19;10;13;4;6
5;7;25;14;16;9;26;21;1;2;23;18;12;22;8;20;24;3;13;17;11;19;10;15;4;6;1;5890231
1;5890231;5;7;25;14;16;9;26;21;1;2;23;18;12;22;8;20;24;3;13;17;11;19;10;15;4;6
5;7;25;14;16;9;26;21;6;2;23;18;12;22;8;20;24;3;13;17;11;19;10;15;4;1;1;5887081
1;5887081;5;7;25;14;16;9;26;21;6;2;23;18;12;22;8;20;24;3;13;17;11;19;10;15;4;1
5;7;25;14;16;9;26;21;6;2;23;18;12;19;8;20;24;3;13;17;11;22;10;15;4;1;1;5841197
1;5841197;5;7;25;14;16;9;26;21;6;2;23;18;12;19;8;20;24;3;13;17;11;22;10;15;4;1
5;7;25;14;16;9;26;20;6;2;23;18;12;19;8;21;24;3;13;17;11;22;10;15;4;1;1;5833365
1;5833365;5;7;25;14;16;9;26;20;6;2;23;18;12;19;8;21;24;3;13;17;11;22;10;15;4;1
5;7;25;14;16;9;26;20;6;2;23;18;12;19;11;21;24;3;13;17;8;22;10;15;4;1;1;5839292
1;5839292;5;7;25;14;16;9;26;20;6;2;23;18;12;19;11;21;24;3;13;17;8;22;10;15;4;1
19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;24;3;13;17;8;22;10;15;4;1;1;5777175
1;5777175;19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;24;3;13;17;8;22;10;15;4;1
19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;24;22;13;17;8;3;10;15;4;1;1;5862882
1;5862882;19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;24;22;13;17;8;3;10;15;4;1
19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;15;22;13;17;8;3;10;24;4;1;1;5800352
1;5800352;19;7;25;14;16;9;26;20;6;2;23;18;12;5;11;21;15;22;13;17;8;3;10;24;4;1
19;7;26;14;16;9;25;20;6;2;23;18;12;5;11;21;15;22;13;17;8;3;10;24;4;1;1;5783482
1;5783482;19;7;26;14;16;9;25;20;6;2;23;18;12;5;11;21;15;22;13;17;8;3;10;24;4;1
19;7;26;14;16;9;25;20;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1;1;5798318
1;5798318;19;7;26;14;16;9;25;20;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1
19;25;26;14;16;9;7;20;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1;1;5801113
1;5801113;19;25;26;14;16;9;7;20;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1
19;25;20;14;16;9;7;26;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1;1;5825871
1;5825871;19;25;20;14;16;9;7;26;6;2;24;18;12;5;11;21;15;22;13;17;8;3;10;23;4;1
19;25;20;14;16;9;12;26;6;2;24;18;7;5;11;21;15;22;13;17;8;3;10;23;4;1;1;5861954
1;5861954;19;25;20;14;16;9;12;26;6;2;24;18;7;5;11;21;15;22;13;17;8;3;10;23;4;1
19;25;20;14;16;9;13;26;6;2;24;18;7;5;11;21;15;22;12;17;8;3;10;23;4;1;1;5846228
1;5846228;19;25;20;14;16;9;13;26;6;2;24;18;7;5;11;21;15;22;12;17;8;3;10;23;4;1
19;25;11;14;16;9;13;26;6;2;24;18;7;5;20;21;15;22;12;17;8;3;10;23;4;1;1;5877789
1;5877789;19;25;11;14;16;9;13;26;6;2;24;18;7;5;20;21;15;22;12;17;8;3;10;23;4;1
19;25;11;14;16;9;13;26;6;2;24;18;7;5;20;21;1;22;12;17;8;3;10;23;4;15;1;5870643
1;5870643;19;25;11;14;16;9;13;26;6;2;24;18;7;5;20;21;1;22;12;17;8;3;10;23;4;15
19;25;11;14;10;9;13;26;6;2;24;18;7;5;20;21;1;22;12;17;8;3;16;23;4;15;1;5873092
1;5873092;19;25;11;14;10;9;13;26;6;2;24;18;7;5;20;21;1;22;12;17;8;3;16;23;4;15
19;25;11;14;10;9;13;26;6;2;24;18;7;5;20;21;23;22;12;17;8;3;16;1;4;15;1;5954587
1;5954587;19;25;11;14;10;9;13;26;6;2;24;18;7;5;20;21;23;22;12;17;8;3;16;1;4;15
19;25;6;14;10;9;13;26;11;2;24;18;7;5;20;21;23;22;12;17;8;3;16;1;4;15;1;5945712
2;5945712;19;25;6;14;10;9;13;26;11;2;24;18;7;5;20;21;23;22;12;17;8;3;16;1;4;15
19;25;6;14;10;9;13;26;11;18;24;2;7;5;20;21;23;22;12;17;8;3;16;1;4;15;2;5951696
2;5951696;19;25;6;14;10;9;13;26;11;18;24;2;7;5;20;21;23;22;12;17;8;3;16;1;4;15
19;25;6;14;10;9;13;8;11;18;24;2;7;5;20;21;23;22;12;17;26;3;16;1;4;15;2;5867702
2;5867702;19;25;6;14;10;9;13;8;11;18;24;2;7;5;20;21;23;22;12;17;26;3;16;1;4;15
19;25;6;14;10;9;13;8;11;3;24;2;7;5;20;21;23;22;12;17;26;18;16;1;4;15;2;6005070
2;6005070;19;25;6;14;10;9;13;8;11;3;24;2;7;5;20;21;23;22;12;17;26;18;16;1;4;15
19;25;6;14;10;9;13;8;11;24;3;2;7;5;20;21;23;22;12;17;26;18;16;1;4;15;2;5965297
2;5965297;19;25;6;14;10;9;13;8;11;24;3;2;7;5;20;21;23;22;12;17;26;18;16;1;4;15
19;25;6;14;10;9;13;8;11;24;3;2;7;5;20;21;23;16;12;17;26;18;22;1;4;15;2;5947044
2;5947044;19;25;6;14;10;9;13;8;11;24;3;2;7;5;20;21;23;16;12;17;26;18;22;1;4;15
19;25;6;15;10;9;13;8;11;24;3;2;7;5;20;21;23;16;12;17;26;18;22;1;4;14;2;5944958
2;5944958;19;25;6;15;10;9;13;8;11;24;3;2;7;5;20;21;23;16;12;17;26;18;22;1;4;14
19;25;6;15;10;9;13;8;11;24;3;2;7;22;20;21;23;16;12;17;26;18;5;1;4;14;2;6078726
2;6078726;19;25;6;15;10;9;13;8;11;24;3;2;7;22;20;21;23;16;12;17;26;18;5;1;4;14
19;25;6;15;9;10;13;8;11;24;3;2;7;22;20;21;23;16;12;17;26;18;5;1;4;14;2;6125747
2;6125747;19;25;6;15;9;10;13;8;11;24;3;2;7;22;20;21;23;16;12;17;26;18;5;1;4;14
19;25;6;15;9;23;13;8;11;24;3;2;7;22;20;21;10;16;12;17;26;18;5;1;4;14;2;6127799
2;6127799;19;25;6;15;9;23;13;8;11;24;3;2;7;22;20;21;10;16;12;17;26;18;5;1;4;14
7;25;6;15;9;23;13;8;11;24;3;2;19;22;20;21;10;16;12;17;26;18;5;1;4;14;2;6076044
2;6076044;7;25;6;15;9;23;13;8;11;24;3;2;19;22;20;21;10;16;12;17;26;18;5;1;4;14
7;25;6;15;9;23;13;8;11;24;3;5;19;22;20;21;10;16;12;17;26;18;2;1;4;14;2;5817868
2;5817868;7;25;6;15;9;23;13;8;11;24;3;5;19;22;20;21;10;16;12;17;26;18;2;1;4;14
7;25;6;15;9;23;13;8;11;24;3;5;19;22;20;21;26;16;12;17;10;18;2;1;4;14;2;5811442
2;5811442;7;25;6;15;9;23;13;8;11;24;3;5;19;22;20;21;26;16;12;17;10;18;2;1;4;14
7;25;6;15;9;23;13;8;11;24;3;5;19;22;10;21;26;16;12;17;20;18;2;1;4;14;2;5862256
2;5862256;7;25;6;15;9;23;13;8;11;24;3;5;19;22;10;21;26;16;12;17;20;18;2;1;4;14
7;6;25;15;9;23;13;8;11;24;3;5;19;22;10;21;26;16;12;17;20;18;2;1;4;14;2;5867327
2;5867327;7;6;25;15;9;23;13;8;11;24;3;5;19;22;10;21;26;16;12;17;20;18;2;1;4;14
7;6;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;12;17;20;18;2;24;4;14;2;5879093
2;5879093;7;6;25;15;9;23;13;8;11;1;3;5;19;22;10;21;26;16;12;17;20;18;2;24;4;14
