"X1";"X5869389";"X6";"X23";"X24";"X26";"X25";"X22";"X13";"X17";"X20";"X9";"X5";"X16";"X15";"X1.1";"X12";"X14";"X4";"X8";"X2";"X21";"X3";"X18";"X10";"X19";"X7";"X11"
1;5869389;6;23;24;26;25;22;13;17;20;9;5;16;15;1;12;14;4;8;2;21;3;18;10;19;7;11
6;23;24;26;25;22;13;17;20;9;5;16;15;1;12;18;4;8;2;21;3;14;10;19;7;11;1;5855636
1;5855636;6;23;24;26;25;22;13;17;20;9;5;16;15;1;12;18;4;8;2;21;3;14;10;19;7;11
6;23;24;26;25;22;13;17;20;9;5;16;15;1;12;18;4;8;2;21;14;3;10;19;7;11;1;5854398
1;5854398;6;23;24;26;25;22;13;17;20;9;5;16;15;1;12;18;4;8;2;21;14;3;10;19;7;11
6;20;24;26;25;22;13;17;23;9;5;16;15;1;12;18;4;8;2;21;14;3;10;19;7;11;1;5894441
1;5894441;6;20;24;26;25;22;13;17;23;9;5;16;15;1;12;18;4;8;2;21;14;3;10;19;7;11
6;20;24;21;25;22;13;17;23;9;5;16;15;1;12;18;4;8;2;26;14;3;10;19;7;11;1;5884138
1;5884138;6;20;24;21;25;22;13;17;23;9;5;16;15;1;12;18;4;8;2;26;14;3;10;19;7;11
6;20;24;21;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;26;14;3;10;19;7;9;1;5918228
1;5918228;6;20;24;21;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;26;14;3;10;19;7;9
6;20;24;10;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;26;14;3;21;19;7;9;1;5925849
1;5925849;6;20;24;10;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;26;14;3;21;19;7;9
6;20;24;10;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;3;14;26;21;19;7;9;1;5920460
1;5920460;6;20;24;10;25;22;13;17;23;11;5;16;15;1;12;18;4;8;2;3;14;26;21;19;7;9
6;20;24;10;25;22;18;17;23;11;5;16;15;1;12;13;4;8;2;3;14;26;21;19;7;9;1;5929175
1;5929175;6;20;24;10;25;22;18;17;23;11;5;16;15;1;12;13;4;8;2;3;14;26;21;19;7;9
6;20;24;10;21;22;18;17;23;11;5;16;15;1;12;13;4;8;2;3;14;26;25;19;7;9;1;5921306
1;5921306;6;20;24;10;21;22;18;17;23;11;5;16;15;1;12;13;4;8;2;3;14;26;25;19;7;9
6;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;4;8;2;3;13;26;25;19;7;9;1;5816115
1;5816115;6;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;4;8;2;3;13;26;25;19;7;9
13;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;4;8;2;3;6;26;25;19;7;9;1;5820015
1;5820015;13;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;4;8;2;3;6;26;25;19;7;9
13;20;24;10;21;22;18;17;23;11;5;16;15;1;12;14;25;8;2;3;6;26;4;19;7;9;1;5790783
