"X1";"X6037305";"X12";"X9";"X2";"X16";"X8";"X15";"X20";"X3";"X13";"X23";"X4";"X26";"X11";"X18";"X17";"X22";"X1.1";"X7";"X10";"X19";"X5";"X24";"X21";"X6";"X25";"X14"
1;6037305;12;9;2;16;8;15;20;3;13;23;4;26;11;18;17;22;1;7;10;19;5;24;21;6;25;14
12;9;2;16;8;25;20;3;13;23;4;26;11;18;17;22;1;7;10;19;5;24;21;6;15;14;1;6029779
1;6029779;12;9;2;16;8;25;20;3;13;23;4;26;11;18;17;22;1;7;10;19;5;24;21;6;15;14
12;9;2;16;8;25;20;4;13;23;3;26;11;18;17;22;1;7;10;19;5;24;21;6;15;14;1;6026293
1;6026293;12;9;2;16;8;25;20;4;13;23;3;26;11;18;17;22;1;7;10;19;5;24;21;6;15;14
12;9;2;16;8;25;20;4;13;23;3;26;11;18;17;22;1;7;10;21;5;24;19;6;15;14;1;6016141
1;6016141;12;9;2;16;8;25;20;4;13;23;3;26;11;18;17;22;1;7;10;21;5;24;19;6;15;14
12;9;2;18;8;25;20;4;13;23;3;26;11;16;17;22;1;7;10;21;5;24;19;6;15;14;1;6095218
1;6095218;12;9;2;18;8;25;20;4;13;23;3;26;11;16;17;22;1;7;10;21;5;24;19;6;15;14
12;9;2;18;8;25;22;4;13;23;3;26;11;16;17;20;1;7;10;21;5;24;19;6;15;14;1;6082308
1;6082308;12;9;2;18;8;25;22;4;13;23;3;26;11;16;17;20;1;7;10;21;5;24;19;6;15;14
12;9;2;18;8;25;22;4;13;19;3;26;11;16;17;20;1;7;10;21;5;24;23;6;15;14;1;6035800
1;6035800;12;9;2;18;8;25;22;4;13;19;3;26;11;16;17;20;1;7;10;21;5;24;23;6;15;14
12;9;2;18;8;25;22;13;4;19;3;26;11;16;17;20;1;7;10;21;5;24;23;6;15;14;1;6035700
1;6035700;12;9;2;18;8;25;22;13;4;19;3;26;11;16;17;20;1;7;10;21;5;24;23;6;15;14
12;9;2;18;8;25;22;13;4;19;3;26;11;16;21;20;1;7;10;17;5;24;23;6;15;14;1;6019763
