"X1";"X5733534";"X1.1";"X21";"X24";"X5";"X6";"X26";"X8";"X15";"X19";"X11";"X17";"X12";"X18";"X3";"X7";"X20";"X14";"X9";"X2";"X10";"X22";"X16";"X23";"X13";"X25";"X4"
1;5733534;1;21;24;5;6;26;8;15;19;11;17;12;18;3;7;20;14;9;2;10;22;16;23;13;25;4
1;21;24;5;22;26;8;15;19;11;17;12;18;3;7;20;14;9;2;10;6;16;23;13;25;4;1;5745233
1;5745233;1;21;24;5;22;26;8;15;19;11;17;12;18;3;7;20;14;9;2;10;6;16;23;13;25;4
1;21;24;2;22;26;8;15;19;11;17;12;18;3;7;20;14;9;5;10;6;16;23;13;25;4;1;5667739
1;5667739;1;21;24;2;22;26;8;15;19;11;17;12;18;3;7;20;14;9;5;10;6;16;23;13;25;4
1;13;24;2;22;26;8;15;19;11;17;12;18;3;7;20;14;9;5;10;6;16;23;21;25;4;1;5674287
1;5674287;1;13;24;2;22;26;8;15;19;11;17;12;18;3;7;20;14;9;5;10;6;16;23;21;25;4
1;13;24;2;22;26;8;15;19;11;17;12;3;18;7;20;14;9;5;10;6;16;23;21;25;4;1;5677567
1;5677567;1;13;24;2;22;26;8;15;19;11;17;12;3;18;7;20;14;9;5;10;6;16;23;21;25;4
1;13;24;2;22;26;20;15;19;11;17;12;3;18;7;8;14;9;5;10;6;16;23;21;25;4;1;5672790
1;5672790;1;13;24;2;22;26;20;15;19;11;17;12;3;18;7;8;14;9;5;10;6;16;23;21;25;4
1;13;24;2;22;26;20;15;11;19;17;12;3;18;7;8;14;9;5;10;6;16;23;21;25;4;1;5659910
1;5659910;1;13;24;2;22;26;20;15;11;19;17;12;3;18;7;8;14;9;5;10;6;16;23;21;25;4
1;13;24;2;22;26;20;15;11;19;17;16;3;18;7;8;14;9;5;10;6;12;23;21;25;4;1;5682238
1;5682238;1;13;24;2;22;26;20;15;11;19;17;16;3;18;7;8;14;9;5;10;6;12;23;21;25;4
1;13;24;2;22;26;20;15;4;19;17;16;3;18;7;8;14;9;5;10;6;12;23;21;25;11;1;5724709
1;5724709;1;13;24;2;22;26;20;15;4;19;17;16;3;18;7;8;14;9;5;10;6;12;23;21;25;11
1;13;24;2;22;26;20;15;4;19;17;16;3;18;7;9;14;8;5;10;6;12;23;21;25;11;1;5819546
1;5819546;1;13;24;2;22;26;20;15;4;19;17;16;3;18;7;9;14;8;5;10;6;12;23;21;25;11
1;13;24;2;17;26;20;15;4;19;22;16;3;18;7;9;14;8;5;10;6;12;23;21;25;11;1;5819079
1;5819079;1;13;24;2;17;26;20;15;4;19;22;16;3;18;7;9;14;8;5;10;6;12;23;21;25;11
1;13;24;2;17;26;20;15;4;19;22;16;18;3;7;9;14;8;5;10;6;12;23;21;25;11;1;5810534
1;5810534;1;13;24;2;17;26;20;15;4;19;22;16;18;3;7;9;14;8;5;10;6;12;23;21;25;11
1;13;24;2;17;22;20;15;4;19;26;16;18;3;7;9;14;8;5;10;6;12;23;21;25;11;1;5820595
1;5820595;1;13;24;2;17;22;20;15;4;19;26;16;18;3;7;9;14;8;5;10;6;12;23;21;25;11
1;13;24;2;17;22;20;15;4;19;26;16;18;5;7;9;14;8;3;10;6;12;23;21;25;11;1;5809540
1;5809540;1;13;24;2;17;22;20;15;4;19;26;16;18;5;7;9;14;8;3;10;6;12;23;21;25;11
1;13;24;2;17;22;20;15;4;19;26;16;18;5;7;9;14;8;3;21;6;12;23;10;25;11;1;5815851
1;5815851;1;13;24;2;17;22;20;15;4;19;26;16;18;5;7;9;14;8;3;21;6;12;23;10;25;11
1;13;24;2;17;22;20;15;4;19;26;12;18;5;7;9;14;8;3;21;6;16;23;10;25;11;1;5784848
1;5784848;1;13;24;2;17;22;20;15;4;19;26;12;18;5;7;9;14;8;3;21;6;16;23;10;25;11
1;13;24;8;17;22;20;15;4;19;26;12;18;5;7;9;14;2;3;21;6;16;23;10;25;11;1;5780136
1;5780136;1;13;24;8;17;22;20;15;4;19;26;12;18;5;7;9;14;2;3;21;6;16;23;10;25;11
1;13;24;8;17;22;20;15;4;19;26;12;18;5;7;9;14;2;11;21;6;16;23;10;25;3;1;5810470
1;5810470;1;13;24;8;17;22;20;15;4;19;26;12;18;5;7;9;14;2;11;21;6;16;23;10;25;3
1;13;24;8;17;22;20;15;4;19;26;7;18;5;12;9;14;2;11;21;6;16;23;10;25;3;1;5811399
1;5811399;1;13;24;8;17;22;20;15;4;19;26;7;18;5;12;9;14;2;11;21;6;16;23;10;25;3
1;13;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;2;11;21;6;16;23;10;25;3;1;5820899
1;5820899;1;13;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;2;11;21;6;16;23;10;25;3
1;2;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;13;11;21;6;16;23;10;25;3;1;5824622
2;5824622;1;2;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;13;11;21;6;16;23;10;25;3
1;2;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;10;11;21;6;16;23;13;25;3;2;5837636
2;5837636;1;2;24;8;17;22;20;15;4;19;26;7;18;14;12;9;5;10;11;21;6;16;23;13;25;3
1;2;24;8;17;22;20;23;4;19;26;7;18;14;12;9;5;10;11;21;6;16;15;13;25;3;2;5856312
2;5856312;1;2;24;8;17;22;20;23;4;19;26;7;18;14;12;9;5;10;11;21;6;16;15;13;25;3
