"X1";"X6075031";"X8";"X9";"X7";"X16";"X14";"X11";"X10";"X1.1";"X26";"X12";"X24";"X13";"X15";"X2";"X5";"X19";"X18";"X23";"X17";"X6";"X25";"X3";"X4";"X21";"X22";"X20"
1;6075031;8;9;7;16;14;11;10;1;26;12;24;13;15;2;5;19;18;23;17;6;25;3;4;21;22;20
14;9;7;16;8;11;10;1;26;12;24;13;15;2;5;19;18;23;17;6;25;3;4;21;22;20;1;6027900
1;6027900;14;9;7;16;8;11;10;1;26;12;24;13;15;2;5;19;18;23;17;6;25;3;4;21;22;20
14;9;7;16;8;11;10;1;26;12;24;13;15;2;5;19;18;23;17;6;3;25;4;21;22;20;1;6039748
1;6039748;14;9;7;16;8;11;10;1;26;12;24;13;15;2;5;19;18;23;17;6;3;25;4;21;22;20
14;9;7;16;8;11;10;20;26;12;24;13;15;2;5;19;18;23;17;6;3;25;4;21;22;1;1;6045471
1;6045471;14;9;7;16;8;11;10;20;26;12;24;13;15;2;5;19;18;23;17;6;3;25;4;21;22;1
14;9;2;16;8;11;10;20;26;12;24;13;15;7;5;19;18;23;17;6;3;25;4;21;22;1;1;6027863
1;6027863;14;9;2;16;8;11;10;20;26;12;24;13;15;7;5;19;18;23;17;6;3;25;4;21;22;1
14;9;2;16;8;11;10;20;26;12;24;13;15;4;5;19;18;23;17;6;3;25;7;21;22;1;1;6027094
1;6027094;14;9;2;16;8;11;10;20;26;12;24;13;15;4;5;19;18;23;17;6;3;25;7;21;22;1
14;9;2;16;8;11;10;20;18;12;24;13;15;4;5;19;26;23;17;6;3;25;7;21;22;1;1;6025674
1;6025674;14;9;2;16;8;11;10;20;18;12;24;13;15;4;5;19;26;23;17;6;3;25;7;21;22;1
14;9;2;16;8;11;10;25;18;12;24;13;15;4;5;19;26;23;17;6;3;20;7;21;22;1;1;6086044
1;6086044;14;9;2;16;8;11;10;25;18;12;24;13;15;4;5;19;26;23;17;6;3;20;7;21;22;1
14;9;2;16;8;11;15;25;18;12;24;13;10;4;5;19;26;23;17;6;3;20;7;21;22;1;1;6109352
1;6109352;14;9;2;16;8;11;15;25;18;12;24;13;10;4;5;19;26;23;17;6;3;20;7;21;22;1
14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;23;11;6;3;20;7;21;22;1;1;6102496
1;6102496;14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;23;11;6;3;20;7;21;22;1
14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;20;11;6;3;23;7;21;22;1;1;6017420
1;6017420;14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;20;11;6;3;23;7;21;22;1
14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;11;20;6;3;23;7;21;22;1;1;6025260
1;6025260;14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;11;20;6;3;23;7;21;22;1
14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;11;7;6;3;23;20;21;22;1;1;6059690
1;6059690;14;9;2;16;8;17;15;25;18;12;24;13;10;4;5;19;26;11;7;6;3;23;20;21;22;1
14;9;2;16;8;17;15;25;26;12;24;13;10;4;5;19;18;11;7;6;3;23;20;21;22;1;1;6056405
1;6056405;14;9;2;16;8;17;15;25;26;12;24;13;10;4;5;19;18;11;7;6;3;23;20;21;22;1
14;9;2;16;10;17;15;25;26;12;24;13;8;4;5;19;18;11;7;6;3;23;20;21;22;1;1;5988556
1;5988556;14;9;2;16;10;17;15;25;26;12;24;13;8;4;5;19;18;11;7;6;3;23;20;21;22;1
14;10;2;16;9;17;15;25;26;12;24;13;8;4;5;19;18;11;7;6;3;23;20;21;22;1;1;6006866
1;6006866;14;10;2;16;9;17;15;25;26;12;24;13;8;4;5;19;18;11;7;6;3;23;20;21;22;1
14;10;2;16;9;17;15;25;26;12;24;21;8;4;5;19;18;11;7;6;3;23;20;13;22;1;1;6020674
1;6020674;14;10;2;16;9;17;15;25;26;12;24;21;8;4;5;19;18;11;7;6;3;23;20;13;22;1
14;10;20;16;9;17;15;25;26;12;24;21;8;4;5;19;18;11;7;6;3;23;2;13;22;1;1;5982178
1;5982178;14;10;20;16;9;17;15;25;26;12;24;21;8;4;5;19;18;11;7;6;3;23;2;13;22;1
14;10;20;16;9;17;15;25;26;12;24;21;1;4;5;19;18;11;7;6;3;23;2;13;22;8;1;5969054
1;5969054;14;10;20;16;9;17;15;25;26;12;24;21;1;4;5;19;18;11;7;6;3;23;2;13;22;8
14;10;20;16;9;19;15;25;26;12;24;21;1;4;5;17;18;11;7;6;3;23;2;13;22;8;1;5971645
1;5971645;14;10;20;16;9;19;15;25;26;12;24;21;1;4;5;17;18;11;7;6;3;23;2;13;22;8
14;10;20;16;9;19;15;25;26;12;24;21;1;4;5;17;18;11;7;6;13;23;2;3;22;8;1;5969636
2;5969636;14;10;20;16;9;19;15;25;26;12;24;21;1;4;5;17;18;11;7;6;13;23;2;3;22;8
14;10;20;16;9;19;15;25;26;12;24;21;1;5;4;17;18;11;7;6;13;23;2;3;22;8;2;5885698
2;5885698;14;10;20;16;9;19;15;25;26;12;24;21;1;5;4;17;18;11;7;6;13;23;2;3;22;8
