"X7L";"X8L";"X26L";"X12L";"X11L";"X21L";"X18L";"X22L";"X25L";"X16L";"X23L";"X10L";"X9L";"X15L";"X3L";"X1L";"X19L";"X4L";"X6L";"X20L";"X2L";"X5L";"X24L";"X17L";"X13L";"X14L"
7;8;26;12;11;21;18;22;25;16;23;10;9;15;3;1;19;4;6;20;2;5;24;17;13;14
7;8;26;12;11;21;18;22;25;16;23;10;9;15;3;1;19;4;6;20;24;5;2;17;13;14
7;8;26;12;11;21;18;22;25;16;23;10;9;15;3;1;19;4;6;20;24;5;2;17;13;14
7;8;26;20;11;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;14
7;8;26;20;11;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;14
7;8;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;11
7;8;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;11
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;11
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;12;24;5;2;17;13;11
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;11;24;5;2;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;1;19;4;6;11;24;5;2;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;11;19;4;6;1;24;5;2;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;11;19;4;6;1;24;5;2;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;2;19;4;6;1;24;5;11;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;9;15;3;2;19;4;6;1;24;5;11;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;6;1;24;5;11;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;6;1;24;5;11;17;13;12
8;7;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;17;1;24;5;11;6;13;12
8;7;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;17;1;24;5;11;6;13;12
8;17;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;7;1;24;5;11;6;13;12
8;17;26;20;14;21;18;22;25;16;23;10;19;15;3;2;9;4;7;1;24;5;11;6;13;12
8;17;26;20;14;21;18;22;25;16;23;11;19;15;3;2;9;4;7;1;24;5;10;6;13;12
8;17;26;20;14;21;18;22;25;16;23;11;19;15;3;2;9;4;7;1;24;5;10;6;13;12
8;17;26;20;14;3;18;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;13;12
8;17;26;20;14;3;18;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;13;12
8;17;26;20;14;18;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;13;12
8;17;26;20;14;18;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;13;12
13;17;26;20;14;18;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
13;17;26;20;14;18;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
18;17;26;20;14;13;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
18;17;26;20;14;13;3;22;25;16;23;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
18;17;23;20;14;13;3;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
18;17;23;20;14;13;3;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;10;6;8;12
18;17;23;20;14;13;10;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;3;6;8;12
18;17;23;20;14;13;10;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;3;6;8;12
18;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;3;6;8;12
18;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;9;4;7;1;24;5;3;6;8;12
9;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;18;4;7;1;24;5;3;6;8;12
9;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;18;4;7;1;24;5;3;6;8;12
9;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;18;4;7;1;24;12;3;6;8;5
9;23;17;20;14;13;10;22;25;16;26;11;19;15;21;2;18;4;7;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;16;26;11;19;15;21;2;18;4;7;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;16;26;11;19;15;21;2;18;4;7;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;16;26;7;19;15;21;2;18;4;11;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;16;26;7;19;15;21;2;18;4;11;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;4;26;7;19;15;21;2;18;16;11;1;24;12;3;6;8;5
9;23;17;25;14;13;10;22;20;4;26;7;19;15;21;2;18;16;11;1;24;12;3;6;8;5
9;2;17;25;14;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;12;3;6;8;5
9;2;17;25;14;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;12;3;6;8;5
9;2;17;12;14;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;25;3;6;8;5
9;2;17;12;14;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;25;3;6;8;5
9;2;17;12;8;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;25;3;6;14;5
9;2;17;12;8;13;10;22;20;4;26;7;19;15;21;23;18;16;11;1;24;25;3;6;14;5
9;2;17;12;8;13;15;22;20;4;26;7;19;10;21;23;18;16;11;1;24;25;3;6;14;5
9;2;17;12;8;13;15;22;20;4;26;7;19;10;21;23;18;16;11;1;24;25;3;6;14;5
9;2;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;16;11;1;24;25;3;6;14;5
9;2;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;16;11;1;24;25;3;6;14;5
11;2;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;16;9;1;24;25;3;6;14;5
11;2;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;16;9;1;24;25;3;6;14;5
11;16;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;2;9;1;24;25;3;6;14;5
11;16;17;12;8;13;19;22;20;4;26;7;15;10;21;23;18;2;9;1;24;25;3;6;14;5
11;16;17;12;8;13;19;22;20;4;26;7;1;10;21;23;18;2;9;15;24;25;3;6;14;5
11;16;17;12;8;13;19;22;20;4;26;7;1;10;21;23;18;2;9;15;24;25;3;6;14;5
11;15;17;12;8;13;19;22;20;4;26;7;1;10;21;23;18;2;9;16;24;25;3;6;14;5
11;15;17;12;8;13;19;22;20;4;26;7;1;10;21;23;18;2;9;16;24;25;3;6;14;5
11;15;17;12;8;13;19;22;20;4;3;7;1;10;21;23;18;2;9;16;24;25;26;6;14;5
11;15;17;12;8;13;19;22;20;4;3;7;1;10;21;23;18;2;9;16;24;25;26;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;1;10;21;23;18;2;9;16;24;25;4;6;14;5
