"X1";"X6049645";"X14";"X5";"X22";"X12";"X6";"X24";"X18";"X3";"X13";"X21";"X15";"X20";"X8";"X17";"X10";"X19";"X7";"X25";"X23";"X9";"X16";"X11";"X26";"X4";"X2";"X1.1"
1;6049645;14;5;22;12;6;24;18;3;13;21;15;20;8;17;10;19;7;25;23;9;16;11;26;4;2;1
14;5;22;12;6;24;18;3;13;21;16;20;8;17;10;19;7;25;23;9;15;11;26;4;2;1;1;6078112
1;6078112;14;5;22;12;6;24;18;3;13;21;16;20;8;17;10;19;7;25;23;9;15;11;26;4;2;1
14;5;22;12;20;24;18;3;13;21;16;6;8;17;10;19;7;25;23;9;15;11;26;4;2;1;1;6118361
1;6118361;14;5;22;12;20;24;18;3;13;21;16;6;8;17;10;19;7;25;23;9;15;11;26;4;2;1
14;5;22;12;9;24;18;3;13;21;16;6;8;17;10;19;7;25;23;20;15;11;26;4;2;1;1;6087833
1;6087833;14;5;22;12;9;24;18;3;13;21;16;6;8;17;10;19;7;25;23;20;15;11;26;4;2;1
14;5;22;12;9;24;18;3;25;21;16;6;8;17;10;19;7;13;23;20;15;11;26;4;2;1;1;6077185
1;6077185;14;5;22;12;9;24;18;3;25;21;16;6;8;17;10;19;7;13;23;20;15;11;26;4;2;1
14;5;22;12;9;24;18;3;11;21;16;6;8;17;10;19;7;13;23;20;15;25;26;4;2;1;1;6068573
1;6068573;14;5;22;12;9;24;18;3;11;21;16;6;8;17;10;19;7;13;23;20;15;25;26;4;2;1
14;5;22;12;9;24;18;3;11;21;16;6;8;17;10;19;7;13;23;20;15;25;26;2;4;1;1;5992169
1;5992169;14;5;22;12;9;24;18;3;11;21;16;6;8;17;10;19;7;13;23;20;15;25;26;2;4;1
14;5;22;12;9;24;18;3;11;21;16;6;8;2;10;19;7;13;23;20;15;25;26;17;4;1;1;5975647
1;5975647;14;5;22;12;9;24;18;3;11;21;16;6;8;2;10;19;7;13;23;20;15;25;26;17;4;1
14;5;22;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;23;20;15;12;26;17;4;1;1;5988738
1;5988738;14;5;22;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;23;20;15;12;26;17;4;1
14;5;22;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;26;20;15;12;23;17;4;1;1;5995924
1;5995924;14;5;22;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;26;20;15;12;23;17;4;1
14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;22;20;15;12;23;17;4;1;1;5989127
1;5989127;14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;19;7;13;22;20;15;12;23;17;4;1
14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;23;7;13;22;20;15;12;19;17;4;1;1;6076779
1;6076779;14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;23;7;13;22;20;15;12;19;17;4;1
14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;23;7;13;22;20;15;12;19;17;1;4;1;6076779
1;6076779;14;5;26;25;9;24;18;3;11;21;16;6;8;2;10;23;7;13;22;20;15;12;19;17;1;4
14;5;26;25;9;24;18;3;11;21;16;6;8;12;10;23;7;13;22;20;15;2;19;17;1;4;1;6044585
1;6044585;14;5;26;25;9;24;18;3;11;21;16;6;8;12;10;23;7;13;22;20;15;2;19;17;1;4
14;5;26;25;9;24;18;3;11;21;16;6;8;7;10;23;12;13;22;20;15;2;19;17;1;4;1;6054109
1;6054109;14;5;26;25;9;24;18;3;11;21;16;6;8;7;10;23;12;13;22;20;15;2;19;17;1;4
14;5;26;7;9;24;18;3;11;21;16;6;8;25;10;23;12;13;22;20;15;2;19;17;1;4;1;6084207
1;6084207;14;5;26;7;9;24;18;3;11;21;16;6;8;25;10;23;12;13;22;20;15;2;19;17;1;4
14;5;26;7;9;24;6;3;11;21;16;18;8;25;10;23;12;13;22;20;15;2;19;17;1;4;1;6170667
1;6170667;14;5;26;7;9;24;6;3;11;21;16;18;8;25;10;23;12;13;22;20;15;2;19;17;1;4
14;5;26;7;9;24;6;3;11;21;16;18;25;8;10;23;12;13;22;20;15;2;19;17;1;4;1;6170782
1;6170782;14;5;26;7;9;24;6;3;11;21;16;18;25;8;10;23;12;13;22;20;15;2;19;17;1;4
14;5;26;7;9;24;6;3;11;21;16;18;25;8;10;23;12;13;22;20;15;19;2;17;1;4;1;6146797
1;6146797;14;5;26;7;9;24;6;3;11;21;16;18;25;8;10;23;12;13;22;20;15;19;2;17;1;4
14;5;26;7;9;24;6;3;11;21;16;18;19;8;10;23;12;13;22;20;15;25;2;17;1;4;1;6061745
1;6061745;14;5;26;7;9;24;6;3;11;21;16;18;19;8;10;23;12;13;22;20;15;25;2;17;1;4
14;5;26;6;9;24;7;3;11;21;16;18;19;8;10;23;12;13;22;20;15;25;2;17;1;4;1;6024155
2;6024155;14;5;26;6;9;24;7;3;11;21;16;18;19;8;10;23;12;13;22;20;15;25;2;17;1;4
14;5;26;6;13;24;7;3;11;21;16;18;19;8;10;23;12;9;22;20;15;25;2;17;1;4;2;5912791
2;5912791;14;5;26;6;13;24;7;3;11;21;16;18;19;8;10;23;12;9;22;20;15;25;2;17;1;4
14;5;26;10;13;24;7;3;11;21;16;18;19;8;6;23;12;9;22;20;15;25;2;17;1;4;2;5912650
2;5912650;14;5;26;10;13;24;7;3;11;21;16;18;19;8;6;23;12;9;22;20;15;25;2;17;1;4
14;5;26;10;13;24;7;3;2;21;16;18;19;8;6;23;12;9;22;20;15;25;11;17;1;4;2;5902949
2;5902949;14;5;26;10;13;24;7;3;2;21;16;18;19;8;6;23;12;9;22;20;15;25;11;17;1;4
14;5;26;10;13;24;7;3;2;21;16;18;19;8;6;23;12;9;22;4;15;25;11;17;1;20;2;5908308
2;5908308;14;5;26;10;13;24;7;3;2;21;16;18;19;8;6;23;12;9;22;4;15;25;11;17;1;20
14;5;16;10;13;24;7;3;2;21;26;18;19;8;6;23;12;9;22;4;15;25;11;17;1;20;2;5912404
2;5912404;14;5;16;10;13;24;7;3;2;21;26;18;19;8;6;23;12;9;22;4;15;25;11;17;1;20
14;5;16;10;13;24;7;3;2;23;26;18;19;8;6;21;12;9;22;4;15;25;11;17;1;20;2;5913911
2;5913911;14;5;16;10;13;24;7;3;2;23;26;18;19;8;6;21;12;9;22;4;15;25;11;17;1;20
14;5;16;10;13;24;7;3;2;1;26;18;19;8;6;21;12;9;22;4;15;25;11;17;23;20;2;5890344
2;5890344;14;5;16;10;13;24;7;3;2;1;26;18;19;8;6;21;12;9;22;4;15;25;11;17;23;20
21;5;16;10;13;24;7;3;2;1;26;18;19;8;6;14;12;9;22;4;15;25;11;17;23;20;2;5821321
2;5821321;21;5;16;10;13;24;7;3;2;1;26;18;19;8;6;14;12;9;22;4;15;25;11;17;23;20
21;5;16;10;6;24;7;3;2;1;26;18;19;8;13;14;12;9;22;4;15;25;11;17;23;20;2;5821463
2;5821463;21;5;16;10;6;24;7;3;2;1;26;18;19;8;13;14;12;9;22;4;15;25;11;17;23;20
21;5;16;10;6;24;7;3;2;1;26;18;19;22;13;14;12;9;8;4;15;25;11;17;23;20;2;5840296
