"X1";"X5961385";"X11";"X24";"X20";"X22";"X8";"X25";"X14";"X19";"X21";"X7";"X26";"X17";"X3";"X4";"X6";"X10";"X23";"X5";"X15";"X16";"X13";"X12";"X9";"X2";"X1.1";"X18"
1;5961385;11;24;20;22;8;25;14;19;21;7;26;17;3;4;6;10;23;5;15;16;13;12;9;2;1;18
11;24;20;22;8;25;14;19;21;7;26;17;3;4;5;10;23;6;15;16;13;12;9;2;1;18;1;6028530
1;6028530;11;24;20;22;8;25;14;19;21;7;26;17;3;4;5;10;23;6;15;16;13;12;9;2;1;18
2;24;20;22;8;25;14;19;21;7;26;17;3;4;5;10;23;6;15;16;13;12;9;11;1;18;1;6029339
1;6029339;2;24;20;22;8;25;14;19;21;7;26;17;3;4;5;10;23;6;15;16;13;12;9;11;1;18
2;24;20;21;8;25;14;19;22;7;26;17;3;4;5;10;23;6;15;16;13;12;9;11;1;18;1;6010059
1;6010059;2;24;20;21;8;25;14;19;22;7;26;17;3;4;5;10;23;6;15;16;13;12;9;11;1;18
2;24;20;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;13;12;9;11;1;18;1;5986109
1;5986109;2;24;20;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;13;12;9;11;1;18
2;9;20;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;13;12;24;11;1;18;1;5951169
1;5951169;2;9;20;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;13;12;24;11;1;18
2;9;13;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;20;12;24;11;1;18;1;5966429
1;5966429;2;9;13;21;8;25;14;19;22;7;26;17;10;4;5;3;23;6;15;16;20;12;24;11;1;18
2;9;13;21;8;25;14;19;22;7;26;17;10;6;5;3;23;4;15;16;20;12;24;11;1;18;1;5935252
1;5935252;2;9;13;21;8;25;14;19;22;7;26;17;10;6;5;3;23;4;15;16;20;12;24;11;1;18
2;9;13;21;8;25;14;19;22;7;26;17;11;6;5;3;23;4;15;16;20;12;24;10;1;18;1;5925162
1;5925162;2;9;13;21;8;25;14;19;22;7;26;17;11;6;5;3;23;4;15;16;20;12;24;10;1;18
2;9;13;21;8;25;14;19;22;7;26;17;11;6;5;3;16;4;15;23;20;12;24;10;1;18;1;5943362
1;5943362;2;9;13;21;8;25;14;19;22;7;26;17;11;6;5;3;16;4;15;23;20;12;24;10;1;18
9;2;13;21;8;25;14;19;22;7;26;17;11;6;5;3;16;4;15;23;20;12;24;10;1;18;1;5930689
1;5930689;9;2;13;21;8;25;14;19;22;7;26;17;11;6;5;3;16;4;15;23;20;12;24;10;1;18
6;2;13;21;8;25;14;19;22;7;26;17;11;9;5;3;16;4;15;23;20;12;24;10;1;18;1;5879709
1;5879709;6;2;13;21;8;25;14;19;22;7;26;17;11;9;5;3;16;4;15;23;20;12;24;10;1;18
6;2;13;21;8;25;14;19;22;7;26;17;18;9;5;3;16;4;15;23;20;12;24;10;1;11;1;5869194
1;5869194;6;2;13;21;8;25;14;19;22;7;26;17;18;9;5;3;16;4;15;23;20;12;24;10;1;11
6;2;13;21;8;25;4;19;22;7;26;17;18;9;5;3;16;14;15;23;20;12;24;10;1;11;1;5843626
1;5843626;6;2;13;21;8;25;4;19;22;7;26;17;18;9;5;3;16;14;15;23;20;12;24;10;1;11
6;2;13;21;8;25;4;19;22;1;26;17;18;9;5;3;16;14;15;23;20;12;24;10;7;11;1;5833818
1;5833818;6;2;13;21;8;25;4;19;22;1;26;17;18;9;5;3;16;14;15;23;20;12;24;10;7;11
6;2;13;18;8;25;4;19;22;1;26;17;21;9;5;3;16;14;15;23;20;12;24;10;7;11;1;5912151
1;5912151;6;2;13;18;8;25;4;19;22;1;26;17;21;9;5;3;16;14;15;23;20;12;24;10;7;11
6;2;13;26;8;25;4;19;22;1;18;17;21;9;5;3;16;14;15;23;20;12;24;10;7;11;1;5825202
1;5825202;6;2;13;26;8;25;4;19;22;1;18;17;21;9;5;3;16;14;15;23;20;12;24;10;7;11
6;2;3;26;8;25;4;19;22;1;18;17;21;9;5;13;16;14;15;23;20;12;24;10;7;11;1;5846048
1;5846048;6;2;3;26;8;25;4;19;22;1;18;17;21;9;5;13;16;14;15;23;20;12;24;10;7;11
14;2;3;26;8;25;4;19;22;1;18;17;21;9;5;13;16;6;15;23;20;12;24;10;7;11;1;5923096
1;5923096;14;2;3;26;8;25;4;19;22;1;18;17;21;9;5;13;16;6;15;23;20;12;24;10;7;11
14;2;3;26;8;25;4;19;16;1;18;17;21;9;5;13;22;6;15;23;20;12;24;10;7;11;1;5919667
1;5919667;14;2;3;26;8;25;4;19;16;1;18;17;21;9;5;13;22;6;15;23;20;12;24;10;7;11
14;2;3;10;8;25;4;19;16;1;18;17;21;9;5;13;22;6;15;23;20;12;24;26;7;11;1;5920919
2;5920919;14;2;3;10;8;25;4;19;16;1;18;17;21;9;5;13;22;6;15;23;20;12;24;26;7;11
14;2;3;10;8;25;4;19;16;1;22;17;21;9;5;13;18;6;15;23;20;12;24;26;7;11;2;5918930
2;5918930;14;2;3;10;8;25;4;19;16;1;22;17;21;9;5;13;18;6;15;23;20;12;24;26;7;11
14;2;3;10;8;25;4;19;16;1;9;17;21;22;5;13;18;6;15;23;20;12;24;26;7;11;2;5902987
