"X1";"X5833072";"X12";"X4";"X6";"X1.1";"X22";"X14";"X19";"X10";"X13";"X21";"X2";"X5";"X18";"X20";"X26";"X25";"X11";"X15";"X7";"X17";"X23";"X24";"X9";"X8";"X16";"X3"
1;5833072;12;4;6;1;22;14;19;10;13;21;2;5;18;20;26;25;11;15;7;17;23;24;9;8;16;3
12;4;6;1;22;14;19;10;13;21;2;5;18;20;26;25;11;16;7;17;23;24;9;8;15;3;1;5864523
1;5864523;12;4;6;1;22;14;19;10;13;21;2;5;18;20;26;25;11;16;7;17;23;24;9;8;15;3
12;4;6;1;10;14;19;22;13;21;2;5;18;20;26;25;11;16;7;17;23;24;9;8;15;3;1;5871080
1;5871080;12;4;6;1;10;14;19;22;13;21;2;5;18;20;26;25;11;16;7;17;23;24;9;8;15;3
12;23;6;1;10;14;19;22;13;21;2;5;18;20;26;25;11;16;7;17;4;24;9;8;15;3;1;5859845
1;5859845;12;23;6;1;10;14;19;22;13;21;2;5;18;20;26;25;11;16;7;17;4;24;9;8;15;3
12;23;6;1;10;14;19;22;13;21;2;9;18;20;26;25;11;16;7;17;4;24;5;8;15;3;1;5949629
1;5949629;12;23;6;1;10;14;19;22;13;21;2;9;18;20;26;25;11;16;7;17;4;24;5;8;15;3
12;23;6;1;10;14;19;3;13;21;2;9;18;20;26;25;11;16;7;17;4;24;5;8;15;22;1;5920955
1;5920955;12;23;6;1;10;14;19;3;13;21;2;9;18;20;26;25;11;16;7;17;4;24;5;8;15;22
12;23;6;1;10;14;19;3;13;21;2;9;18;20;16;25;11;26;7;17;4;24;5;8;15;22;1;5917501
1;5917501;12;23;6;1;10;14;19;3;13;21;2;9;18;20;16;25;11;26;7;17;4;24;5;8;15;22
12;23;6;1;10;14;19;3;13;11;2;9;18;20;16;25;21;26;7;17;4;24;5;8;15;22;1;5910561
1;5910561;12;23;6;1;10;14;19;3;13;11;2;9;18;20;16;25;21;26;7;17;4;24;5;8;15;22
24;23;6;1;10;14;19;3;13;11;2;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22;1;5929512
1;5929512;24;23;6;1;10;14;19;3;13;11;2;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22
24;23;6;1;3;14;19;10;13;11;2;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22;1;6023849
1;6023849;24;23;6;1;3;14;19;10;13;11;2;9;18;20;16;25;21;26;7;17;4;12;5;8;15;22
