"X1";"X5975226";"X5";"X23";"X1.1";"X12";"X16";"X25";"X3";"X11";"X14";"X9";"X17";"X22";"X2";"X8";"X4";"X13";"X15";"X6";"X26";"X20";"X7";"X24";"X19";"X21";"X10";"X18"
1;5975226;5;23;1;12;16;25;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;21;10;18
5;23;1;12;16;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;18;1;5973325
1;5973325;5;23;1;12;16;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;18
5;23;1;16;12;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;18;1;5973565
1;5973565;5;23;1;16;12;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;18
5;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;12;1;6038216
1;6038216;5;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;24;19;25;10;12
5;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;19;24;25;10;12;1;6037374
1;6037374;5;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;6;26;20;7;19;24;25;10;12
6;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;5;26;20;7;19;24;25;10;12;1;5858781
1;5858781;6;23;1;16;18;21;3;11;14;9;17;22;2;8;4;13;15;5;26;20;7;19;24;25;10;12
6;23;1;16;18;21;15;11;14;9;17;22;2;8;4;13;3;5;26;20;7;19;24;25;10;12;1;5862187
1;5862187;6;23;1;16;18;21;15;11;14;9;17;22;2;8;4;13;3;5;26;20;7;19;24;25;10;12
6;14;1;16;18;21;15;11;23;9;17;22;2;8;4;13;3;5;26;20;7;19;24;25;10;12;1;5833890
1;5833890;6;14;1;16;18;21;15;11;23;9;17;22;2;8;4;13;3;5;26;20;7;19;24;25;10;12
6;14;1;16;18;21;15;11;23;9;17;22;26;8;4;13;3;5;2;20;7;19;24;25;10;12;1;5817595
1;5817595;6;14;1;16;18;21;15;11;23;9;17;22;26;8;4;13;3;5;2;20;7;19;24;25;10;12
6;14;1;16;18;21;15;11;23;5;17;22;26;8;4;13;3;9;2;20;7;19;24;25;10;12;1;5831929
1;5831929;6;14;1;16;18;21;15;11;23;5;17;22;26;8;4;13;3;9;2;20;7;19;24;25;10;12
6;14;1;16;18;21;15;11;23;4;17;22;26;8;5;13;3;9;2;20;7;19;24;25;10;12;1;6010024
1;6010024;6;14;1;16;18;21;15;11;23;4;17;22;26;8;5;13;3;9;2;20;7;19;24;25;10;12
6;12;1;16;18;21;15;11;23;4;17;22;26;8;5;13;3;9;2;20;7;19;24;25;10;14;1;6026126
1;6026126;6;12;1;16;18;21;15;11;23;4;17;22;26;8;5;13;3;9;2;20;7;19;24;25;10;14
6;12;1;16;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;4;7;19;24;25;10;14;1;5958732
1;5958732;6;12;1;16;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;4;7;19;24;25;10;14
6;12;24;16;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;4;7;19;1;25;10;14;1;5996730
1;5996730;6;12;24;16;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;4;7;19;1;25;10;14
6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;7;19;1;25;10;14;1;6017075
1;6017075;6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;7;19;1;25;10;14
6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;7;14;1;25;10;19;1;6088635
1;6088635;6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;7;14;1;25;10;19
6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;10;14;1;25;7;19;1;6040005
1;6040005;6;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;9;2;16;10;14;1;25;7;19
9;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;6;2;16;10;14;1;25;7;19;1;6134604
