"X1";"X6015423";"X10";"X16";"X26";"X23";"X18";"X7";"X21";"X14";"X8";"X25";"X2";"X4";"X17";"X24";"X1.1";"X15";"X19";"X9";"X6";"X11";"X20";"X3";"X22";"X5";"X13";"X12"
1;6015423;10;16;26;23;18;7;21;14;8;25;2;4;17;24;1;15;19;9;6;11;20;3;22;5;13;12
10;16;26;23;18;7;21;22;8;25;2;4;17;24;1;15;19;9;6;11;20;3;14;5;13;12;1;6058723
1;6058723;10;16;26;23;18;7;21;22;8;25;2;4;17;24;1;15;19;9;6;11;20;3;14;5;13;12
10;16;26;23;18;7;21;22;8;25;2;4;17;24;1;15;11;9;6;19;20;3;14;5;13;12;1;6151706
1;6151706;10;16;26;23;18;7;21;22;8;25;2;4;17;24;1;15;11;9;6;19;20;3;14;5;13;12
10;16;26;23;18;7;21;22;8;25;2;4;11;24;1;15;17;9;6;19;20;3;14;5;13;12;1;6161474
1;6161474;10;16;26;23;18;7;21;22;8;25;2;4;11;24;1;15;17;9;6;19;20;3;14;5;13;12
10;16;26;23;18;7;21;22;8;25;6;4;11;24;1;15;17;9;2;19;20;3;14;5;13;12;1;6146577
1;6146577;10;16;26;23;18;7;21;22;8;25;6;4;11;24;1;15;17;9;2;19;20;3;14;5;13;12
10;16;26;23;17;7;21;22;8;25;6;4;11;24;1;15;18;9;2;19;20;3;14;5;13;12;1;5934767
1;5934767;10;16;26;23;17;7;21;22;8;25;6;4;11;24;1;15;18;9;2;19;20;3;14;5;13;12
10;4;26;23;17;7;21;22;8;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;13;12;1;5952659
1;5952659;10;4;26;23;17;7;21;22;8;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;13;12
10;4;26;23;17;7;21;8;22;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;13;12;1;5954659
1;5954659;10;4;26;23;17;7;21;8;22;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;13;12
10;4;26;23;17;7;13;8;22;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;21;12;1;5951079
1;5951079;10;4;26;23;17;7;13;8;22;25;6;16;11;24;1;15;18;9;2;19;20;3;14;5;21;12
