"X1";"X5957337";"X11";"X8";"X17";"X24";"X10";"X23";"X7";"X18";"X21";"X22";"X26";"X1.1";"X4";"X20";"X15";"X12";"X6";"X25";"X9";"X14";"X5";"X2";"X19";"X13";"X16";"X3"
1;5957337;11;8;17;24;10;23;7;18;21;22;26;1;4;20;15;12;6;25;9;14;5;2;19;13;16;3
20;8;17;24;10;23;7;18;21;22;26;1;4;11;15;12;6;25;9;14;5;2;19;13;16;3;1;6001827
1;6001827;20;8;17;24;10;23;7;18;21;22;26;1;4;11;15;12;6;25;9;14;5;2;19;13;16;3
20;8;17;24;10;23;7;18;21;22;26;9;4;11;15;12;6;25;1;14;5;2;19;13;16;3;1;6102751
1;6102751;20;8;17;24;10;23;7;18;21;22;26;9;4;11;15;12;6;25;1;14;5;2;19;13;16;3
20;8;17;24;19;23;7;18;21;22;26;9;4;11;15;12;6;25;1;14;5;2;10;13;16;3;1;6080508
1;6080508;20;8;17;24;19;23;7;18;21;22;26;9;4;11;15;12;6;25;1;14;5;2;10;13;16;3
20;4;17;24;19;23;7;18;21;22;26;9;8;11;15;12;6;25;1;14;5;2;10;13;16;3;1;6129455
1;6129455;20;4;17;24;19;23;7;18;21;22;26;9;8;11;15;12;6;25;1;14;5;2;10;13;16;3
20;4;17;24;19;23;7;18;21;11;26;9;8;22;15;12;6;25;1;14;5;2;10;13;16;3;1;6145416
1;6145416;20;4;17;24;19;23;7;18;21;11;26;9;8;22;15;12;6;25;1;14;5;2;10;13;16;3
20;4;17;24;19;23;7;6;21;11;26;9;8;22;15;12;18;25;1;14;5;2;10;13;16;3;1;6137664
1;6137664;20;4;17;24;19;23;7;6;21;11;26;9;8;22;15;12;18;25;1;14;5;2;10;13;16;3
20;4;17;24;19;23;7;6;21;11;26;9;8;22;15;12;18;25;1;14;5;2;3;13;16;10;1;6185588
1;6185588;20;4;17;24;19;23;7;6;21;11;26;9;8;22;15;12;18;25;1;14;5;2;3;13;16;10
20;4;17;24;15;23;7;6;21;11;26;9;8;22;19;12;18;25;1;14;5;2;3;13;16;10;1;6176341
1;6176341;20;4;17;24;15;23;7;6;21;11;26;9;8;22;19;12;18;25;1;14;5;2;3;13;16;10
20;16;17;24;15;23;7;6;21;11;26;9;8;22;19;12;18;25;1;14;5;2;3;13;4;10;1;6053569
1;6053569;20;16;17;24;15;23;7;6;21;11;26;9;8;22;19;12;18;25;1;14;5;2;3;13;4;10
20;16;17;24;15;11;7;6;21;23;26;9;8;22;19;12;18;25;1;14;5;2;3;13;4;10;1;6056278
1;6056278;20;16;17;24;15;11;7;6;21;23;26;9;8;22;19;12;18;25;1;14;5;2;3;13;4;10
20;16;17;24;15;11;7;6;21;1;26;9;8;22;19;12;18;25;23;14;5;2;3;13;4;10;1;6090078
1;6090078;20;16;17;24;15;11;7;6;21;1;26;9;8;22;19;12;18;25;23;14;5;2;3;13;4;10
