"X1";"X5797184";"X25";"X5";"X16";"X10";"X9";"X22";"X26";"X24";"X20";"X4";"X23";"X18";"X12";"X3";"X6";"X8";"X19";"X2";"X7";"X15";"X17";"X1.1";"X21";"X11";"X14";"X13"
1;5797184;25;5;16;10;9;22;26;24;20;4;23;18;12;3;6;8;19;2;7;15;17;1;21;11;14;13
25;5;16;10;4;22;26;24;20;9;23;18;12;3;6;8;19;2;7;15;17;1;21;11;14;13;1;5850638
1;5850638;25;5;16;10;4;22;26;24;20;9;23;18;12;3;6;8;19;2;7;15;17;1;21;11;14;13
25;5;16;10;4;22;26;24;20;9;23;18;12;3;6;8;19;7;2;15;17;1;21;11;14;13;1;5850598
1;5850598;25;5;16;10;4;22;26;24;20;9;23;18;12;3;6;8;19;7;2;15;17;1;21;11;14;13
25;5;16;10;4;22;18;24;20;9;23;26;12;3;6;8;19;7;2;15;17;1;21;11;14;13;1;5771850
1;5771850;25;5;16;10;4;22;18;24;20;9;23;26;12;3;6;8;19;7;2;15;17;1;21;11;14;13
25;5;16;4;10;22;18;24;20;9;23;26;12;3;6;8;19;7;2;15;17;1;21;11;14;13;1;5771950
1;5771950;25;5;16;4;10;22;18;24;20;9;23;26;12;3;6;8;19;7;2;15;17;1;21;11;14;13
25;5;16;4;10;22;18;15;20;9;23;26;12;3;6;8;19;7;2;24;17;1;21;11;14;13;1;5807402
1;5807402;25;5;16;4;10;22;18;15;20;9;23;26;12;3;6;8;19;7;2;24;17;1;21;11;14;13
25;5;16;4;10;22;18;15;20;9;23;26;12;3;11;8;19;7;2;24;17;1;21;6;14;13;1;5807912
1;5807912;25;5;16;4;10;22;18;15;20;9;23;26;12;3;11;8;19;7;2;24;17;1;21;6;14;13
25;5;16;4;10;22;18;15;20;9;23;26;12;3;11;13;19;7;2;24;17;1;21;6;14;8;1;5816225
1;5816225;25;5;16;4;10;22;18;15;20;9;23;26;12;3;11;13;19;7;2;24;17;1;21;6;14;8
