"X1";"X5919072";"X6";"X18";"X25";"X12";"X24";"X8";"X3";"X13";"X4";"X5";"X9";"X11";"X21";"X17";"X2";"X26";"X14";"X22";"X23";"X1.1";"X20";"X10";"X15";"X19";"X16";"X7"
1;5919072;6;18;25;12;24;8;3;13;4;5;9;11;21;17;2;26;14;22;23;1;20;10;15;19;16;7
6;18;25;12;24;8;3;13;9;5;4;11;21;17;2;26;14;22;23;1;20;10;15;19;16;7;1;5935658
1;5935658;6;18;25;12;24;8;3;13;9;5;4;11;21;17;2;26;14;22;23;1;20;10;15;19;16;7
6;18;25;12;24;8;20;13;9;5;4;11;21;17;2;26;14;22;23;1;3;10;15;19;16;7;1;5896042
1;5896042;6;18;25;12;24;8;20;13;9;5;4;11;21;17;2;26;14;22;23;1;3;10;15;19;16;7
6;18;25;12;24;26;20;13;9;5;4;11;21;17;2;8;14;22;23;1;3;10;15;19;16;7;1;5893256
1;5893256;6;18;25;12;24;26;20;13;9;5;4;11;21;17;2;8;14;22;23;1;3;10;15;19;16;7
6;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;14;22;23;1;3;10;15;19;16;7;1;5900070
1;5900070;6;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;14;22;23;1;3;10;15;19;16;7
10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;14;22;23;1;3;6;15;19;16;7;1;5901939
1;5901939;10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;14;22;23;1;3;6;15;19;16;7
10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;22;23;1;3;6;15;19;14;7;1;6046015
1;6046015;10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;22;23;1;3;6;15;19;14;7
10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;1;3;6;15;19;14;7;1;6047395
1;6047395;10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;1;3;6;15;19;14;7
10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;3;1;6;15;19;14;7;1;6061380
1;6061380;10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;3;1;6;15;19;14;7
10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;3;1;15;6;19;14;7;1;6058838
1;6058838;10;18;25;12;24;26;20;13;9;5;4;11;17;21;2;8;16;23;22;3;1;15;6;19;14;7
10;18;25;12;24;26;20;8;9;5;4;11;17;21;2;13;16;23;22;3;1;15;6;19;14;7;1;6060644
1;6060644;10;18;25;12;24;26;20;8;9;5;4;11;17;21;2;13;16;23;22;3;1;15;6;19;14;7
10;18;25;12;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;3;1;15;6;19;14;7;1;6060826
1;6060826;10;18;25;12;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;3;1;15;6;19;14;7
10;12;25;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;3;1;15;6;19;14;7;1;6067586
1;6067586;10;12;25;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;3;1;15;6;19;14;7
10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;25;1;15;6;19;14;7;1;6058044
1;6058044;10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;22;25;1;15;6;19;14;7
10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;1;25;22;15;6;19;14;7;1;5994711
1;5994711;10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;16;23;1;25;22;15;6;19;14;7
10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;22;23;1;25;16;15;6;19;14;7;1;6007026
1;6007026;10;12;3;18;24;26;20;8;9;5;4;2;17;21;11;13;22;23;1;25;16;15;6;19;14;7
10;12;3;18;24;26;20;8;9;5;4;11;17;21;2;13;22;23;1;25;16;15;6;19;14;7;1;6004711
1;6004711;10;12;3;18;24;26;20;8;9;5;4;11;17;21;2;13;22;23;1;25;16;15;6;19;14;7
10;12;3;18;24;26;20;8;21;5;4;11;17;9;2;13;22;23;1;25;16;15;6;19;14;7;1;5949717
1;5949717;10;12;3;18;24;26;20;8;21;5;4;11;17;9;2;13;22;23;1;25;16;15;6;19;14;7
13;12;3;18;24;26;20;8;21;5;4;11;17;9;2;10;22;23;1;25;16;15;6;19;14;7;1;5940203
1;5940203;13;12;3;18;24;26;20;8;21;5;4;11;17;9;2;10;22;23;1;25;16;15;6;19;14;7
13;12;3;18;24;26;20;4;21;5;8;11;17;9;2;10;22;23;1;25;16;15;6;19;14;7;1;5972448
1;5972448;13;12;3;18;24;26;20;4;21;5;8;11;17;9;2;10;22;23;1;25;16;15;6;19;14;7
13;12;3;18;24;26;20;4;21;5;8;11;17;9;16;10;22;23;1;25;2;15;6;19;14;7;1;5971855
2;5971855;13;12;3;18;24;26;20;4;21;5;8;11;17;9;16;10;22;23;1;25;2;15;6;19;14;7
13;12;3;18;24;26;20;4;21;5;8;11;17;9;16;10;23;22;1;25;2;15;6;19;14;7;2;5975498
2;5975498;13;12;3;18;24;26;20;4;21;5;8;11;17;9;16;10;23;22;1;25;2;15;6;19;14;7
13;20;3;18;24;26;12;4;21;5;8;11;17;9;16;10;23;22;1;25;2;15;6;19;14;7;2;5977199
2;5977199;13;20;3;18;24;26;12;4;21;5;8;11;17;9;16;10;23;22;1;25;2;15;6;19;14;7
13;20;3;18;24;26;12;4;21;5;8;11;17;9;16;10;6;22;1;25;2;15;23;19;14;7;2;5971335
