"X1";"X5794617";"X16";"X1.1";"X11";"X8";"X9";"X24";"X2";"X22";"X19";"X10";"X3";"X21";"X17";"X23";"X4";"X18";"X5";"X14";"X20";"X12";"X15";"X7";"X26";"X25";"X13";"X6"
1;5794617;16;1;11;8;9;24;2;22;19;10;3;21;17;23;4;18;5;14;20;12;15;7;26;25;13;6
16;1;11;8;9;24;2;22;19;10;3;21;17;7;4;18;5;14;20;12;15;23;26;25;13;6;1;5775280
1;5775280;16;1;11;8;9;24;2;22;19;10;3;21;17;7;4;18;5;14;20;12;15;23;26;25;13;6
16;1;11;8;9;24;2;22;19;10;3;21;25;7;4;18;5;14;20;12;15;23;26;17;13;6;1;5774191
1;5774191;16;1;11;8;9;24;2;22;19;10;3;21;25;7;4;18;5;14;20;12;15;23;26;17;13;6
16;1;11;8;9;24;2;22;19;10;3;21;25;7;6;18;5;14;20;12;15;23;26;17;13;4;1;5824522
1;5824522;16;1;11;8;9;24;2;22;19;10;3;21;25;7;6;18;5;14;20;12;15;23;26;17;13;4
16;1;11;8;9;24;2;22;19;10;3;21;25;7;6;18;5;15;20;12;14;23;26;17;13;4;1;5924890
1;5924890;16;1;11;8;9;24;2;22;19;10;3;21;25;7;6;18;5;15;20;12;14;23;26;17;13;4
16;1;13;8;9;24;2;22;19;10;3;21;25;7;6;18;5;15;20;12;14;23;26;17;11;4;1;5925631
1;5925631;16;1;13;8;9;24;2;22;19;10;3;21;25;7;6;18;5;15;20;12;14;23;26;17;11;4
16;1;13;8;9;24;2;22;19;10;6;21;25;7;3;18;5;15;20;12;14;23;26;17;11;4;1;5943153
1;5943153;16;1;13;8;9;24;2;22;19;10;6;21;25;7;3;18;5;15;20;12;14;23;26;17;11;4
16;1;13;8;9;24;2;22;19;10;7;21;25;6;3;18;5;15;20;12;14;23;26;17;11;4;1;5942563
1;5942563;16;1;13;8;9;24;2;22;19;10;7;21;25;6;3;18;5;15;20;12;14;23;26;17;11;4
