"X1";"X5835730";"X18";"X14";"X4";"X24";"X6";"X1.1";"X26";"X8";"X11";"X16";"X2";"X21";"X15";"X23";"X19";"X9";"X5";"X3";"X7";"X17";"X10";"X13";"X22";"X25";"X20";"X12"
1;5835730;18;14;4;24;6;1;26;8;11;16;2;21;15;23;19;9;5;3;7;17;10;13;22;25;20;12
18;14;4;24;6;1;26;8;11;16;2;21;15;12;19;9;5;3;7;17;10;13;22;25;20;23;1;5773808
1;5773808;18;14;4;24;6;1;26;8;11;16;2;21;15;12;19;9;5;3;7;17;10;13;22;25;20;23
18;14;4;24;6;1;26;8;11;16;2;21;15;12;19;9;5;3;22;17;10;13;7;25;20;23;1;5805710
1;5805710;18;14;4;24;6;1;26;8;11;16;2;21;15;12;19;9;5;3;22;17;10;13;7;25;20;23
18;14;4;24;13;1;26;8;11;16;2;21;15;12;19;9;5;3;22;17;10;6;7;25;20;23;1;5805817
1;5805817;18;14;4;24;13;1;26;8;11;16;2;21;15;12;19;9;5;3;22;17;10;6;7;25;20;23
18;14;4;24;13;1;26;16;11;8;2;21;15;12;19;9;5;3;22;17;10;6;7;25;20;23;1;5805757
1;5805757;18;14;4;24;13;1;26;16;11;8;2;21;15;12;19;9;5;3;22;17;10;6;7;25;20;23
18;14;4;24;13;1;26;16;11;8;17;21;15;12;19;9;5;3;22;2;10;6;7;25;20;23;1;5818988
1;5818988;18;14;4;24;13;1;26;16;11;8;17;21;15;12;19;9;5;3;22;2;10;6;7;25;20;23
18;14;4;24;13;26;1;16;11;8;17;21;15;12;19;9;5;3;22;2;10;6;7;25;20;23;1;5818988
1;5818988;18;14;4;24;13;26;1;16;11;8;17;21;15;12;19;9;5;3;22;2;10;6;7;25;20;23
18;14;4;24;13;26;1;16;11;8;17;21;10;12;19;9;5;3;22;2;15;6;7;25;20;23;1;5861188
1;5861188;18;14;4;24;13;26;1;16;11;8;17;21;10;12;19;9;5;3;22;2;15;6;7;25;20;23
18;14;4;24;13;19;1;16;11;8;17;21;10;12;26;9;5;3;22;2;15;6;7;25;20;23;1;5937025
1;5937025;18;14;4;24;13;19;1;16;11;8;17;21;10;12;26;9;5;3;22;2;15;6;7;25;20;23
18;14;4;24;13;19;1;16;11;8;17;21;10;12;26;15;5;3;22;2;9;6;7;25;20;23;1;5953667
1;5953667;18;14;4;24;13;19;1;16;11;8;17;21;10;12;26;15;5;3;22;2;9;6;7;25;20;23
18;14;4;24;13;19;1;11;16;8;17;21;10;12;26;15;5;3;22;2;9;6;7;25;20;23;1;5953687
1;5953687;18;14;4;24;13;19;1;11;16;8;17;21;10;12;26;15;5;3;22;2;9;6;7;25;20;23
18;14;4;24;13;12;1;11;16;8;17;21;10;19;26;15;5;3;22;2;9;6;7;25;20;23;1;5899513
1;5899513;18;14;4;24;13;12;1;11;16;8;17;21;10;19;26;15;5;3;22;2;9;6;7;25;20;23
18;14;4;24;13;12;1;11;16;8;17;21;10;19;9;15;5;3;22;2;26;6;7;25;20;23;1;5853037
1;5853037;18;14;4;24;13;12;1;11;16;8;17;21;10;19;9;15;5;3;22;2;26;6;7;25;20;23
18;14;2;24;13;12;1;11;16;8;17;21;10;19;9;15;5;3;22;4;26;6;7;25;20;23;1;5866386
1;5866386;18;14;2;24;13;12;1;11;16;8;17;21;10;19;9;15;5;3;22;4;26;6;7;25;20;23
18;14;2;24;13;12;6;11;16;8;17;21;10;19;9;15;5;3;22;4;26;1;7;25;20;23;1;5902182
1;5902182;18;14;2;24;13;12;6;11;16;8;17;21;10;19;9;15;5;3;22;4;26;1;7;25;20;23
18;24;2;14;13;12;6;11;16;8;17;21;10;19;9;15;5;3;22;4;26;1;7;25;20;23;1;5923140
1;5923140;18;24;2;14;13;12;6;11;16;8;17;21;10;19;9;15;5;3;22;4;26;1;7;25;20;23
18;24;2;14;13;12;6;11;16;8;17;21;1;19;9;15;5;3;22;4;26;10;7;25;20;23;1;5863244
1;5863244;18;24;2;14;13;12;6;11;16;8;17;21;1;19;9;15;5;3;22;4;26;10;7;25;20;23
18;5;2;14;13;12;6;11;16;8;17;21;1;19;9;15;24;3;22;4;26;10;7;25;20;23;1;6127741
1;6127741;18;5;2;14;13;12;6;11;16;8;17;21;1;19;9;15;24;3;22;4;26;10;7;25;20;23
11;5;2;14;13;12;6;18;16;8;17;21;1;19;9;15;24;3;22;4;26;10;7;25;20;23;1;6044586
1;6044586;11;5;2;14;13;12;6;18;16;8;17;21;1;19;9;15;24;3;22;4;26;10;7;25;20;23
11;5;2;14;13;12;6;19;16;8;17;21;1;18;9;15;24;3;22;4;26;10;7;25;20;23;1;6068602
1;6068602;11;5;2;14;13;12;6;19;16;8;17;21;1;18;9;15;24;3;22;4;26;10;7;25;20;23
11;5;2;14;13;12;6;19;16;8;17;21;1;18;9;15;24;3;22;23;26;10;7;25;20;4;1;5993871
2;5993871;11;5;2;14;13;12;6;19;16;8;17;21;1;18;9;15;24;3;22;23;26;10;7;25;20;4
11;5;2;14;13;22;6;19;16;8;17;21;1;18;9;15;24;3;12;23;26;10;7;25;20;4;2;5977553
2;5977553;11;5;2;14;13;22;6;19;16;8;17;21;1;18;9;15;24;3;12;23;26;10;7;25;20;4
11;5;2;14;3;22;6;19;16;8;17;21;1;18;9;15;24;13;12;23;26;10;7;25;20;4;2;5905052
2;5905052;11;5;2;14;3;22;6;19;16;8;17;21;1;18;9;15;24;13;12;23;26;10;7;25;20;4
11;5;2;14;3;22;6;19;16;8;17;21;23;18;9;15;24;13;12;1;26;10;7;25;20;4;2;5943636
2;5943636;11;5;2;14;3;22;6;19;16;8;17;21;23;18;9;15;24;13;12;1;26;10;7;25;20;4
11;5;2;14;3;22;6;19;16;15;17;21;23;18;9;8;24;13;12;1;26;10;7;25;20;4;2;5939222
2;5939222;11;5;2;14;3;22;6;19;16;15;17;21;23;18;9;8;24;13;12;1;26;10;7;25;20;4
11;5;10;14;3;22;6;19;16;15;17;21;23;18;9;8;24;13;12;1;26;2;7;25;20;4;2;5945613
2;5945613;11;5;10;14;3;22;6;19;16;15;17;21;23;18;9;8;24;13;12;1;26;2;7;25;20;4
11;5;10;14;3;22;6;19;16;15;17;21;25;18;9;8;24;13;12;1;26;2;7;23;20;4;2;5952453
2;5952453;11;5;10;14;3;22;6;19;16;15;17;21;25;18;9;8;24;13;12;1;26;2;7;23;20;4
11;5;13;14;3;22;6;19;16;15;17;21;25;18;9;8;24;10;12;1;26;2;7;23;20;4;2;5986514
2;5986514;11;5;13;14;3;22;6;19;16;15;17;21;25;18;9;8;24;10;12;1;26;2;7;23;20;4
12;5;13;14;3;22;6;19;16;15;17;21;25;18;9;8;24;10;11;1;26;2;7;23;20;4;2;6035126
2;6035126;12;5;13;14;3;22;6;19;16;15;17;21;25;18;9;8;24;10;11;1;26;2;7;23;20;4
