"X1";"X5645929";"X17";"X6";"X16";"X10";"X19";"X26";"X3";"X14";"X13";"X15";"X9";"X5";"X11";"X24";"X8";"X1.1";"X2";"X18";"X20";"X25";"X21";"X23";"X12";"X7";"X4";"X22"
1;5645929;17;6;16;10;19;26;3;14;13;15;9;5;11;24;8;1;2;18;20;25;21;23;12;7;4;22
17;6;25;10;19;26;3;14;13;15;9;5;11;24;8;1;2;18;20;16;21;23;12;7;4;22;1;5650033
1;5650033;17;6;25;10;19;26;3;14;13;15;9;5;11;24;8;1;2;18;20;16;21;23;12;7;4;22
17;6;25;10;19;26;3;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;22;1;5670527
1;5670527;17;6;25;10;19;26;3;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;22
17;6;25;10;19;26;22;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3;1;5673943
1;5673943;17;6;25;10;19;26;22;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3
6;17;25;10;19;26;22;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3;1;5669858
1;5669858;6;17;25;10;19;26;22;14;13;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3
13;17;25;10;19;26;22;14;6;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3;1;5685790
1;5685790;13;17;25;10;19;26;22;14;6;15;9;5;11;24;8;1;2;18;20;16;7;23;12;21;4;3
13;17;25;10;19;26;22;14;6;5;9;15;11;24;8;1;2;18;20;16;7;23;12;21;4;3;1;5780912
1;5780912;13;17;25;10;19;26;22;14;6;5;9;15;11;24;8;1;2;18;20;16;7;23;12;21;4;3
13;17;25;10;19;26;22;14;6;5;9;15;11;3;8;1;2;18;20;16;7;23;12;21;4;24;1;5812937
1;5812937;13;17;25;10;19;26;22;14;6;5;9;15;11;3;8;1;2;18;20;16;7;23;12;21;4;24
13;17;12;10;19;26;22;14;6;5;9;15;11;3;8;1;2;18;20;16;7;23;25;21;4;24;1;5800931
1;5800931;13;17;12;10;19;26;22;14;6;5;9;15;11;3;8;1;2;18;20;16;7;23;25;21;4;24
