"X1";"X5829992";"X16";"X12";"X15";"X22";"X17";"X8";"X4";"X25";"X21";"X10";"X5";"X24";"X13";"X6";"X7";"X26";"X23";"X1.1";"X9";"X14";"X3";"X20";"X18";"X2";"X11";"X19"
1;5829992;16;12;15;22;17;8;4;25;21;10;5;24;13;6;7;26;23;1;9;14;3;20;18;2;11;19
16;12;15;22;17;8;4;25;21;5;10;24;13;6;7;26;23;1;9;14;3;20;18;2;11;19;1;5743784
1;5743784;16;12;15;22;17;8;4;25;21;5;10;24;13;6;7;26;23;1;9;14;3;20;18;2;11;19
16;12;15;22;17;8;4;25;21;5;10;24;13;6;7;9;23;1;26;14;3;20;18;2;11;19;1;5816820
1;5816820;16;12;15;22;17;8;4;25;21;5;10;24;13;6;7;9;23;1;26;14;3;20;18;2;11;19
16;12;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;3;20;18;2;11;19;1;5845769
1;5845769;16;12;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;3;20;18;2;11;19
16;2;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;3;20;18;12;11;19;1;5851674
1;5851674;16;2;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;3;20;18;12;11;19
3;2;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;16;20;18;12;11;19;1;5851459
1;5851459;3;2;15;22;17;1;4;25;21;5;10;24;13;6;7;9;23;8;26;14;16;20;18;12;11;19
3;23;15;22;17;1;4;25;21;5;10;24;13;6;7;9;2;8;26;14;16;20;18;12;11;19;1;5857511
1;5857511;3;23;15;22;17;1;4;25;21;5;10;24;13;6;7;9;2;8;26;14;16;20;18;12;11;19
3;23;15;22;17;1;4;25;21;13;10;24;5;6;7;9;2;8;26;14;16;20;18;12;11;19;1;5941011
1;5941011;3;23;15;22;17;1;4;25;21;13;10;24;5;6;7;9;2;8;26;14;16;20;18;12;11;19
