"X1";"X5986393";"X6";"X2";"X19";"X16";"X24";"X5";"X18";"X23";"X7";"X25";"X1.1";"X15";"X22";"X17";"X13";"X14";"X11";"X9";"X21";"X26";"X20";"X10";"X3";"X4";"X12";"X8"
1;5986393;6;2;19;16;24;5;18;23;7;25;1;15;22;17;13;14;11;9;21;26;20;10;3;4;12;8
6;2;19;16;24;5;11;23;7;25;1;15;22;17;13;14;18;9;21;26;20;10;3;4;12;8;1;5993592
1;5993592;6;2;19;16;24;5;11;23;7;25;1;15;22;17;13;14;18;9;21;26;20;10;3;4;12;8
6;2;19;16;9;5;11;23;7;25;1;15;22;17;13;14;18;24;21;26;20;10;3;4;12;8;1;6061428
1;6061428;6;2;19;16;9;5;11;23;7;25;1;15;22;17;13;14;18;24;21;26;20;10;3;4;12;8
6;2;19;16;9;5;11;23;7;25;14;15;22;17;13;1;18;24;21;26;20;10;3;4;12;8;1;5996770
1;5996770;6;2;19;16;9;5;11;23;7;25;14;15;22;17;13;1;18;24;21;26;20;10;3;4;12;8
6;2;19;16;9;5;11;23;7;25;14;15;22;17;13;1;18;24;21;26;3;10;20;4;12;8;1;6005343
1;6005343;6;2;19;16;9;5;11;23;7;25;14;15;22;17;13;1;18;24;21;26;3;10;20;4;12;8
6;2;19;16;9;5;11;23;7;25;14;10;22;17;13;1;18;24;21;26;3;15;20;4;12;8;1;6050858
1;6050858;6;2;19;16;9;5;11;23;7;25;14;10;22;17;13;1;18;24;21;26;3;15;20;4;12;8
6;2;19;16;9;5;11;23;7;25;12;10;22;17;13;1;18;24;21;26;3;15;20;4;14;8;1;6205555
1;6205555;6;2;19;16;9;5;11;23;7;25;12;10;22;17;13;1;18;24;21;26;3;15;20;4;14;8
6;2;19;23;9;5;11;16;7;25;12;10;22;17;13;1;18;24;21;26;3;15;20;4;14;8;1;6200317
1;6200317;6;2;19;23;9;5;11;16;7;25;12;10;22;17;13;1;18;24;21;26;3;15;20;4;14;8
6;2;19;23;9;5;11;16;7;25;12;10;22;17;13;1;3;24;21;26;18;15;20;4;14;8;1;6166122
