"X1";"X5796177";"X20";"X8";"X23";"X11";"X21";"X18";"X12";"X13";"X17";"X25";"X2";"X19";"X1.1";"X16";"X3";"X7";"X6";"X5";"X14";"X22";"X15";"X9";"X10";"X24";"X4";"X26"
1;5796177;20;8;23;11;21;18;12;13;17;25;2;19;1;16;3;7;6;5;14;22;15;9;10;24;4;26
20;8;23;11;21;18;12;13;17;25;2;19;1;16;3;7;6;5;14;22;9;15;10;24;4;26;1;5805019
1;5805019;20;8;23;11;21;18;12;13;17;25;2;19;1;16;3;7;6;5;14;22;9;15;10;24;4;26
20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;7;6;5;14;22;9;15;10;12;4;26;1;5856946
1;5856946;20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;7;6;5;14;22;9;15;10;12;4;26
20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;7;22;5;14;6;9;15;10;12;4;26;1;5867346
1;5867346;20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;7;22;5;14;6;9;15;10;12;4;26
20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;15;22;5;14;6;9;7;10;12;4;26;1;5857750
1;5857750;20;8;23;11;21;18;24;13;17;25;2;19;1;16;3;15;22;5;14;6;9;7;10;12;4;26
20;8;23;11;21;18;24;13;9;25;2;19;1;16;3;15;22;5;14;6;17;7;10;12;4;26;1;5850142
1;5850142;20;8;23;11;21;18;24;13;9;25;2;19;1;16;3;15;22;5;14;6;17;7;10;12;4;26
20;8;3;11;21;18;24;13;9;25;2;19;1;16;23;15;22;5;14;6;17;7;10;12;4;26;1;5843141
1;5843141;20;8;3;11;21;18;24;13;9;25;2;19;1;16;23;15;22;5;14;6;17;7;10;12;4;26
19;8;3;11;21;18;24;13;9;25;2;20;1;16;23;15;22;5;14;6;17;7;10;12;4;26;1;5825633
1;5825633;19;8;3;11;21;18;24;13;9;25;2;20;1;16;23;15;22;5;14;6;17;7;10;12;4;26
19;8;3;11;21;18;24;13;9;15;2;20;1;16;23;25;22;5;14;6;17;7;10;12;4;26;1;5822857
1;5822857;19;8;3;11;21;18;24;13;9;15;2;20;1;16;23;25;22;5;14;6;17;7;10;12;4;26
19;7;3;11;21;18;24;13;9;15;2;20;1;16;23;25;22;5;14;6;17;8;10;12;4;26;1;5877475
