"X1";"X5819398";"X25";"X19";"X23";"X8";"X3";"X10";"X1.1";"X4";"X9";"X12";"X7";"X18";"X11";"X26";"X20";"X15";"X21";"X24";"X22";"X17";"X2";"X14";"X13";"X16";"X6";"X5"
1;5819398;25;19;23;8;3;10;1;4;9;12;7;18;11;26;20;15;21;24;22;17;2;14;13;16;6;5
25;19;23;8;3;10;1;2;9;12;7;18;11;26;20;15;21;24;22;17;4;14;13;16;6;5;1;5803751
1;5803751;25;19;23;8;3;10;1;2;9;12;7;18;11;26;20;15;21;24;22;17;4;14;13;16;6;5
25;19;23;8;3;12;1;2;9;10;7;18;11;26;20;15;21;24;22;17;4;14;13;16;6;5;1;5831944
1;5831944;25;19;23;8;3;12;1;2;9;10;7;18;11;26;20;15;21;24;22;17;4;14;13;16;6;5
25;19;23;8;3;12;1;2;9;10;7;22;11;26;20;15;21;24;18;17;4;14;13;16;6;5;1;5832861
1;5832861;25;19;23;8;3;12;1;2;9;10;7;22;11;26;20;15;21;24;18;17;4;14;13;16;6;5
25;19;23;8;3;12;1;2;9;10;7;22;11;26;20;15;21;13;18;17;4;14;24;16;6;5;1;5847372
1;5847372;25;19;23;8;3;12;1;2;9;10;7;22;11;26;20;15;21;13;18;17;4;14;24;16;6;5
25;19;23;16;3;12;1;2;9;10;7;22;11;26;20;15;21;13;18;17;4;14;24;8;6;5;1;5901919
1;5901919;25;19;23;16;3;12;1;2;9;10;7;22;11;26;20;15;21;13;18;17;4;14;24;8;6;5
25;19;23;16;3;26;1;2;9;10;7;22;11;12;20;15;21;13;18;17;4;14;24;8;6;5;1;5846253
1;5846253;25;19;23;16;3;26;1;2;9;10;7;22;11;12;20;15;21;13;18;17;4;14;24;8;6;5
25;19;18;16;3;26;1;2;9;10;7;22;11;12;20;15;21;13;23;17;4;14;24;8;6;5;1;5872518
1;5872518;25;19;18;16;3;26;1;2;9;10;7;22;11;12;20;15;21;13;23;17;4;14;24;8;6;5
25;19;18;16;3;26;15;2;9;10;7;22;11;12;20;1;21;13;23;17;4;14;24;8;6;5;1;5862450
1;5862450;25;19;18;16;3;26;15;2;9;10;7;22;11;12;20;1;21;13;23;17;4;14;24;8;6;5
25;19;18;16;3;26;15;2;9;10;7;22;11;12;20;1;21;13;23;17;4;24;14;8;6;5;1;5856643
1;5856643;25;19;18;16;3;26;15;2;9;10;7;22;11;12;20;1;21;13;23;17;4;24;14;8;6;5
25;19;18;16;3;26;15;2;9;10;17;22;11;12;20;1;21;13;23;7;4;24;14;8;6;5;1;5886010
1;5886010;25;19;18;16;3;26;15;2;9;10;17;22;11;12;20;1;21;13;23;7;4;24;14;8;6;5
25;19;18;10;3;26;15;2;9;16;17;22;11;12;20;1;21;13;23;7;4;24;14;8;6;5;1;5881077
1;5881077;25;19;18;10;3;26;15;2;9;16;17;22;11;12;20;1;21;13;23;7;4;24;14;8;6;5
25;19;18;10;3;26;15;2;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;6;5;1;5877850
1;5877850;25;19;18;10;3;26;15;2;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;6;5
25;19;18;6;3;26;15;2;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;5;1;5870737
1;5870737;25;19;18;6;3;26;15;2;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;5
25;2;18;6;3;26;15;19;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;5;1;5856605
1;5856605;25;2;18;6;3;26;15;19;9;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;5
25;2;18;6;3;26;15;19;5;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;9;1;5852157
1;5852157;25;2;18;6;3;26;15;19;5;16;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;9
25;2;18;6;16;26;15;19;5;3;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;9;1;5783271
1;5783271;25;2;18;6;16;26;15;19;5;3;17;11;22;12;20;1;21;13;23;7;4;24;14;8;10;9
