"X1";"X5885456";"X25";"X20";"X23";"X19";"X22";"X6";"X5";"X15";"X2";"X17";"X9";"X14";"X11";"X4";"X10";"X3";"X26";"X24";"X8";"X18";"X1.1";"X13";"X16";"X21";"X12";"X7"
1;5885456;25;20;23;19;22;6;5;15;2;17;9;14;11;4;10;3;26;24;8;18;1;13;16;21;12;7
25;20;23;3;22;6;5;15;2;17;9;14;11;4;10;19;26;24;8;18;1;13;16;21;12;7;1;5870291
1;5870291;25;20;23;3;22;6;5;15;2;17;9;14;11;4;10;19;26;24;8;18;1;13;16;21;12;7
25;20;23;3;22;6;5;15;2;17;9;14;11;4;10;19;26;24;8;18;12;13;16;21;1;7;1;5737560
1;5737560;25;20;23;3;22;6;5;15;2;17;9;14;11;4;10;19;26;24;8;18;12;13;16;21;1;7
25;20;23;14;22;6;5;15;2;17;9;3;11;4;10;19;26;24;8;18;12;13;16;21;1;7;1;5830213
1;5830213;25;20;23;14;22;6;5;15;2;17;9;3;11;4;10;19;26;24;8;18;12;13;16;21;1;7
25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;19;26;24;8;18;12;13;16;21;1;7;1;5847596
1;5847596;25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;19;26;24;8;18;12;13;16;21;1;7
25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;8;26;24;19;18;12;13;16;21;1;7;1;5886155
1;5886155;25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;8;26;24;19;18;12;13;16;21;1;7
25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;8;26;24;16;18;12;13;19;21;1;7;1;5929634
1;5929634;25;20;23;14;22;3;5;15;2;17;9;6;11;4;10;8;26;24;16;18;12;13;19;21;1;7
25;20;23;14;22;3;5;15;2;17;9;6;11;21;10;8;26;24;16;18;12;13;19;4;1;7;1;5909105
1;5909105;25;20;23;14;22;3;5;15;2;17;9;6;11;21;10;8;26;24;16;18;12;13;19;4;1;7
25;20;23;14;22;3;26;15;2;17;9;6;11;21;10;8;5;24;16;18;12;13;19;4;1;7;1;5851527
1;5851527;25;20;23;14;22;3;26;15;2;17;9;6;11;21;10;8;5;24;16;18;12;13;19;4;1;7
25;20;23;14;22;3;26;15;2;17;9;6;11;21;10;8;5;1;16;18;12;13;19;4;24;7;1;5823361
