"X1";"X5834049";"X2";"X12";"X14";"X4";"X23";"X19";"X11";"X21";"X18";"X17";"X10";"X20";"X15";"X9";"X7";"X26";"X3";"X25";"X1.1";"X24";"X8";"X22";"X13";"X16";"X5";"X6"
1;5834049;2;12;14;4;23;19;11;21;18;17;10;20;15;9;7;26;3;25;1;24;8;22;13;16;5;6
2;12;14;4;23;26;11;21;18;17;10;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6;1;5795403
1;5795403;2;12;14;4;23;26;11;21;18;17;10;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6
14;12;2;4;23;26;11;21;18;17;10;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6;1;5793187
1;5793187;14;12;2;4;23;26;11;21;18;17;10;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6
10;12;2;4;23;26;11;21;18;17;14;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6;1;5751603
1;5751603;10;12;2;4;23;26;11;21;18;17;14;20;15;9;7;19;3;25;1;24;8;22;13;16;5;6
10;12;2;4;23;26;11;21;18;17;14;20;15;9;7;1;3;25;19;24;8;22;13;16;5;6;1;5724176
1;5724176;10;12;2;4;23;26;11;21;18;17;14;20;15;9;7;1;3;25;19;24;8;22;13;16;5;6
10;12;2;4;23;26;11;21;18;17;13;20;15;9;7;1;3;25;19;24;8;22;14;16;5;6;1;5801231
1;5801231;10;12;2;4;23;26;11;21;18;17;13;20;15;9;7;1;3;25;19;24;8;22;14;16;5;6
10;12;2;4;23;26;11;21;18;17;13;20;15;9;25;1;3;7;19;24;8;22;14;16;5;6;1;5821712
1;5821712;10;12;2;4;23;26;11;21;18;17;13;20;15;9;25;1;3;7;19;24;8;22;14;16;5;6
7;12;2;4;23;26;11;21;18;17;13;20;15;9;25;1;3;10;19;24;8;22;14;16;5;6;1;5805090
1;5805090;7;12;2;4;23;26;11;21;18;17;13;20;15;9;25;1;3;10;19;24;8;22;14;16;5;6
7;12;2;4;23;26;3;21;18;17;13;20;15;9;25;1;11;10;19;24;8;22;14;16;5;6;1;5815990
1;5815990;7;12;2;4;23;26;3;21;18;17;13;20;15;9;25;1;11;10;19;24;8;22;14;16;5;6
7;12;2;4;23;26;3;21;18;17;13;20;15;9;25;1;11;10;19;24;8;14;22;16;5;6;1;5778385
1;5778385;7;12;2;4;23;26;3;21;18;17;13;20;15;9;25;1;11;10;19;24;8;14;22;16;5;6
7;12;2;4;23;26;3;21;18;17;13;20;24;9;25;1;11;10;19;15;8;14;22;16;5;6;1;5817327
1;5817327;7;12;2;4;23;26;3;21;18;17;13;20;24;9;25;1;11;10;19;15;8;14;22;16;5;6
7;12;2;4;23;26;3;21;18;17;13;15;24;9;25;1;11;10;19;20;8;14;22;16;5;6;1;5829297
1;5829297;7;12;2;4;23;26;3;21;18;17;13;15;24;9;25;1;11;10;19;20;8;14;22;16;5;6
7;12;2;4;23;26;3;21;18;17;19;15;24;9;25;1;11;10;13;20;8;14;22;16;5;6;1;5844984
1;5844984;7;12;2;4;23;26;3;21;18;17;19;15;24;9;25;1;11;10;13;20;8;14;22;16;5;6
11;12;2;4;23;26;3;21;18;17;19;15;24;9;25;1;7;10;13;20;8;14;22;16;5;6;1;5860597
1;5860597;11;12;2;4;23;26;3;21;18;17;19;15;24;9;25;1;7;10;13;20;8;14;22;16;5;6
11;12;2;4;23;26;3;21;18;17;19;15;1;9;25;24;7;10;13;20;8;14;22;16;5;6;1;5871829
1;5871829;11;12;2;4;23;26;3;21;18;17;19;15;1;9;25;24;7;10;13;20;8;14;22;16;5;6
11;12;2;4;23;26;16;21;18;17;19;15;1;9;25;24;7;10;13;20;8;14;22;3;5;6;1;5983595
1;5983595;11;12;2;4;23;26;16;21;18;17;19;15;1;9;25;24;7;10;13;20;8;14;22;3;5;6
11;12;2;4;23;26;16;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;22;3;5;15;1;5964522
1;5964522;11;12;2;4;23;26;16;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;22;3;5;15
11;3;2;4;23;26;16;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;22;12;5;15;1;6004158
1;6004158;11;3;2;4;23;26;16;21;18;17;19;6;1;9;25;24;7;10;13;20;8;14;22;12;5;15
