"X1";"X5984685";"X21";"X23";"X15";"X20";"X22";"X8";"X6";"X18";"X19";"X2";"X10";"X9";"X14";"X24";"X4";"X5";"X11";"X7";"X17";"X12";"X25";"X26";"X13";"X1.1";"X3";"X16"
1;5984685;21;23;15;20;22;8;6;18;19;2;10;9;14;24;4;5;11;7;17;12;25;26;13;1;3;16
21;23;15;20;22;8;6;18;19;2;26;9;14;24;4;5;11;7;17;12;25;10;13;1;3;16;1;5971968
1;5971968;21;23;15;20;22;8;6;18;19;2;26;9;14;24;4;5;11;7;17;12;25;10;13;1;3;16
21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;5;11;7;17;12;25;10;13;1;4;16;1;5876887
1;5876887;21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;5;11;7;17;12;25;10;13;1;4;16
21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;16;11;7;17;12;25;10;13;1;4;5;1;5940527
1;5940527;21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;16;11;7;17;12;25;10;13;1;4;5
21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;16;11;13;17;12;25;10;7;1;4;5;1;5927606
1;5927606;21;23;15;20;22;8;6;18;19;2;26;9;14;24;3;16;11;13;17;12;25;10;7;1;4;5
21;23;15;20;22;8;6;18;19;2;26;16;14;24;3;9;11;13;17;12;25;10;7;1;4;5;1;6006641
1;6006641;21;23;15;20;22;8;6;18;19;2;26;16;14;24;3;9;11;13;17;12;25;10;7;1;4;5
21;23;15;20;22;8;11;18;19;2;26;16;14;24;3;9;6;13;17;12;25;10;7;1;4;5;1;6007095
1;6007095;21;23;15;20;22;8;11;18;19;2;26;16;14;24;3;9;6;13;17;12;25;10;7;1;4;5
21;23;15;20;22;8;11;18;19;2;26;12;14;24;3;9;6;13;17;16;25;10;7;1;4;5;1;5977835
1;5977835;21;23;15;20;22;8;11;18;19;2;26;12;14;24;3;9;6;13;17;16;25;10;7;1;4;5
17;23;15;20;22;8;11;18;19;2;26;12;14;24;3;9;6;13;21;16;25;10;7;1;4;5;1;5953799
1;5953799;17;23;15;20;22;8;11;18;19;2;26;12;14;24;3;9;6;13;21;16;25;10;7;1;4;5
17;23;4;20;22;8;11;18;19;2;26;12;14;24;3;9;6;13;21;16;25;10;7;1;15;5;1;5931489
