"X1";"X5978333";"X23";"X19";"X9";"X2";"X1.1";"X16";"X21";"X15";"X24";"X20";"X14";"X17";"X11";"X10";"X22";"X8";"X6";"X4";"X18";"X13";"X12";"X26";"X7";"X5";"X3";"X25"
1;5978333;23;19;9;2;1;16;21;15;24;20;14;17;11;10;22;8;6;4;18;13;12;26;7;5;3;25
23;19;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;4;18;13;12;2;7;5;3;25;1;5967722
1;5967722;23;19;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;4;18;13;12;2;7;5;3;25
23;3;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;4;18;13;12;2;7;5;19;25;1;5919376
1;5919376;23;3;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;4;18;13;12;2;7;5;19;25
23;4;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;3;18;13;12;2;7;5;19;25;1;6044051
1;6044051;23;4;9;26;1;16;21;15;24;20;14;17;11;10;22;8;6;3;18;13;12;2;7;5;19;25
23;4;9;13;1;16;21;15;24;20;14;17;11;10;22;8;6;3;18;26;12;2;7;5;19;25;1;6048880
1;6048880;23;4;9;13;1;16;21;15;24;20;14;17;11;10;22;8;6;3;18;26;12;2;7;5;19;25
23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;6;3;18;26;12;2;7;5;19;25;1;6067200
1;6067200;23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;6;3;18;26;12;2;7;5;19;25
23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;18;3;6;26;12;2;7;5;19;25;1;6087459
1;6087459;23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;18;3;6;26;12;2;7;5;19;25
23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;18;3;6;5;12;2;7;26;19;25;1;6156047
1;6156047;23;4;9;13;1;16;20;15;24;21;14;17;11;10;22;8;18;3;6;5;12;2;7;26;19;25
23;4;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;2;7;26;19;25;1;5903284
1;5903284;23;4;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;2;7;26;19;25
23;4;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;25;1;5915462
1;5915462;23;4;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;25
23;25;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4;1;5880877
1;5880877;23;25;9;13;1;16;20;15;24;21;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4
23;25;9;13;21;16;20;15;24;1;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4;1;5880419
1;5880419;23;25;9;13;21;16;20;15;24;1;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4
23;25;9;13;24;16;20;15;21;1;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4;1;5882109
1;5882109;23;25;9;13;24;16;20;15;21;1;14;17;5;10;22;8;18;3;6;11;12;7;2;26;19;4
23;25;9;13;24;16;12;15;21;1;14;17;5;10;22;8;18;3;6;11;20;7;2;26;19;4;1;5845983
1;5845983;23;25;9;13;24;16;12;15;21;1;14;17;5;10;22;8;18;3;6;11;20;7;2;26;19;4
23;25;9;13;24;16;12;21;15;1;14;17;5;10;22;8;18;3;6;11;20;7;2;26;19;4;1;5839803
1;5839803;23;25;9;13;24;16;12;21;15;1;14;17;5;10;22;8;18;3;6;11;20;7;2;26;19;4
23;20;9;13;24;16;12;21;15;1;14;17;5;10;22;8;18;3;6;11;25;7;2;26;19;4;1;5820238
1;5820238;23;20;9;13;24;16;12;21;15;1;14;17;5;10;22;8;18;3;6;11;25;7;2;26;19;4
23;20;9;13;24;16;6;21;15;1;14;17;5;10;22;8;18;3;12;11;25;7;2;26;19;4;1;5813061
1;5813061;23;20;9;13;24;16;6;21;15;1;14;17;5;10;22;8;18;3;12;11;25;7;2;26;19;4
23;20;21;13;24;16;6;9;15;1;14;17;5;10;22;8;18;3;12;11;25;7;2;26;19;4;1;5757979
1;5757979;23;20;21;13;24;16;6;9;15;1;14;17;5;10;22;8;18;3;12;11;25;7;2;26;19;4
23;20;21;13;24;16;6;9;15;1;14;17;5;10;22;8;26;3;12;11;25;7;2;18;19;4;1;5822663
1;5822663;23;20;21;13;24;16;6;9;15;1;14;17;5;10;22;8;26;3;12;11;25;7;2;18;19;4
23;20;21;10;24;16;6;9;15;1;14;17;5;13;22;8;26;3;12;11;25;7;2;18;19;4;1;5809329
1;5809329;23;20;21;10;24;16;6;9;15;1;14;17;5;13;22;8;26;3;12;11;25;7;2;18;19;4
23;21;20;10;24;16;6;9;15;1;14;17;5;13;22;8;26;3;12;11;25;7;2;18;19;4;1;5849800
2;5849800;23;21;20;10;24;16;6;9;15;1;14;17;5;13;22;8;26;3;12;11;25;7;2;18;19;4
23;21;20;10;24;16;6;9;15;22;14;17;5;13;1;8;26;3;12;11;25;7;2;18;19;4;2;5900683
2;5900683;23;21;20;10;24;16;6;9;15;22;14;17;5;13;1;8;26;3;12;11;25;7;2;18;19;4
23;3;20;10;24;16;6;9;15;22;14;17;5;13;1;8;26;21;12;11;25;7;2;18;19;4;2;5818149
2;5818149;23;3;20;10;24;16;6;9;15;22;14;17;5;13;1;8;26;21;12;11;25;7;2;18;19;4
23;3;20;10;24;16;26;9;15;22;14;17;5;13;1;8;6;21;12;11;25;7;2;18;19;4;2;5812728
2;5812728;23;3;20;10;24;16;26;9;15;22;14;17;5;13;1;8;6;21;12;11;25;7;2;18;19;4
23;3;20;10;24;16;12;9;15;22;14;17;5;13;1;8;6;21;26;11;25;7;2;18;19;4;2;5827916
2;5827916;23;3;20;10;24;16;12;9;15;22;14;17;5;13;1;8;6;21;26;11;25;7;2;18;19;4
23;3;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;11;25;7;2;18;19;4;2;5774651
2;5774651;23;3;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;11;25;7;2;18;19;4
23;3;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;18;25;7;2;11;19;4;2;5779306
2;5779306;23;3;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;18;25;7;2;11;19;4
23;11;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;18;25;7;2;3;19;4;2;5775927
2;5775927;23;11;20;10;24;16;12;9;15;22;14;17;5;13;26;8;6;21;1;18;25;7;2;3;19;4
23;11;20;10;26;16;12;9;15;22;14;17;5;13;24;8;6;21;1;18;25;7;2;3;19;4;2;5776102
2;5776102;23;11;20;10;26;16;12;9;15;22;14;17;5;13;24;8;6;21;1;18;25;7;2;3;19;4
23;11;20;10;26;2;12;9;15;22;14;17;5;13;24;8;6;21;1;18;25;7;16;3;19;4;2;5772756
2;5772756;23;11;20;10;26;2;12;9;15;22;14;17;5;13;24;8;6;21;1;18;25;7;16;3;19;4
6;11;20;10;26;2;12;9;15;22;14;17;5;13;24;8;23;21;1;18;25;7;16;3;19;4;2;5787492
2;5787492;6;11;20;10;26;2;12;9;15;22;14;17;5;13;24;8;23;21;1;18;25;7;16;3;19;4
6;11;20;10;26;2;12;9;15;22;14;17;5;13;23;8;24;21;1;18;25;7;16;3;19;4;2;5782949
2;5782949;6;11;20;10;26;2;12;9;15;22;14;17;5;13;23;8;24;21;1;18;25;7;16;3;19;4
6;11;20;10;25;2;12;9;15;22;14;17;5;13;23;8;24;21;1;18;26;7;16;3;19;4;2;5786304
2;5786304;6;11;20;10;25;2;12;9;15;22;14;17;5;13;23;8;24;21;1;18;26;7;16;3;19;4
6;11;20;10;25;2;12;9;15;22;14;23;5;13;17;8;24;21;1;18;26;7;16;3;19;4;2;5782061
2;5782061;6;11;20;10;25;2;12;9;15;22;14;23;5;13;17;8;24;21;1;18;26;7;16;3;19;4
6;11;20;10;25;2;12;9;17;22;14;23;5;13;15;8;24;21;1;18;26;7;16;3;19;4;2;5795308
2;5795308;6;11;20;10;25;2;12;9;17;22;14;23;5;13;15;8;24;21;1;18;26;7;16;3;19;4
6;11;20;10;25;19;12;9;17;22;14;23;5;13;15;8;24;21;1;18;26;7;16;3;2;4;2;5783319
2;5783319;6;11;20;10;25;19;12;9;17;22;14;23;5;13;15;8;24;21;1;18;26;7;16;3;2;4
6;11;20;10;25;19;13;9;17;22;14;23;5;12;15;8;24;21;1;18;26;7;16;3;2;4;2;5774594
2;5774594;6;11;20;10;25;19;13;9;17;22;14;23;5;12;15;8;24;21;1;18;26;7;16;3;2;4
6;11;20;10;25;5;13;9;17;22;14;23;19;12;15;8;24;21;1;18;26;7;16;3;2;4;2;5865394
2;5865394;6;11;20;10;25;5;13;9;17;22;14;23;19;12;15;8;24;21;1;18;26;7;16;3;2;4
6;11;20;10;25;5;13;9;17;22;24;23;19;12;15;8;14;21;1;18;26;7;16;3;2;4;2;5973360
2;5973360;6;11;20;10;25;5;13;9;17;22;24;23;19;12;15;8;14;21;1;18;26;7;16;3;2;4
6;11;20;10;25;5;13;9;17;21;24;23;19;12;15;8;14;22;1;18;26;7;16;3;2;4;2;5998574
2;5998574;6;11;20;10;25;5;13;9;17;21;24;23;19;12;15;8;14;22;1;18;26;7;16;3;2;4
20;11;6;10;25;5;13;9;17;21;24;23;19;12;15;8;14;22;1;18;26;7;16;3;2;4;2;5998893
3;5998893;20;11;6;10;25;5;13;9;17;21;24;23;19;12;15;8;14;22;1;18;26;7;16;3;2;4
20;11;6;10;25;5;13;8;17;21;24;23;19;12;15;9;14;22;1;18;26;7;16;3;2;4;3;6039890
3;6039890;20;11;6;10;25;5;13;8;17;21;24;23;19;12;15;9;14;22;1;18;26;7;16;3;2;4
20;11;6;10;25;5;22;8;17;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;4;3;6018475
3;6018475;20;11;6;10;25;5;22;8;17;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;4
20;11;6;10;25;5;22;8;4;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;17;3;5961052
3;5961052;20;11;6;10;25;5;22;8;4;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;17
20;11;6;10;25;5;17;8;4;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;22;3;5971679
3;5971679;20;11;6;10;25;5;17;8;4;21;24;23;19;12;15;9;14;13;1;18;26;7;16;3;2;22
20;11;6;10;25;5;17;8;4;21;24;14;19;12;15;9;23;13;1;18;26;7;16;3;2;22;3;5857944
3;5857944;20;11;6;10;25;5;17;8;4;21;24;14;19;12;15;9;23;13;1;18;26;7;16;3;2;22
20;11;6;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;2;22;3;5844126
3;5844126;20;11;6;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;2;22
2;11;6;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;20;22;3;5863546
3;5863546;2;11;6;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;20;22
2;11;20;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;6;22;3;5806343
3;5806343;2;11;20;10;25;5;17;8;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;6;22
2;11;20;10;25;5;8;17;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;6;22;3;5806081
3;5806081;2;11;20;10;25;5;8;17;4;9;24;14;19;12;15;21;23;13;1;18;26;7;16;3;6;22
2;11;20;10;25;5;8;17;4;9;16;14;19;12;15;21;23;13;1;18;26;7;24;3;6;22;3;5796589
3;5796589;2;11;20;10;25;5;8;17;4;9;16;14;19;12;15;21;23;13;1;18;26;7;24;3;6;22
2;11;20;10;25;5;8;17;4;9;16;14;26;12;15;21;23;13;1;18;19;7;24;3;6;22;3;5820686
3;5820686;2;11;20;10;25;5;8;17;4;9;16;14;26;12;15;21;23;13;1;18;19;7;24;3;6;22
2;11;20;10;25;5;8;19;4;9;16;14;26;12;15;21;23;13;1;18;17;7;24;3;6;22;3;5796016
3;5796016;2;11;20;10;25;5;8;19;4;9;16;14;26;12;15;21;23;13;1;18;17;7;24;3;6;22
2;11;20;10;25;5;8;19;4;9;26;14;16;12;15;21;23;13;1;18;17;7;24;3;6;22;3;5791935
3;5791935;2;11;20;10;25;5;8;19;4;9;26;14;16;12;15;21;23;13;1;18;17;7;24;3;6;22
2;11;20;10;8;5;25;19;4;9;26;14;16;12;15;21;23;13;1;18;17;7;24;3;6;22;3;5883212
3;5883212;2;11;20;10;8;5;25;19;4;9;26;14;16;12;15;21;23;13;1;18;17;7;24;3;6;22
2;11;20;10;8;5;25;19;4;9;26;14;16;12;15;21;23;13;18;1;17;7;24;3;6;22;3;5909688
3;5909688;2;11;20;10;8;5;25;19;4;9;26;14;16;12;15;21;23;13;18;1;17;7;24;3;6;22
2;11;20;10;4;5;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;3;6;22;3;5792748
3;5792748;2;11;20;10;4;5;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;3;6;22
2;3;20;10;4;5;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;11;6;22;3;5793865
3;5793865;2;3;20;10;4;5;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;11;6;22
2;3;5;10;4;20;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;11;6;22;3;5828745
3;5828745;2;3;5;10;4;20;25;19;8;9;26;14;16;12;15;21;23;13;18;1;17;7;24;11;6;22
2;3;5;10;4;15;25;19;8;9;26;14;16;12;20;21;23;13;18;1;17;7;24;11;6;22;3;5840560
3;5840560;2;3;5;10;4;15;25;19;8;9;26;14;16;12;20;21;23;13;18;1;17;7;24;11;6;22
2;3;5;10;4;15;25;19;8;9;26;14;16;12;20;21;23;13;18;11;17;7;24;1;6;22;3;5849835
4;5849835;2;3;5;10;4;15;25;19;8;9;26;14;16;12;20;21;23;13;18;11;17;7;24;1;6;22
2;3;5;10;4;15;25;19;8;9;26;1;16;12;20;21;23;13;18;11;17;7;24;14;6;22;4;5921874
4;5921874;2;3;5;10;4;15;25;19;8;9;26;1;16;12;20;21;23;13;18;11;17;7;24;14;6;22
2;3;5;10;19;15;25;4;8;9;26;1;16;12;20;21;23;13;18;11;17;7;24;14;6;22;4;5924756
4;5924756;2;3;5;10;19;15;25;4;8;9;26;1;16;12;20;21;23;13;18;11;17;7;24;14;6;22
2;3;5;10;19;15;25;4;8;9;24;1;16;12;20;21;23;13;18;11;17;7;26;14;6;22;4;5933938
4;5933938;2;3;5;10;19;15;25;4;8;9;24;1;16;12;20;21;23;13;18;11;17;7;26;14;6;22
2;3;5;12;19;15;25;4;8;9;24;1;16;10;20;21;23;13;18;11;17;7;26;14;6;22;4;5963084
4;5963084;2;3;5;12;19;15;25;4;8;9;24;1;16;10;20;21;23;13;18;11;17;7;26;14;6;22
2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;18;11;17;7;26;14;6;22;4;5962030
4;5962030;2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;18;11;17;7;26;14;6;22
2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;11;18;17;7;26;14;6;22;4;6085269
4;6085269;2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;11;18;17;7;26;14;6;22
2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;6;18;17;7;26;14;11;22;4;6082100
4;6082100;2;3;5;12;19;15;25;4;8;9;13;1;16;10;20;21;23;24;6;18;17;7;26;14;11;22
2;3;5;12;19;15;25;4;8;9;7;1;16;10;20;21;23;24;6;18;17;13;26;14;11;22;4;6039395
4;6039395;2;3;5;12;19;15;25;4;8;9;7;1;16;10;20;21;23;24;6;18;17;13;26;14;11;22
2;3;5;12;19;15;25;4;8;9;7;1;16;22;20;21;23;24;6;18;17;13;26;14;11;10;4;6026050
4;6026050;2;3;5;12;19;15;25;4;8;9;7;1;16;22;20;21;23;24;6;18;17;13;26;14;11;10
2;23;5;12;19;15;25;4;8;9;7;1;16;22;20;21;3;24;6;18;17;13;26;14;11;10;4;6063852
4;6063852;2;23;5;12;19;15;25;4;8;9;7;1;16;22;20;21;3;24;6;18;17;13;26;14;11;10
2;23;5;12;19;15;25;21;8;9;7;1;16;22;20;4;3;24;6;18;17;13;26;14;11;10;4;6061837
4;6061837;2;23;5;12;19;15;25;21;8;9;7;1;16;22;20;4;3;24;6;18;17;13;26;14;11;10
2;23;5;12;19;15;25;21;8;9;7;11;16;22;20;4;3;24;6;18;17;13;26;14;1;10;4;6032940
4;6032940;2;23;5;12;19;15;25;21;8;9;7;11;16;22;20;4;3;24;6;18;17;13;26;14;1;10
2;22;5;12;19;15;25;21;8;9;7;11;16;23;20;4;3;24;6;18;17;13;26;14;1;10;4;6030643
4;6030643;2;22;5;12;19;15;25;21;8;9;7;11;16;23;20;4;3;24;6;18;17;13;26;14;1;10
2;7;5;12;19;15;25;21;8;9;22;11;16;23;20;4;3;24;6;18;17;13;26;14;1;10;4;6050881
4;6050881;2;7;5;12;19;15;25;21;8;9;22;11;16;23;20;4;3;24;6;18;17;13;26;14;1;10
2;7;5;12;16;15;25;21;8;9;22;11;19;23;20;4;3;24;6;18;17;13;26;14;1;10;4;6019962
4;6019962;2;7;5;12;16;15;25;21;8;9;22;11;19;23;20;4;3;24;6;18;17;13;26;14;1;10
2;7;5;12;16;15;25;21;8;9;14;11;19;23;20;4;3;24;6;18;17;13;26;22;1;10;4;5921871
4;5921871;2;7;5;12;16;15;25;21;8;9;14;11;19;23;20;4;3;24;6;18;17;13;26;22;1;10
2;7;5;12;16;18;25;21;8;9;14;11;19;23;20;4;3;24;6;15;17;13;26;22;1;10;4;5898090
4;5898090;2;7;5;12;16;18;25;21;8;9;14;11;19;23;20;4;3;24;6;15;17;13;26;22;1;10
2;7;14;12;16;18;25;21;8;9;5;11;19;23;20;4;3;24;6;15;17;13;26;22;1;10;4;5815852
4;5815852;2;7;14;12;16;18;25;21;8;9;5;11;19;23;20;4;3;24;6;15;17;13;26;22;1;10
2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;4;3;24;6;15;17;8;26;22;1;10;4;5789215
4;5789215;2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;4;3;24;6;15;17;8;26;22;1;10
2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;4;3;24;6;17;15;8;26;22;1;10;4;5788837
5;5788837;2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;4;3;24;6;17;15;8;26;22;1;10
2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;17;3;24;6;4;15;8;26;22;1;10;5;5824858
5;5824858;2;7;14;12;16;18;25;21;13;9;5;11;19;23;20;17;3;24;6;4;15;8;26;22;1;10
2;7;14;12;16;18;25;21;13;4;5;11;19;23;20;17;3;24;6;9;15;8;26;22;1;10;5;5961377
5;5961377;2;7;14;12;16;18;25;21;13;4;5;11;19;23;20;17;3;24;6;9;15;8;26;22;1;10
2;7;14;12;16;18;25;13;21;4;5;11;19;23;20;17;3;24;6;9;15;8;26;22;1;10;5;5968837
5;5968837;2;7;14;12;16;18;25;13;21;4;5;11;19;23;20;17;3;24;6;9;15;8;26;22;1;10
2;7;14;12;16;18;25;26;21;4;5;11;19;23;20;17;3;24;6;9;15;8;13;22;1;10;5;5981081
5;5981081;2;7;14;12;16;18;25;26;21;4;5;11;19;23;20;17;3;24;6;9;15;8;13;22;1;10
2;7;14;12;16;18;25;26;21;4;5;11;19;23;20;13;3;24;6;9;15;8;17;22;1;10;5;5957611
5;5957611;2;7;14;12;16;18;25;26;21;4;5;11;19;23;20;13;3;24;6;9;15;8;17;22;1;10
2;7;14;12;16;18;24;26;21;4;5;11;19;23;20;13;3;25;6;9;15;8;17;22;1;10;5;5957487
5;5957487;2;7;14;12;16;18;24;26;21;4;5;11;19;23;20;13;3;25;6;9;15;8;17;22;1;10
2;7;14;16;12;18;24;26;21;4;5;11;19;23;20;13;3;25;6;9;15;8;17;22;1;10;5;5957467
5;5957467;2;7;14;16;12;18;24;26;21;4;5;11;19;23;20;13;3;25;6;9;15;8;17;22;1;10
2;9;14;16;12;18;24;26;21;4;5;11;19;23;20;13;3;25;6;7;15;8;17;22;1;10;5;5928496
5;5928496;2;9;14;16;12;18;24;26;21;4;5;11;19;23;20;13;3;25;6;7;15;8;17;22;1;10
2;9;14;16;12;18;24;26;21;4;5;11;19;10;20;13;3;25;6;7;15;8;17;22;1;23;5;5924907
5;5924907;2;9;14;16;12;18;24;26;21;4;5;11;19;10;20;13;3;25;6;7;15;8;17;22;1;23
2;9;17;16;12;18;24;26;21;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;1;23;5;5967827
5;5967827;2;9;17;16;12;18;24;26;21;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;1;23
2;9;17;16;12;18;24;26;1;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;21;23;5;5957058
5;5957058;2;9;17;16;12;18;24;26;1;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;21;23
2;9;1;16;12;18;24;26;17;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;21;23;5;6018823
5;6018823;2;9;1;16;12;18;24;26;17;4;5;11;19;10;20;13;3;25;6;7;15;8;14;22;21;23
2;9;1;16;12;18;24;26;17;4;5;21;19;10;20;13;3;25;6;7;15;8;14;22;11;23;5;6009870
5;6009870;2;9;1;16;12;18;24;26;17;4;5;21;19;10;20;13;3;25;6;7;15;8;14;22;11;23
2;9;1;16;12;18;10;26;17;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;23;5;6008356
5;6008356;2;9;1;16;12;18;10;26;17;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;23
2;9;1;12;16;18;10;26;17;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;23;5;6008356
5;6008356;2;9;1;12;16;18;10;26;17;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;23
2;9;1;12;16;18;10;26;23;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;17;5;6005785
5;6005785;2;9;1;12;16;18;10;26;23;4;5;21;19;24;20;13;3;25;6;7;15;8;14;22;11;17
2;9;1;12;16;18;10;26;23;4;5;21;19;24;25;13;3;20;6;7;15;8;14;22;11;17;5;5919283
5;5919283;2;9;1;12;16;18;10;26;23;4;5;21;19;24;25;13;3;20;6;7;15;8;14;22;11;17
21;9;1;12;16;18;10;26;23;4;5;2;19;24;25;13;3;20;6;7;15;8;14;22;11;17;5;5914967
5;5914967;21;9;1;12;16;18;10;26;23;4;5;2;19;24;25;13;3;20;6;7;15;8;14;22;11;17
21;9;1;12;16;18;10;26;23;4;5;2;19;24;25;13;3;20;6;7;15;8;11;22;14;17;5;5701983
5;5701983;21;9;1;12;16;18;10;26;23;4;5;2;19;24;25;13;3;20;6;7;15;8;11;22;14;17
21;5;1;12;16;18;10;26;23;4;9;2;19;24;25;13;3;20;6;7;15;8;11;22;14;17;5;5739890
6;5739890;21;5;1;12;16;18;10;26;23;4;9;2;19;24;25;13;3;20;6;7;15;8;11;22;14;17
21;5;1;12;16;18;10;26;23;4;9;2;19;24;7;13;3;20;6;25;15;8;11;22;14;17;6;5725016
6;5725016;21;5;1;12;16;18;10;26;23;4;9;2;19;24;7;13;3;20;6;25;15;8;11;22;14;17
21;5;1;12;16;18;10;26;13;4;9;2;19;24;7;23;3;20;6;25;15;8;11;22;14;17;6;5724842
6;5724842;21;5;1;12;16;18;10;26;13;4;9;2;19;24;7;23;3;20;6;25;15;8;11;22;14;17
21;5;1;12;16;18;10;26;13;4;9;2;19;24;7;23;3;6;20;25;15;8;11;22;14;17;6;5724942
6;5724942;21;5;1;12;16;18;10;26;13;4;9;2;19;24;7;23;3;6;20;25;15;8;11;22;14;17
21;5;1;12;16;18;10;26;13;4;9;2;19;24;22;23;3;6;20;25;15;8;11;7;14;17;6;5736558
6;5736558;21;5;1;12;16;18;10;26;13;4;9;2;19;24;22;23;3;6;20;25;15;8;11;7;14;17
21;5;1;12;16;18;10;26;13;4;2;9;19;24;22;23;3;6;20;25;15;8;11;7;14;17;6;5778125
6;5778125;21;5;1;12;16;18;10;26;13;4;2;9;19;24;22;23;3;6;20;25;15;8;11;7;14;17
21;5;1;13;16;18;10;26;12;4;2;9;19;24;22;23;3;6;20;25;15;8;11;7;14;17;6;5761616
6;5761616;21;5;1;13;16;18;10;26;12;4;2;9;19;24;22;23;3;6;20;25;15;8;11;7;14;17
21;5;1;13;16;18;10;26;12;4;2;9;19;3;22;23;24;6;20;25;15;8;11;7;14;17;6;5826106
6;5826106;21;5;1;13;16;18;10;26;12;4;2;9;19;3;22;23;24;6;20;25;15;8;11;7;14;17
21;5;1;13;16;18;10;17;12;4;2;9;19;3;22;23;24;6;20;25;15;8;11;7;14;26;6;5829723
6;5829723;21;5;1;13;16;18;10;17;12;4;2;9;19;3;22;23;24;6;20;25;15;8;11;7;14;26
21;5;1;13;11;18;10;17;12;4;2;9;19;3;22;23;24;6;20;25;15;8;16;7;14;26;6;5830650
