"X1";"X272";"X51";"X35";"X12";"X5";"X54";"X24";"X4";"X26";"X11";"X9";"X62";"X7";"X27";"X63";"X49";"X23";"X17";"X1.1";"X40";"X46";"X57";"X39";"X25";"X56";"X42";"X10";"X47";"X44";"X2";"X28";"X41";"X36";"X53";"X20";"X38";"X18";"X19";"X64";"X22";"X21";"X48";"X29";"X61";"X55";"X30";"X58";"X3";"X32";"X50";"X8";"X15";"X34";"X37";"X33";"X52";"X16";"X45";"X59";"X13";"X6";"X43";"X31";"X60";"X14"
1;272;51;35;12;5;54;24;4;26;11;9;62;7;27;63;49;23;17;1;40;46;57;39;25;56;42;10;47;44;2;28;41;36;53;20;38;18;19;64;22;21;48;29;61;55;30;58;3;32;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;24;4;26;11;9;62;7;27;63;49;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;32;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;276
1;276;51;35;12;5;54;24;4;26;11;9;62;7;27;63;49;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;32;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;24;4;26;11;9;62;7;32;63;49;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;276
1;276;51;35;12;5;54;24;4;26;11;9;62;7;32;63;49;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;49;4;26;11;9;62;7;32;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;276
1;276;51;35;12;5;54;49;4;26;11;9;62;7;32;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;21;48;29;61;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;49;4;26;11;9;62;7;32;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;276
1;276;51;35;12;5;54;49;4;26;11;9;62;7;32;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;30;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;49;4;26;11;9;62;7;30;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;276
1;276;51;35;12;5;54;49;4;26;11;9;62;7;30;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;49;4;26;11;9;30;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;272
1;272;51;35;12;5;54;49;4;26;11;9;30;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;30;4;26;11;9;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14;1;272
1;272;51;35;12;5;54;30;4;26;11;9;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;52;16;45;59;13;6;43;31;60;14
51;35;12;5;54;30;4;26;11;52;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;9;16;45;59;13;6;43;31;60;14;1;268
1;268;51;35;12;5;54;30;4;26;11;52;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;10;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;9;16;45;59;13;6;43;31;60;14
51;35;12;5;54;30;4;26;11;52;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;9;16;45;59;13;6;43;31;10;14;1;268
1;268;51;35;12;5;54;30;4;26;11;52;49;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;37;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;52;37;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14;1;284
1;284;51;35;12;5;54;30;4;26;11;52;37;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;20;38;18;19;64;22;61;48;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;52;37;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;48;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14;1;284
1;284;51;35;12;5;54;30;4;26;11;52;37;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;48;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;37;52;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;48;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14;1;272
1;272;51;35;12;5;54;30;4;26;11;37;52;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;48;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14;1;284
1;284;51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;44;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;3;27;50;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;3;27;44;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14;1;288
1;288;51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;3;27;44;8;15;34;49;33;9;16;45;59;13;6;43;31;10;14
51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;13;6;43;31;10;14;1;288
1;288;51;35;12;5;54;30;4;26;11;37;48;7;62;63;24;23;17;1;40;46;57;39;25;56;42;60;47;50;55;28;41;36;53;52;38;18;19;64;22;61;20;29;21;2;32;58;15;27;44;8;3;34;49;33;9;16;45;59;13;6;43;31;10;14
