"X1";"X264";"X56";"X43";"X30";"X4";"X14";"X19";"X58";"X7";"X52";"X9";"X17";"X2";"X13";"X5";"X23";"X26";"X42";"X18";"X20";"X6";"X35";"X45";"X46";"X3";"X10";"X62";"X33";"X64";"X61";"X38";"X48";"X21";"X34";"X32";"X39";"X53";"X51";"X50";"X60";"X41";"X8";"X47";"X15";"X31";"X16";"X40";"X55";"X59";"X49";"X24";"X25";"X63";"X37";"X44";"X22";"X12";"X54";"X27";"X1.1";"X11";"X28";"X36";"X29";"X57"
1;264;56;43;30;4;14;19;58;7;52;9;17;2;13;5;23;26;42;18;20;6;35;45;46;3;10;62;33;64;61;38;48;21;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;28;36;29;57
56;43;30;4;14;19;58;7;52;9;17;2;13;5;28;26;42;18;20;6;35;45;46;3;10;62;33;64;61;38;48;21;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57;1;282
1;282;56;43;30;4;14;19;58;7;52;9;17;2;13;5;28;26;42;18;20;6;35;45;46;3;10;62;33;64;61;38;48;21;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;26;42;43;20;6;35;45;46;3;10;62;33;64;61;38;48;21;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57;1;282
1;282;56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;26;42;43;20;6;35;45;46;3;10;62;33;64;61;38;48;21;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;38;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57;1;280
1;280;56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;38;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;55;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57;1;280
1;280;56;18;30;4;14;19;58;7;52;9;17;2;13;5;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57;1;280
1;280;56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;21;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;25;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;25;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;11;23;36;29;57;1;280
1;280;56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;25;42;43;20;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;11;23;36;29;57
56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;20;23;36;29;57;1;280
1;280;56;18;30;4;14;19;5;7;52;9;17;2;13;58;28;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;20;23;36;29;57
56;18;30;4;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;20;28;36;29;57;1;286
1;286;56;18;30;4;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;1;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;4;20;28;36;29;57;1;282
1;282;56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;55;48;26;34;32;39;53;51;50;60;41;8;47;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;4;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;4;20;28;36;29;57;1;282
1;282;56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;25;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;12;54;27;4;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;27;4;20;28;36;29;57;1;282
1;282;56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;27;4;20;28;36;29;57
6;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;56;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;27;4;20;28;36;29;57;1;296
1;282;56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;27;4;20;28;36;29;57
56;18;30;1;14;19;5;7;52;9;17;2;13;58;23;12;42;43;11;6;35;45;46;3;10;62;33;64;61;47;48;26;34;32;39;53;51;50;60;41;8;55;15;31;16;40;38;59;49;24;21;63;37;44;22;25;54;4;27;20;28;36;29;57;1;282
