"X1";"X292";"X38";"X34";"X16";"X5";"X30";"X39";"X48";"X49";"X57";"X7";"X46";"X17";"X13";"X61";"X42";"X26";"X33";"X22";"X20";"X59";"X21";"X36";"X11";"X19";"X53";"X64";"X58";"X31";"X50";"X4";"X45";"X52";"X9";"X25";"X62";"X1.1";"X41";"X14";"X37";"X8";"X3";"X43";"X27";"X6";"X54";"X29";"X12";"X28";"X55";"X24";"X32";"X44";"X51";"X60";"X40";"X23";"X35";"X2";"X15";"X63";"X18";"X56";"X10";"X47"
1;292;38;34;16;5;30;39;48;49;57;7;46;17;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;50;4;45;52;9;25;62;1;41;14;37;8;3;43;27;6;54;29;12;28;55;24;32;44;51;60;40;23;35;2;15;63;18;56;10;47
38;34;16;5;30;39;48;49;57;7;46;17;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;4;45;52;9;25;62;1;41;14;37;8;3;43;27;6;54;29;12;28;55;24;32;44;51;60;40;50;35;2;15;63;18;56;10;47;1;292
1;292;38;34;16;5;30;39;48;49;57;7;46;17;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;4;45;52;9;25;62;1;41;14;37;8;3;43;27;6;54;29;12;28;55;24;32;44;51;60;40;50;35;2;15;63;18;56;10;47
38;34;16;5;30;39;48;49;57;7;46;17;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;51;60;40;50;35;2;15;63;18;56;10;47;1;288
1;288;38;34;16;5;30;39;48;49;57;7;46;17;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;51;60;40;50;35;2;15;63;18;56;10;47
38;34;16;5;30;39;48;49;57;7;46;51;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;56;10;47;1;288
1;288;38;34;16;5;30;39;48;49;57;7;46;51;13;61;42;26;33;22;20;59;21;36;11;19;53;64;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;56;10;47
38;34;16;5;30;39;48;49;57;7;46;64;13;61;42;26;33;22;20;59;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;56;10;47;1;288
1;288;38;34;16;5;30;39;48;49;57;7;46;64;13;61;42;26;33;22;20;59;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;56;10;47
38;34;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;22;20;59;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47;1;288
1;288;38;34;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;22;20;59;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47
38;34;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;59;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47;1;282
1;282;38;34;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;59;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47;1;282
1;282;38;59;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;4;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;50;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47;1;282
1;282;38;59;16;5;30;39;48;49;57;7;46;56;13;61;42;26;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47;1;290
