"X1";"X302";"X14";"X18";"X37";"X53";"X30";"X50";"X9";"X24";"X29";"X58";"X49";"X5";"X57";"X7";"X12";"X62";"X8";"X41";"X43";"X13";"X34";"X44";"X35";"X48";"X32";"X39";"X21";"X4";"X20";"X52";"X40";"X11";"X19";"X2";"X38";"X61";"X42";"X6";"X60";"X51";"X17";"X59";"X31";"X26";"X45";"X1.1";"X3";"X47";"X15";"X27";"X22";"X56";"X63";"X46";"X33";"X23";"X28";"X36";"X64";"X55";"X16";"X54";"X10";"X25"
1;302;14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;21;4;20;52;40;11;19;2;38;61;42;6;60;51;17;59;31;26;45;1;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;20;52;40;21;19;2;38;61;42;6;60;51;17;59;31;26;45;1;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25;1;294
1;294;14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;20;52;40;21;19;2;38;61;42;6;60;51;17;59;31;26;45;1;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;21;19;2;38;61;42;6;60;51;17;59;31;26;45;1;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25;1;294
1;294;14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;21;19;2;38;61;42;6;60;51;17;59;31;26;45;1;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;21;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25;1;294
1;294;14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;21;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;22;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;55;16;54;10;25;1;292
1;292;14;18;37;53;30;50;9;24;29;58;49;5;57;7;12;62;8;41;43;13;34;44;35;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;30;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;55;16;54;10;25;1;272
1;272;14;18;37;53;30;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;55;16;54;10;25
14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;16;54;10;25;1;272
1;272;14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;22;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;16;54;10;25
14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;16;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25;1;270
1;270;14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;16;19;2;38;61;42;6;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25
14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;16;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25;1;282
1;282;14;18;37;53;55;50;9;24;29;58;49;5;57;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;16;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25
14;18;37;53;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25;1;288
1;288;14;18;37;53;55;50;9;24;29;58;49;5;16;35;12;62;8;41;43;13;34;44;7;48;32;39;11;4;40;52;20;57;19;2;38;61;6;42;60;1;17;59;31;26;45;51;3;47;15;27;21;56;63;46;33;23;28;36;64;30;22;54;10;25
