"X28L";"X22L";"X47L";"X41L";"X5L";"X4L";"X48L";"X36L";"X21L";"X35L";"X30L";"X34L";"X49L";"X10L";"X46L";"X37L";"X39L";"X8L";"X59L";"X24L";"X12L";"X45L";"X42L";"X44L";"X60L";"X54L";"X50L";"X64L";"X57L";"X6L";"X18L";"X27L";"X56L";"X55L";"X33L";"X16L";"X31L";"X40L";"X13L";"X15L";"X23L";"X11L";"X51L";"X9L";"X52L";"X2L";"X17L";"X61L";"X63L";"X1L";"X53L";"X58L";"X29L";"X14L";"X43L";"X32L";"X19L";"X7L";"X38L";"X26L";"X20L";"X25L";"X62L";"X3L"
28;22;47;41;5;4;48;36;21;35;30;34;49;10;46;37;39;8;59;24;12;45;42;44;60;54;50;64;57;6;18;27;56;55;33;16;31;40;13;15;23;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;47;41;5;4;48;36;21;35;30;34;49;10;46;37;39;8;59;24;12;45;42;44;60;54;50;64;57;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;47;41;5;4;48;36;21;35;30;34;49;10;46;37;39;8;59;24;12;45;42;44;60;54;50;64;57;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;37;41;5;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;57;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;37;41;5;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;57;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
28;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;7;38;26;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;28;38;26;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;6;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;28;38;26;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;55;11;51;9;52;2;17;61;63;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;55;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;59;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;55;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;37;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;50;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;57;4;48;36;21;35;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;34;49;10;46;47;39;8;55;24;12;45;42;44;60;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;60;49;10;46;47;39;8;55;24;12;45;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;60;49;10;46;47;39;8;55;24;12;45;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;17;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;60;49;10;46;47;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;22;50;41;35;4;48;36;21;57;30;60;49;10;46;47;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;48;36;21;57;30;22;49;10;46;47;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;48;36;21;57;30;22;49;10;46;47;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;48;36;21;57;47;22;49;10;46;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;48;36;21;57;47;22;49;10;46;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;52;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;52;36;21;57;47;22;49;10;46;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;52;36;21;57;47;22;49;10;46;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;9;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;52;36;21;57;47;22;49;10;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;52;36;21;57;47;22;49;10;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;3
7;60;50;41;35;4;52;36;21;57;47;3;49;10;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;22
7;60;50;41;35;4;52;36;21;57;47;3;49;10;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;61;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;22
7;60;50;41;35;4;52;36;21;57;47;3;49;61;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;22
7;60;50;41;35;4;52;36;21;57;47;3;49;61;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;22
7;60;50;41;35;4;22;36;21;57;47;3;49;61;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;52
7;60;50;41;35;4;22;36;21;57;47;3;49;61;9;30;39;8;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;52
7;60;50;41;35;4;8;36;21;57;47;3;49;61;9;30;39;22;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;52
7;60;50;41;35;4;8;36;21;57;47;3;49;61;9;30;39;22;55;24;12;17;42;44;34;54;37;64;5;26;18;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;52
7;60;50;41;35;4;8;36;21;57;47;3;49;61;9;30;39;22;55;24;12;17;42;44;34;54;37;64;18;26;5;27;56;23;33;16;31;40;13;15;63;11;51;46;48;2;45;10;59;1;53;58;29;14;43;32;19;28;38;6;20;25;62;52
