"X1";"X302";"X51";"X57";"X49";"X33";"X34";"X25";"X28";"X46";"X60";"X64";"X17";"X55";"X8";"X59";"X44";"X21";"X38";"X10";"X24";"X2";"X39";"X3";"X13";"X11";"X48";"X12";"X31";"X62";"X18";"X63";"X61";"X14";"X15";"X35";"X22";"X9";"X45";"X27";"X6";"X7";"X53";"X5";"X37";"X16";"X56";"X36";"X54";"X52";"X32";"X4";"X30";"X50";"X23";"X19";"X29";"X40";"X1.1";"X47";"X43";"X20";"X26";"X58";"X41";"X42"
1;302;51;57;49;33;34;25;28;46;60;64;17;55;8;59;44;21;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;54;52;32;4;30;50;23;19;29;40;1;47;43;20;26;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;21;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;54;52;32;4;30;50;23;19;29;40;1;47;43;20;55;58;41;42;1;302
1;302;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;21;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;54;52;32;4;30;50;23;19;29;40;1;47;43;20;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;21;52;32;4;30;50;23;19;29;40;1;47;43;20;55;58;41;42;1;302
1;302;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;21;52;32;4;30;50;23;19;29;40;1;47;43;20;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;302
1;302;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;31;62;18;63;61;14;15;35;22;9;45;27;6;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;294
1;294;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;56;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;10;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;294
1;294;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;56;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;10;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;294
1;294;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;11;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;52;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;294
1;294;51;57;49;33;34;25;28;46;60;64;17;26;8;59;44;54;38;10;24;2;39;3;13;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;10;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;290
1;290;51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;10;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;21;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;10;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42;1;290
1;290;51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;27;31;7;53;5;37;16;56;36;10;11;32;4;30;20;23;19;29;40;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;37;16;56;36;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42;1;290
1;290;51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;3;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;37;16;56;36;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42
51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;37;16;56;3;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42;1;290
1;290;51;57;49;33;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;37;16;56;3;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42
51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;33;16;56;3;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42;1;290
1;290;51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;45;40;31;7;53;5;33;16;56;3;10;11;32;4;30;20;23;19;29;27;1;47;43;50;55;58;41;42
51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;47;40;31;7;53;5;33;16;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42;1;290
1;290;51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;61;14;15;35;22;9;47;40;31;7;53;5;33;16;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42
51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;33;61;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42;1;290
