"X1";"X288";"X18";"X49";"X56";"X39";"X25";"X51";"X61";"X19";"X57";"X5";"X34";"X52";"X11";"X60";"X26";"X12";"X33";"X35";"X31";"X21";"X58";"X40";"X45";"X50";"X54";"X13";"X1.1";"X10";"X23";"X32";"X29";"X27";"X16";"X53";"X3";"X37";"X47";"X48";"X44";"X6";"X4";"X59";"X62";"X46";"X15";"X42";"X38";"X30";"X20";"X17";"X7";"X24";"X64";"X22";"X43";"X36";"X2";"X28";"X14";"X63";"X8";"X41";"X55";"X9"
1;288;18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;13;1;10;23;32;29;27;16;53;3;37;47;48;44;6;4;59;62;46;15;42;38;30;20;17;7;24;64;22;43;36;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;53;3;37;47;48;44;6;4;59;62;46;15;42;38;30;20;17;7;24;64;22;13;36;2;28;14;63;8;41;55;9;1;288
1;288;18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;53;3;37;47;48;44;6;4;59;62;46;15;42;38;30;20;17;7;24;64;22;13;36;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;53;3;37;47;48;44;6;24;59;62;46;15;42;38;30;20;17;7;4;64;22;13;36;2;28;14;63;8;41;55;9;1;288
1;288;18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;53;3;37;47;48;44;6;24;59;62;46;15;42;38;30;20;17;7;4;64;22;13;36;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;64;3;37;47;48;44;6;24;59;62;46;15;42;38;30;20;17;7;4;53;22;13;36;2;28;14;63;8;41;55;9;1;288
1;288;18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;64;3;37;47;48;44;6;24;59;62;46;15;42;38;30;20;17;7;4;53;22;13;36;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;64;3;37;47;48;44;6;24;59;62;46;15;42;36;30;20;17;7;4;53;22;13;38;2;28;14;63;8;41;55;9;1;288
1;288;18;49;56;39;25;51;61;19;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;16;64;3;37;47;48;44;6;24;59;62;46;15;42;36;30;20;17;7;4;53;22;13;38;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;6;24;59;62;46;15;42;36;30;20;17;7;4;53;22;13;38;2;28;14;63;8;41;55;9;1;280
1;280;18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;6;24;59;62;46;15;42;36;30;20;17;7;4;53;22;13;38;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;53;22;6;38;2;28;14;63;8;41;55;9;1;280
1;280;18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;45;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;53;22;6;38;2;28;14;63;8;41;55;9
18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;53;22;6;38;2;28;14;63;8;45;55;9;1;280
1;280;18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;53;22;6;38;2;28;14;63;8;45;55;9
18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9;1;280
1;280;18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;27;19;64;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9
18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9;1;282
1;282;18;49;56;39;25;51;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9
18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9;1;282
1;282;18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;24;59;62;46;15;42;36;30;20;17;7;4;2;22;6;38;53;28;14;63;8;45;55;9
18;49;51;39;25;56;61;16;57;5;34;52;11;60;26;12;33;35;31;21;58;40;41;50;54;43;1;10;23;32;29;64;19;27;3;37;47;48;44;13;7;59;62;46;15;42;36;30;20;17;24;4;2;22;6;38;53;28;14;63;8;45;55;9;1;282
