"X1";"X286";"X38";"X39";"X9";"X32";"X14";"X22";"X43";"X44";"X18";"X21";"X58";"X42";"X29";"X16";"X1.1";"X10";"X36";"X25";"X23";"X8";"X15";"X62";"X28";"X56";"X20";"X37";"X11";"X64";"X31";"X34";"X55";"X59";"X7";"X46";"X52";"X17";"X33";"X24";"X47";"X3";"X51";"X40";"X4";"X49";"X45";"X26";"X61";"X53";"X6";"X60";"X5";"X57";"X50";"X48";"X12";"X19";"X27";"X2";"X54";"X41";"X30";"X35";"X13";"X63"
1;286;38;39;9;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;56;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;40;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;54;41;30;35;13;63
38;39;9;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;54;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;40;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;30;35;13;63;1;286
1;286;38;39;9;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;54;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;40;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;30;35;13;63
38;39;9;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;30;35;13;63;1;286
1;286;38;39;9;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;30;35;13;63
38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;9;35;13;63;1;288
1;288;38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;27;2;56;41;9;35;13;63
38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;13;63;1;288
1;288;38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;33;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;13;63
38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;33;63;1;292
1;292;38;39;30;32;14;22;43;44;18;21;58;42;29;16;1;10;36;25;23;8;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;18;21;58;8;29;16;1;10;36;25;23;42;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;33;63;1;300
1;300;38;39;30;32;14;22;43;44;18;21;58;8;29;16;1;10;36;25;23;42;15;62;28;40;20;37;11;64;31;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;19;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;18;21;58;8;29;16;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63;1;300
1;300;38;39;30;32;14;22;43;44;18;21;58;8;29;16;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;55;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;18;21;58;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63;1;296
1;296;38;39;30;32;14;22;43;44;18;21;58;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;21;18;58;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63;1;288
1;288;38;39;30;32;14;22;43;44;21;18;58;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;13;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;58;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63;1;288
1;288;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;58;24;47;3;51;54;4;49;45;26;61;53;6;60;5;57;50;48;12;31;56;2;27;41;9;35;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;35;33;63;1;292
1;292;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;64;19;34;16;59;7;46;52;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;35;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;46;19;34;16;59;7;64;52;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;35;33;63;1;292
1;292;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;46;19;34;16;59;7;64;52;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;35;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;46;19;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;52;33;63;1;288
1;288;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;37;11;46;19;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;52;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;52;33;63;1;288
1;288;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;12;31;56;2;26;41;9;52;33;63
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12;1;288
1;288;38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;49;45;27;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12
38;39;30;32;14;22;43;44;21;18;13;8;29;55;1;10;36;25;23;42;15;62;28;40;20;19;11;46;37;34;16;59;7;64;35;17;58;24;47;3;51;54;4;27;45;49;61;53;6;60;5;57;50;48;63;31;56;2;26;41;9;52;33;12;1;288
