"X1";"X258";"X24";"X25";"X21";"X10";"X26";"X64";"X34";"X6";"X16";"X11";"X55";"X18";"X13";"X50";"X32";"X12";"X30";"X19";"X40";"X57";"X35";"X61";"X45";"X43";"X3";"X15";"X56";"X60";"X58";"X37";"X5";"X59";"X41";"X28";"X49";"X2";"X38";"X22";"X48";"X33";"X29";"X53";"X54";"X14";"X4";"X42";"X46";"X20";"X1.1";"X39";"X23";"X47";"X51";"X52";"X63";"X8";"X44";"X9";"X62";"X7";"X36";"X31";"X17";"X27"
1;258;24;25;21;10;26;64;34;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;41;28;49;2;38;22;48;33;29;53;54;14;4;42;46;20;1;39;23;47;51;52;63;8;44;9;62;7;36;31;17;27
24;25;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;33;29;53;54;14;4;42;46;20;1;39;23;47;51;52;63;8;44;9;62;7;36;31;17;27;1;258
1;258;24;25;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;33;29;53;54;14;4;42;46;20;1;39;23;47;51;52;63;8;44;9;62;7;36;31;17;27
24;46;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;33;29;53;54;14;4;42;25;20;1;39;23;47;51;52;63;8;44;9;62;7;36;31;17;27;1;258
1;258;24;46;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;33;29;53;54;14;4;42;25;20;1;39;23;47;51;52;63;8;44;9;62;7;36;31;17;27
24;46;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;17;27;1;258
1;258;24;46;21;10;26;64;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;17;27
24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27;1;274
1;274;24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;34;28;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27
24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27;1;278
1;278;24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;2;38;22;48;23;29;53;54;14;4;42;25;20;1;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27
24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;2;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27;1;296
1;296;24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;2;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;8;44;9;62;7;36;31;64;27
24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;62;7;36;31;64;27;1;296
1;296;24;46;21;10;26;17;41;6;16;11;55;18;13;50;32;12;30;19;40;57;35;61;45;43;3;15;56;60;58;37;5;59;28;34;49;8;38;22;1;23;29;53;54;14;4;42;25;20;48;39;33;47;51;52;63;2;44;9;62;7;36;31;64;27
