"X1";"X254";"X31";"X62";"X40";"X53";"X37";"X41";"X61";"X18";"X17";"X22";"X50";"X8";"X55";"X38";"X16";"X47";"X9";"X49";"X2";"X63";"X46";"X35";"X57";"X24";"X25";"X29";"X15";"X30";"X3";"X58";"X23";"X43";"X4";"X10";"X60";"X21";"X14";"X28";"X64";"X27";"X1.1";"X6";"X5";"X36";"X42";"X48";"X45";"X54";"X12";"X44";"X32";"X39";"X52";"X13";"X51";"X11";"X34";"X59";"X33";"X7";"X56";"X20";"X19";"X26"
1;254;31;62;40;53;37;41;61;18;17;22;50;8;55;38;16;47;9;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;5;36;42;48;45;54;12;44;32;39;52;13;51;11;34;59;33;7;56;20;19;26
31;62;40;53;37;41;61;18;17;22;50;8;55;38;16;47;9;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;5;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26;1;254
1;254;31;62;40;53;37;41;61;18;17;22;50;8;55;38;16;47;9;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;5;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26
31;62;40;53;37;41;61;18;17;22;50;8;5;38;16;47;9;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;55;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26;1;254
1;254;31;62;40;53;37;41;61;18;17;22;50;8;5;38;16;47;9;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;55;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26
31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;55;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26;1;254
1;254;31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;14;28;64;27;1;6;55;36;42;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26
31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26;1;250
1;250;31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;43;4;10;60;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;33;7;56;59;19;26
31;62;40;53;37;41;61;18;17;22;50;8;5;9;16;47;38;49;2;63;46;35;57;24;25;29;15;30;3;58;23;33;4;10;60;21;42;28;64;27;1;6;55;36;14;48;45;54;12;44;32;39;52;13;51;11;34;20;43;7;56;59;19;26;1;250
