"X1";"X286";"X23";"X31";"X36";"X60";"X3";"X35";"X46";"X58";"X25";"X39";"X63";"X51";"X29";"X28";"X55";"X49";"X33";"X45";"X21";"X20";"X7";"X18";"X56";"X59";"X37";"X62";"X54";"X14";"X57";"X16";"X4";"X13";"X64";"X27";"X24";"X11";"X44";"X43";"X9";"X8";"X41";"X32";"X22";"X50";"X53";"X2";"X15";"X10";"X47";"X26";"X30";"X42";"X38";"X61";"X19";"X17";"X5";"X12";"X34";"X1.1";"X52";"X6";"X40";"X48"
1;286;23;31;36;60;3;35;46;58;25;39;63;51;29;28;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;27;24;11;44;43;9;8;41;32;22;50;53;2;15;10;47;26;30;42;38;61;19;17;5;12;34;1;52;6;40;48
23;31;36;60;3;35;46;58;25;39;63;51;29;28;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;27;24;11;44;43;9;8;41;32;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48;1;286
1;286;23;31;36;60;3;35;46;58;25;39;63;51;29;28;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;27;24;11;44;43;9;8;41;32;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48
23;31;36;60;3;35;46;58;25;39;63;51;29;28;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;32;24;11;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48;1;286
1;286;23;31;36;60;3;35;46;58;25;39;63;51;29;28;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;32;24;11;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;32;24;28;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48;1;286
1;286;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;16;4;13;64;32;24;28;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;1;52;6;40;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;37;62;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;41;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;12;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;45;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;15;10;26;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;15;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;45;10;26;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;15;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;45;10;26;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;45;10;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48;1;290
1;290;23;31;36;60;3;35;46;58;25;39;63;51;29;11;55;49;33;26;21;20;7;18;56;59;62;37;54;14;57;28;4;13;64;32;24;16;44;43;9;8;12;27;22;50;53;2;45;10;15;47;30;42;38;61;19;17;5;41;34;40;52;6;1;48
