"X1";"X280";"X13";"X33";"X49";"X64";"X46";"X21";"X43";"X14";"X22";"X52";"X58";"X30";"X36";"X15";"X39";"X10";"X35";"X50";"X12";"X47";"X51";"X7";"X9";"X44";"X24";"X27";"X3";"X41";"X25";"X6";"X8";"X11";"X31";"X60";"X28";"X48";"X29";"X32";"X5";"X45";"X42";"X62";"X1.1";"X16";"X40";"X37";"X59";"X63";"X26";"X56";"X57";"X34";"X19";"X23";"X2";"X54";"X18";"X4";"X55";"X17";"X61";"X38";"X20";"X53"
1;280;13;33;49;64;46;21;43;14;22;52;58;30;36;15;39;10;35;50;12;47;51;7;9;44;24;27;3;41;25;6;8;11;31;60;28;48;29;32;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;55;17;61;38;20;53
13;33;49;64;46;21;43;14;22;52;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;32;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;55;17;61;38;20;53;1;280
1;280;13;33;49;64;46;21;43;14;22;52;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;32;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;55;17;61;38;20;53
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;55;17;61;38;20;53;1;260
1;260;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;55;17;61;38;20;53
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;260
1;260;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;47;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;29;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;254
1;254;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;1;16;40;37;59;63;26;56;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;37;59;63;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;254
1;254;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;7;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;37;59;63;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;37;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;63;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;246
1;246;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;29;27;37;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;63;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;242
1;242;13;33;49;64;46;21;43;14;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;51;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;51;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;14;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55;1;250
1;250;13;33;49;64;46;21;43;51;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;14;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;18;4;53;17;61;38;20;55
13;33;49;64;46;21;43;51;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;14;4;53;17;61;38;20;55;1;250
1;250;13;33;49;64;46;21;43;51;22;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;29;26;1;57;34;19;23;2;54;14;4;53;17;61;38;20;55
13;33;49;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;20;55;1;250
1;250;13;33;49;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;7;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;20;55
13;33;49;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;55;1;262
1;262;13;33;49;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;55
13;33;55;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49;1;262
1;262;13;33;55;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;37;9;44;24;18;3;41;25;6;8;11;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49
13;33;55;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49;1;258
