"X1";"X274";"X38";"X21";"X48";"X30";"X22";"X8";"X35";"X46";"X63";"X14";"X57";"X58";"X18";"X62";"X59";"X24";"X52";"X49";"X32";"X5";"X31";"X50";"X34";"X9";"X11";"X55";"X16";"X1.1";"X53";"X26";"X3";"X23";"X33";"X37";"X6";"X44";"X41";"X64";"X40";"X20";"X45";"X61";"X7";"X4";"X12";"X15";"X19";"X13";"X43";"X17";"X54";"X28";"X10";"X2";"X56";"X36";"X47";"X27";"X51";"X60";"X25";"X42";"X29";"X39"
1;274;38;21;48;30;22;8;35;46;63;14;57;58;18;62;59;24;52;49;32;5;31;50;34;9;11;55;16;1;53;26;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;17;54;28;10;2;56;36;47;27;51;60;25;42;29;39
38;21;48;30;22;8;35;46;63;14;57;58;18;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;11;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;17;54;28;10;2;56;36;47;27;51;60;25;42;29;39;1;270
1;270;38;21;48;30;22;8;35;46;63;14;57;58;18;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;11;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;17;54;28;10;2;56;36;47;27;51;60;25;42;29;39
38;21;48;30;22;8;35;46;63;14;57;58;11;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;17;54;28;10;2;56;36;47;27;51;60;25;42;29;39;1;274
1;274;38;21;48;30;22;8;35;46;63;14;57;58;11;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;17;54;28;10;2;56;36;47;27;51;60;25;42;29;39
38;21;48;30;22;8;35;46;63;14;57;58;11;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39;1;274
1;274;38;21;48;30;22;8;35;46;63;14;57;58;11;62;59;24;52;49;32;5;31;50;34;9;26;55;16;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39
38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;31;50;34;9;26;55;11;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39;1;286
1;286;38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;31;50;34;9;26;55;11;1;53;18;3;23;33;37;6;44;41;64;40;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39
38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;53;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39;1;274
1;274;38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;53;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;51;60;25;42;29;39
