"X1";"X262";"X40";"X18";"X5";"X17";"X16";"X24";"X55";"X19";"X53";"X23";"X38";"X37";"X47";"X63";"X45";"X35";"X22";"X61";"X4";"X8";"X30";"X41";"X10";"X20";"X7";"X31";"X50";"X60";"X42";"X39";"X46";"X27";"X43";"X32";"X9";"X14";"X1.1";"X44";"X57";"X64";"X13";"X56";"X6";"X49";"X62";"X29";"X2";"X48";"X25";"X52";"X3";"X59";"X58";"X33";"X12";"X26";"X28";"X54";"X51";"X21";"X15";"X34";"X36";"X11"
1;262;40;18;5;17;16;24;55;19;53;23;38;37;47;63;45;35;22;61;4;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;13;56;6;49;62;29;2;48;25;52;3;59;58;33;12;26;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;19;53;23;38;37;47;63;45;35;22;61;4;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;13;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11;1;262
1;262;40;18;5;17;16;24;55;19;53;23;38;37;47;63;45;35;22;61;4;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;13;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;22;61;19;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;13;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11;1;262
1;262;40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;22;61;19;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;13;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;22;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11;1;266
1;266;40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;30;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;22;52;6;49;62;29;2;48;25;56;3;59;58;33;12;26;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;26;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;22;52;6;49;62;29;2;48;25;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11;1;266
1;266;40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;26;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;44;57;64;22;52;6;49;62;29;2;48;25;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;26;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11;1;266
1;266;40;18;5;17;16;24;55;4;53;23;38;37;47;63;45;35;13;61;19;8;26;41;10;20;7;31;50;60;42;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;7;37;47;63;45;35;13;61;19;8;26;41;10;20;38;31;50;60;42;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11;1;246
1;246;40;18;5;17;16;24;55;4;53;23;7;37;47;63;45;35;13;61;19;8;26;41;10;20;38;31;50;60;42;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11
