"X1";"X290";"X45";"X36";"X2";"X34";"X18";"X56";"X16";"X17";"X63";"X49";"X28";"X4";"X58";"X57";"X40";"X12";"X7";"X25";"X21";"X62";"X44";"X48";"X29";"X31";"X59";"X60";"X32";"X47";"X22";"X41";"X54";"X24";"X19";"X30";"X50";"X10";"X35";"X55";"X33";"X27";"X14";"X13";"X51";"X52";"X37";"X43";"X26";"X5";"X46";"X53";"X11";"X8";"X1.1";"X39";"X6";"X20";"X9";"X15";"X61";"X3";"X64";"X38";"X23";"X42"
1;290;45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;32;47;22;41;54;24;19;30;50;10;35;55;33;27;14;13;51;52;37;43;26;5;46;53;11;8;1;39;6;20;9;15;61;3;64;38;23;42
45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;30;50;10;35;55;33;27;14;13;51;32;37;43;26;5;46;53;11;8;1;39;6;20;9;15;61;3;64;38;23;42;1;290
1;290;45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;30;50;10;35;55;33;27;14;13;51;32;37;43;26;5;46;53;11;8;1;39;6;20;9;15;61;3;64;38;23;42
45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;30;50;10;35;26;33;27;14;13;51;32;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;38;23;42;1;290
1;290;45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;30;50;10;35;26;33;27;14;13;51;32;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;38;23;42
45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;32;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42;1;290
1;290;45;36;2;34;18;56;16;17;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;32;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42
45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42;1;290
1;290;45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;12;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;46;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42
45;36;2;34;18;56;16;32;63;49;28;4;58;57;40;46;7;25;21;62;44;48;29;31;59;60;52;47;22;41;54;24;19;38;50;10;35;26;33;27;14;13;51;17;37;43;55;5;12;53;11;8;1;39;6;20;9;15;61;3;64;30;23;42;1;290
