"X1";"X298";"X44";"X3";"X53";"X46";"X13";"X24";"X62";"X20";"X37";"X49";"X40";"X16";"X63";"X45";"X10";"X34";"X39";"X48";"X30";"X57";"X58";"X28";"X6";"X43";"X59";"X15";"X9";"X7";"X51";"X25";"X5";"X42";"X21";"X32";"X50";"X55";"X19";"X33";"X8";"X11";"X36";"X61";"X54";"X17";"X23";"X52";"X22";"X47";"X14";"X2";"X4";"X29";"X18";"X60";"X31";"X41";"X27";"X1.1";"X38";"X64";"X26";"X35";"X12";"X56"
1;298;44;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;28;6;43;59;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;31;41;27;1;38;64;26;35;12;56
28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;44;6;43;59;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;31;41;27;1;38;64;26;35;12;56;1;294
1;294;28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;44;6;43;59;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;31;41;27;1;38;64;26;35;12;56
28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;44;6;43;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;35;12;56;1;294
1;294;28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;44;6;43;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;35;12;56
28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;6;43;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;294
1;294;28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;6;43;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;294
1;294;28;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;55;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
55;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;28;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;294
