"X1";"X288";"X2";"X57";"X11";"X54";"X62";"X40";"X19";"X46";"X36";"X34";"X41";"X7";"X3";"X15";"X27";"X31";"X28";"X35";"X24";"X39";"X23";"X38";"X17";"X51";"X1.1";"X48";"X52";"X42";"X47";"X14";"X16";"X25";"X21";"X63";"X20";"X32";"X49";"X55";"X6";"X8";"X5";"X61";"X18";"X60";"X22";"X43";"X64";"X9";"X59";"X30";"X10";"X12";"X44";"X37";"X13";"X58";"X26";"X45";"X53";"X29";"X4";"X50";"X56";"X33"
1;288;2;57;11;54;62;40;19;46;36;34;41;7;3;15;27;31;28;35;24;39;23;38;17;51;1;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;29;4;50;56;33
2;57;11;54;62;40;19;46;36;34;41;7;3;15;27;31;28;1;24;39;23;38;17;51;35;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;29;4;50;56;33;1;288
1;288;2;57;11;54;62;40;19;46;36;34;41;7;3;15;27;31;28;1;24;39;23;38;17;51;35;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;29;4;50;56;33
2;57;11;54;62;40;19;46;36;34;41;7;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;29;4;50;56;33;1;288
1;288;2;57;11;54;62;40;19;46;36;34;41;7;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;29;4;50;56;33
2;57;11;54;62;40;19;46;29;34;41;7;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;36;4;50;56;33;1;288
1;288;2;57;11;54;62;40;19;46;29;34;41;7;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;6;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;36;4;50;56;33
2;57;11;54;62;40;19;46;29;34;41;6;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;36;4;50;56;33;1;288
1;288;2;57;11;54;62;40;19;46;29;34;41;6;35;15;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;10;12;44;37;13;58;26;45;53;36;4;50;56;33
2;57;11;54;62;40;19;46;29;34;41;6;35;10;27;31;28;1;24;39;23;38;17;51;3;48;52;42;47;14;16;25;21;63;20;32;49;55;7;8;5;61;18;60;22;43;64;9;59;30;15;12;44;37;13;58;26;45;53;36;4;50;56;33;1;280
