"X1";"X288";"X31";"X12";"X61";"X4";"X54";"X16";"X39";"X36";"X7";"X10";"X21";"X48";"X15";"X63";"X60";"X37";"X47";"X26";"X27";"X50";"X18";"X32";"X44";"X62";"X5";"X6";"X9";"X34";"X43";"X25";"X56";"X13";"X51";"X19";"X24";"X57";"X49";"X52";"X46";"X41";"X20";"X17";"X40";"X58";"X23";"X53";"X33";"X1.1";"X35";"X64";"X42";"X45";"X55";"X22";"X2";"X38";"X28";"X11";"X8";"X3";"X59";"X29";"X14";"X30"
1;288;31;12;61;4;54;16;39;36;7;10;21;48;15;63;60;37;47;26;27;50;18;32;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;52;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;28;11;8;3;59;29;14;30
31;12;61;4;54;16;39;36;7;10;21;48;15;63;60;37;47;26;27;50;18;32;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30;1;288
1;288;31;12;61;4;54;16;39;36;7;10;21;48;15;63;60;37;47;26;27;50;18;32;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30
31;12;61;4;54;16;39;36;7;10;21;48;32;63;60;37;47;26;27;50;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30;1;288
1;288;31;12;61;4;54;16;39;36;7;10;21;48;32;63;60;37;47;26;27;50;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30
31;12;61;4;54;16;39;36;7;10;21;48;32;6;60;37;47;26;27;50;18;15;44;62;5;63;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30;1;308
1;288;31;12;61;4;54;16;39;36;7;10;21;48;32;63;60;37;47;26;27;50;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30
31;12;61;50;54;16;39;36;7;10;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30;1;286
1;286;31;12;61;50;54;16;39;36;7;10;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;52;11;8;3;59;29;14;30
31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30;1;266
1;266;31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;19;24;57;49;28;46;41;20;17;40;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30
31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30;1;266
1;266;31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;27;4;18;15;44;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30
31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;15;27;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30;1;262
1;262;31;12;61;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;15;27;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30
31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30;1;262
1;262;31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;25;56;13;51;40;24;57;49;28;46;41;20;17;19;58;23;53;33;1;35;64;42;45;55;22;2;38;10;11;8;3;59;29;14;30
31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;25;56;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;30;1;262
1;262;31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;25;56;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;30
31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;30;56;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;262
1;262;31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;62;5;6;9;34;43;30;56;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;56;5;6;9;34;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;262
1;262;31;12;15;50;54;16;39;36;7;52;21;48;32;63;60;37;47;26;44;4;18;61;27;56;5;6;9;34;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;60;16;39;36;7;52;21;48;32;63;54;37;47;26;44;4;18;61;27;56;5;6;9;34;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;268
1;268;31;12;15;50;60;16;39;36;7;52;21;48;32;63;54;37;47;26;44;4;18;61;27;56;5;6;9;34;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;47;26;44;4;18;61;27;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;240
1;240;31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;47;26;44;4;18;61;27;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;27;26;44;4;18;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;244
1;244;31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;27;26;44;4;18;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;35;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;27;26;44;4;35;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;18;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25;1;244
1;244;31;12;15;50;60;34;39;36;7;52;21;48;32;63;54;37;27;26;44;4;35;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;18;24;42;45;55;22;2;38;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25;1;256
1;256;31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;61;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;20;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25
31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;61;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25;1;262
1;262;31;12;15;50;60;34;39;36;7;38;21;48;32;63;54;37;27;26;44;4;35;20;47;56;5;6;9;16;43;30;62;13;51;40;64;57;49;28;46;41;61;17;19;58;23;53;33;1;18;24;42;45;55;22;2;52;10;11;8;3;59;29;14;25
