"X1";"X254";"X46";"X22";"X60";"X57";"X51";"X19";"X41";"X21";"X29";"X38";"X49";"X40";"X1.1";"X36";"X43";"X10";"X50";"X6";"X16";"X30";"X15";"X62";"X3";"X14";"X37";"X27";"X13";"X34";"X11";"X59";"X44";"X63";"X8";"X18";"X32";"X7";"X39";"X42";"X9";"X24";"X23";"X5";"X31";"X54";"X26";"X56";"X35";"X61";"X58";"X53";"X55";"X2";"X64";"X12";"X25";"X45";"X33";"X52";"X48";"X20";"X28";"X4";"X47";"X17"
1;254;46;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;16;30;15;62;3;14;37;27;13;34;11;59;44;63;8;18;32;7;39;42;9;24;23;5;31;54;26;56;35;61;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17
46;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;16;30;15;62;3;14;37;27;13;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;61;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17;1;260
1;260;46;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;16;30;15;62;3;14;37;27;13;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;61;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17
46;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;61;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17;1;272
1;272;46;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;61;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;46;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17;1;272
1;272;61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;8;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;46;58;53;55;2;64;12;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;46;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17;1;268
1;268;61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;7;39;42;9;24;23;5;31;54;26;56;35;46;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;7;39;42;9;24;23;5;31;46;26;56;35;54;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;7;39;42;9;24;23;5;31;46;26;56;35;54;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;29;38;49;40;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;12;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;12;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;52;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;29;38;49;12;1;36;43;10;50;6;13;30;15;62;3;14;37;27;16;34;11;64;44;63;59;18;32;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;29;38;49;12;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;52;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;29;38;49;12;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;52;48;20;28;4;47;17
61;22;60;57;51;19;41;21;52;38;49;12;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;52;38;49;12;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;26;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;17
61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;17;1;280
1;280;61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;50;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;17
61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;50;1;284
1;284;61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;14;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;50
61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;50;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14;1;284
1;284;61;22;60;57;51;19;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;50;37;27;16;34;11;64;44;63;59;18;15;5;39;42;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;50;37;27;16;34;11;64;44;63;59;18;15;5;39;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;3;50;37;27;16;34;11;64;44;63;59;18;15;5;39;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14
