"X1";"X274";"X45";"X33";"X37";"X19";"X38";"X32";"X42";"X5";"X48";"X9";"X7";"X1.1";"X34";"X41";"X54";"X20";"X4";"X24";"X27";"X3";"X43";"X11";"X26";"X63";"X62";"X56";"X10";"X23";"X31";"X35";"X61";"X47";"X22";"X12";"X36";"X30";"X49";"X53";"X18";"X55";"X59";"X17";"X14";"X29";"X57";"X16";"X6";"X21";"X28";"X50";"X39";"X51";"X15";"X46";"X64";"X60";"X40";"X25";"X13";"X58";"X2";"X44";"X8";"X52"
1;274;45;33;37;19;38;32;42;5;48;9;7;1;34;41;54;20;4;24;27;3;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;29;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;8;52
45;33;37;19;38;32;42;5;48;9;7;1;34;41;54;20;4;24;27;29;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;8;52;1;274
1;274;45;33;37;19;38;32;42;5;48;9;7;1;34;41;54;20;4;24;27;29;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;8;52
45;33;37;19;38;32;42;5;48;9;7;1;34;41;29;20;4;24;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;8;52;1;262
1;262;45;33;37;19;38;32;42;5;48;9;7;1;34;41;29;20;4;24;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;8;52
45;33;37;19;38;32;42;8;48;9;7;1;34;41;29;20;4;24;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;5;52;1;266
1;266;45;33;37;19;38;32;42;8;48;9;7;1;34;41;29;20;4;24;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;46;64;60;40;25;13;58;2;44;5;52
45;33;37;19;38;32;42;8;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52;1;266
1;266;45;33;37;19;38;32;42;8;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;22;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52
45;33;37;19;38;32;42;22;48;9;7;1;34;41;29;20;4;46;27;54;43;11;26;63;62;56;10;23;31;35;61;47;8;12;36;30;49;53;18;55;59;17;14;3;57;16;6;21;28;50;39;51;15;24;64;60;40;25;13;58;2;44;5;52;1;270
