"X1";"X304";"X47";"X9";"X51";"X42";"X54";"X35";"X28";"X5";"X43";"X16";"X60";"X24";"X55";"X63";"X12";"X62";"X46";"X37";"X13";"X1.1";"X20";"X38";"X7";"X44";"X34";"X53";"X4";"X11";"X61";"X52";"X32";"X41";"X50";"X58";"X8";"X30";"X33";"X48";"X45";"X64";"X49";"X57";"X18";"X29";"X10";"X17";"X27";"X6";"X2";"X40";"X15";"X56";"X39";"X21";"X3";"X36";"X59";"X23";"X19";"X25";"X22";"X31";"X26";"X14"
1;304;47;9;51;42;54;35;28;5;43;16;60;24;55;63;12;62;46;37;13;1;20;38;7;44;34;53;4;11;61;52;32;41;50;58;8;30;33;48;45;64;49;57;18;29;10;17;27;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14
47;9;51;42;54;35;28;5;43;16;60;24;55;63;12;62;46;37;27;1;20;38;7;44;34;53;4;11;61;52;32;41;50;58;8;30;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14;1;308
1;308;47;9;51;42;54;35;28;5;43;16;60;24;55;63;12;62;46;37;27;1;20;38;7;44;34;53;4;11;61;52;32;41;50;58;8;30;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14
47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;1;20;38;7;44;34;53;4;11;61;52;32;41;50;58;8;43;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14;1;308
1;308;47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;1;20;38;7;44;34;53;4;11;61;52;32;41;50;58;8;43;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14
47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;1;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14;1;308
1;308;47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;1;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;64;49;57;18;29;10;17;13;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14
47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;64;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14;1;308
1;308;47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;64;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;19;25;22;31;26;14
47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;64;25;22;31;26;14;1;308
1;308;47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;50;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;64;25;22;31;26;14
47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;64;25;22;50;26;14;1;306
1;306;47;9;51;42;54;35;28;5;30;16;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;64;25;22;50;26;14
47;9;51;42;54;35;28;5;30;64;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14;1;310
1;310;47;9;51;42;54;35;28;5;30;64;60;24;55;63;12;62;46;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14
47;9;46;42;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14;1;300
1;300;47;9;46;42;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;48;45;19;49;57;18;29;10;17;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14
47;9;46;42;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14;1;300
1;300;47;9;46;42;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;36;59;23;16;25;22;50;26;14
47;9;46;36;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;42;59;23;16;25;22;50;26;14;1;304
1;304;47;9;46;36;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;42;59;23;16;25;22;50;26;14
47;9;46;36;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;33;53;4;11;61;52;32;41;31;58;8;20;34;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;42;59;23;16;25;22;50;26;14;1;308
1;304;47;9;46;36;54;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;15;56;39;21;3;42;59;23;16;25;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;54;56;39;21;3;42;59;23;16;25;22;50;26;14;1;304
1;304;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;49;57;18;29;10;48;1;6;2;40;54;56;39;21;3;42;59;23;16;25;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;25;57;18;29;10;48;1;6;2;40;54;56;39;21;3;42;59;23;16;49;22;50;26;14;1;304
1;304;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;62;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;25;57;18;29;10;48;1;6;2;40;54;56;39;21;3;42;59;23;16;49;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;25;57;18;29;10;48;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14;1;304
1;304;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;8;20;33;17;45;19;25;57;18;29;10;48;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14;1;312
1;312;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;4;11;61;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14;1;284
1;284;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;43;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;22;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;43;50;26;14;1;284
1;284;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;29;10;8;1;6;2;62;54;56;39;21;3;42;59;23;16;49;43;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;1;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14;1;268
1;268;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;13;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;1;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14
47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;1;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14;1;272
1;272;47;9;46;36;15;35;28;5;30;64;60;24;55;63;12;40;51;37;27;1;22;38;7;44;34;53;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14
47;9;46;36;15;35;28;5;30;64;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14;1;272
2;272;47;9;46;36;15;35;28;5;30;64;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;23;16;49;43;50;26;14
47;9;46;36;15;35;28;5;30;23;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;64;16;49;43;50;26;14;2;260
2;260;47;9;46;36;15;35;28;5;30;23;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;25;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;59;64;16;49;43;50;26;14
47;9;46;36;15;35;28;5;30;23;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;260
2;260;47;9;46;36;15;35;28;5;30;23;60;53;55;63;12;40;51;37;27;1;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
47;9;46;36;15;35;28;5;1;23;60;53;55;63;12;40;51;37;27;30;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;260
2;260;47;9;46;36;15;35;28;5;1;23;60;53;55;63;12;40;51;37;27;30;22;38;7;44;34;24;61;11;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
47;9;46;36;15;35;28;5;11;23;60;53;55;63;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;260
2;260;47;9;46;36;15;35;28;5;11;23;60;53;55;63;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
47;9;46;36;15;63;28;5;11;23;60;53;55;35;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14;2;256
2;256;47;9;46;36;15;63;28;5;11;23;60;53;55;35;12;40;51;37;27;30;22;38;7;44;34;24;61;1;4;52;32;41;31;58;48;20;33;17;45;19;59;57;18;39;10;8;13;6;2;62;54;56;29;21;3;42;25;64;16;49;43;50;26;14
